iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
500,30.5715548992157,2.492727518081665,24.585,28.0,0.5033482142857143,0.11376070807285388,0.13215070296914772,-3086.223243400573,-3086.223243400573,-2390.6095380594984,-2390.6095380594943,106.43616485595703,110.97850036621094,108.31196594238281,0.007200002670288086,0.0001,,
1000,36.74142289161682,7.803651809692383,25.015,27.93,0.4419642857142857,0.10557212902175575,0.128962580698474,-3073.563916553777,-2646.562779261316,-2389.8669491805854,-2354.0943977408474,83.96544647216797,94.48005676269531,86.34297180175781,0.016200006008148193,0.0001,2252.804399658988,-2252.1180779139104
1500,48.25551080703735,2.3167030811309814,24.135,27.83,0.5234375,0.11806094727669923,0.13847318307664946,-3062.965150915461,-2541.686912130295,-2388.7624720801778,-2338.0364121100515,108.3304214477539,91.37416076660156,91.19125366210938,0.0252000093460083,0.0001,,
2000,54.201892137527466,7.5455052852630615,22.795,26.27,0.5613839285714286,0.13978123637882528,0.17009410207604458,-2927.0256998601108,-2432.9611410628163,-2375.62320745289,-2321.3523119104525,58.580223083496094,74.46898651123047,70.85655975341797,0.03420001268386841,0.0001,2250.6783317901677,-2241.3341703754722
2500,65.30872058868408,2.2026467323303223,21.92,25.35,0.578125,0.1331205086381406,0.1539110642589416,-2727.015547102692,-2437.272958482199,-2358.5374645199986,-2319.8683029952094,92.18694305419922,85.98714447021484,84.48592376708984,0.04319995641708374,0.0001,,
3000,71.13745450973511,7.57558012008667,20.33,24.765,0.6651785714285714,0.29562970427389723,0.3089657652840374,-2653.7090510054277,-2462.0649177317955,-2352.729589069565,-2325.2286711261636,63.72669219970703,61.820350646972656,58.999629974365234,0.05219995975494385,0.0001,2248.992571103472,-2242.009680938674
3500,82.28987145423889,2.2233872413635254,21.935,25.375,0.5591517857142857,0.22133051673926918,0.20543530985575587,-2735.1341357290885,-2516.214201351441,-2363.0035514135293,-2315.632570123232,73.9537582397461,77.00318145751953,70.28535461425781,0.06120002269744873,0.0001,,
4000,88.19574236869812,7.730742692947388,22.795,27.445,0.6830357142857143,0.2028914468513453,0.23654894138050298,-2987.845542997209,-2546.996211396551,-2383.815022468272,-2326.1612176926005,32.28460693359375,47.97867965698242,43.833187103271484,0.07020002603530884,0.0001,2251.967928823667,-2241.7696127148342
4500,99.48472166061401,2.2092556953430176,22.25,25.73,0.5189732142857143,0.233584124990375,0.20225249287749286,-2782.6973489415645,-2451.8863568748548,-2367.0988689972964,-2319.2665847611015,57.3729133605957,70.53041076660156,66.03821563720703,0.07919996976852417,0.0001,,
5000,105.17059397697449,7.08919620513916,19.245,22.785,0.5569196428571429,0.13841757542307143,0.16356203212089648,-2537.2937277185497,-2487.9643583464554,-2342.086879742726,-2320.761394259888,39.53834533691406,44.74095916748047,39.55440902709961,0.08819997310638428,0.0001,2245.7435307230376,-2239.446410229134
