iteration,training_time_seconds_mean,training_time_seconds_std,history_eval_time_seconds_mean,history_eval_time_seconds_std,expected_shd_mean,expected_shd_std,expected_edges_mean,expected_edges_std,roc_auc_mean,roc_auc_std,prc_auc_mean,prc_auc_std,ave_prec_mean,ave_prec_std,bic_mean_mean,bic_mean_std,bic_max_mean,bic_max_std,bdeu_mean_mean,bdeu_mean_std,bdeu_max_mean,bdeu_max_std,loss_mean,loss_std,avg_loss_mean,avg_loss_std,smooth_loss_mean,smooth_loss_std,epsilon_mean,epsilon_std,learning_rate_mean,learning_rate_std,neg_avg_predictive_log_likelihood_mean,neg_avg_predictive_log_likelihood_std,predictive_log_likelihood_best_mean,predictive_log_likelihood_best_std
100,22.058383226394653,0.9915178078441294,2.445715141296387,0.11115158445706794,8.581,0.20680304639922537,1.011,0.3622740675234704,0.5513392857142857,0.0893798332056219,0.12512280937058956,0.02139078600766799,0.14609462766787956,0.020700381738785398,-2910.2532888535216,39.877226895976804,-2550.7920935437783,85.11685887943577,-2910.778124908359,39.89563778989729,-2545.8764085245493,87.55975867793256,123.97784729003907,10.275916981708107,123.97784729003907,10.275916981708107,123.97784729003907,10.275916981708107,0.0,0.0,0.0001,0.0,,,,
500,32.79034171104431,2.71090461975385,2.41531982421875,0.0706771519865673,24.412,0.45434843457417134,28.0,0.0,0.5270089285714286,0.06165423439587362,0.12223722654400089,0.017510674646561603,0.145573481119537,0.021958644291485488,-3080.729444374226,18.172756655479873,-3080.7294443742257,18.1727566554802,-2385.872449313468,24.248793286977108,-2385.872449313464,24.248793286977573,106.3616928100586,18.66035210544237,105.61649627685547,5.023234860423185,101.7861541748047,7.881081155836868,0.0360000133514404,0.0,0.0001,0.0,,,,
1000,39.001624584198,2.603928975382678,2.2031604290008544,0.12841122107699554,22.998,2.0526860451613147,26.212,2.9191449946859436,0.5633928571428571,0.04825895954472377,0.14996543507816282,0.026468089274105468,0.16758455822489485,0.046681491623834705,-2903.0114822890296,269.76816327037636,-2753.303809202754,331.4721271519844,-2375.866373644984,30.147307642347332,-2356.1960400418443,46.61043578989348,96.49270324707031,8.75477724582552,94.77731170654297,5.1527151326101155,93.53433532714844,4.881334322739532,0.0809999704360961,0.0,0.0001,0.0,,,,
2000,49.559840774536134,1.1743829793315184,7.0817553997039795,0.35346822982149406,18.832,2.6592447236010455,22.973000000000003,2.9642633992275385,0.6906249999999999,0.06585483471561454,0.2915446259023053,0.047067994974463165,0.2707009168471147,0.049456075775811396,-2599.9931179089936,203.86848035678736,-2441.640453139059,77.98284008993548,-2343.6282238426306,35.894909292385535,-2316.42834708841,28.331696490901447,77.35796508789062,8.612569189955249,80.63512573242187,2.825430626037748,77.40052642822266,3.913402665535865,0.1710000038146972,0.0,0.0001,0.0,2242.0156719388056,28.821430087653916,-2233.9857206877,24.015583570487525
3000,64.00372309684754,1.3827724521386062,2.150879955291748,0.06129214552416886,20.224,1.6033106374000017,23.829,1.4135655273102834,0.6069196428571428,0.06428028870953857,0.2656344116999877,0.11248679651095897,0.2525898524826459,0.1115484390167434,-2632.271235006796,118.23301547266776,-2420.5054556565933,38.15828767142752,-2347.9429148758727,36.60493345011186,-2313.1050931483146,26.509657149134057,56.57782211303711,5.055446569935246,64.92337341308594,3.5589854291939087,59.637793731689456,4.339721134254417,0.2609999775886535,0.0,0.0001,0.0,,,,
4000,73.49184565544128,1.4730306848963062,7.140472650527954,0.2684932302200322,20.085,2.6817275215800733,23.59,1.986482443919402,0.6004464285714286,0.18073983389337167,0.29502337483446406,0.25896909083127123,0.2841916156801004,0.2649965759528277,-2608.6619821869417,159.83214122095146,-2452.5024762875037,69.46016192064631,-2345.552683071827,36.74119012258378,-2318.3371628841596,33.7028187904681,40.08889389038086,8.172725223942829,40.38551712036133,3.9094698346613845,36.53343200683594,3.233577684412026,0.3509999513626098,0.0,0.0001,0.0,2239.6432953402887,27.794772709865743,-2232.8277502290866,24.281465869649388
5000,87.94143171310425,1.7772975786478311,2.0847814083099365,0.13751234705302687,18.383999999999997,1.2956147189654796,21.464000000000002,1.3754063036063204,0.5872767857142857,0.12511802862009164,0.19108990058577385,0.08496154188038103,0.19763406573242598,0.06587734857303626,-2489.211465126702,61.47247300412369,-2401.444580574798,44.34317138991122,-2329.1235260424132,26.176184366826323,-2304.0362800120974,21.993246119142757,38.19850234985351,4.834942283041166,40.97150497436523,3.9563811477716615,37.252478790283206,3.209893594202245,0.4409999847412108,6.206335383118183e-17,0.0001,0.0,,,,
6000,97.45765380859375,1.6980061853841537,7.3214709758758545,0.4563058063282755,20.054,3.247390105915826,23.674,3.4314126099902347,0.6120535714285714,0.0788376299170889,0.23159241452351922,0.06309262374762589,0.22647269516828095,0.09820156036918032,-2672.1209448154564,264.847953120338,-2472.692610883144,86.90271586111976,-2351.376612147161,31.11793490331643,-2322.9014535486153,21.765544421804314,26.546010208129882,4.013920061371518,31.234416198730468,2.0093346808468975,28.32073554992676,1.481350880738762,0.5309999585151672,0.0,0.0001,0.0,2239.4031398276193,23.485496952704445,-2232.890381523369,22.704619564878694
7000,112.08778834342957,1.5602123997861894,2.202824926376343,0.021674336435813568,22.515,0.9306113581941706,26.973000000000003,0.634552992270937,0.6491071428571429,0.10023725740781372,0.28783668327425405,0.07288886720340107,0.2342366732480102,0.03554153970122028,-2934.997793495205,105.81459790144012,-2685.5302095051684,243.42831615357255,-2379.7982403532405,25.118378540010394,-2353.5251205176205,25.172119456818,25.026799774169923,3.13472784096188,24.119783401489258,2.5087528131406325,23.5987190246582,1.4720176789285944,0.6209999918937683,0.0,0.0001,0.0,,,,
8000,121.59665503501893,1.6317509385252194,7.381447076797485,0.11071875317206342,21.863999999999997,0.9275667091913122,25.775,0.47985674945758544,0.6448660714285716,0.09094235973935214,0.26464755781529026,0.07651092923903126,0.193889390127089,0.06450233372035746,-2791.5052064031156,70.82234822431695,-2641.817887453458,108.09135306736755,-2378.2772834097277,34.49626186808082,-2356.994197358325,20.569194762377798,19.211345291137697,3.7094556209059033,19.572900009155273,0.9385623922239041,18.991134262084962,1.2050648329863047,0.7109999656677246,0.0,0.0001,0.0,2251.5643905989277,34.3477061222932,-2242.381531836418,23.088890055395304
