iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
100,22.0584 ± 0.9915,2.4457 ± 0.1112,8.5810 ± 0.2068,1.0110 ± 0.3623,0.5513 ± 0.0894,0.1251 ± 0.0214,0.1461 ± 0.0207,-2910.2533 ± 39.8772,-2550.7921 ± 85.1169,-2910.7781 ± 39.8956,-2545.8764 ± 87.5598,123.9778 ± 10.2759,123.9778 ± 10.2759,123.9778 ± 10.2759,0.0000 ± 0.0000,0.0001 ± 0.0000,,
500,32.7903 ± 2.7109,2.4153 ± 0.0707,24.4120 ± 0.4543,28.0000 ± 0.0000,0.5270 ± 0.0617,0.1222 ± 0.0175,0.1456 ± 0.0220,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,106.3617 ± 18.6604,105.6165 ± 5.0232,101.7862 ± 7.8811,0.0360 ± 0.0000,0.0001 ± 0.0000,,
1000,39.0016 ± 2.6039,2.2032 ± 0.1284,22.9980 ± 2.0527,26.2120 ± 2.9191,0.5634 ± 0.0483,0.1500 ± 0.0265,0.1676 ± 0.0467,-2903.0115 ± 269.7682,-2753.3038 ± 331.4721,-2375.8664 ± 30.1473,-2356.1960 ± 46.6104,96.4927 ± 8.7548,94.7773 ± 5.1527,93.5343 ± 4.8813,0.0810 ± 0.0000,0.0001 ± 0.0000,,
2000,49.5598 ± 1.1744,7.0818 ± 0.3535,18.8320 ± 2.6592,22.9730 ± 2.9643,0.6906 ± 0.0659,0.2915 ± 0.0471,0.2707 ± 0.0495,-2599.9931 ± 203.8685,-2441.6405 ± 77.9828,-2343.6282 ± 35.8949,-2316.4283 ± 28.3317,77.3580 ± 8.6126,80.6351 ± 2.8254,77.4005 ± 3.9134,0.1710 ± 0.0000,0.0001 ± 0.0000,2242.0157 ± 28.8214,-2233.9857 ± 24.0156
3000,64.0037 ± 1.3828,2.1509 ± 0.0613,20.2240 ± 1.6033,23.8290 ± 1.4136,0.6069 ± 0.0643,0.2656 ± 0.1125,0.2526 ± 0.1115,-2632.2712 ± 118.2330,-2420.5055 ± 38.1583,-2347.9429 ± 36.6049,-2313.1051 ± 26.5097,56.5778 ± 5.0554,64.9234 ± 3.5590,59.6378 ± 4.3397,0.2610 ± 0.0000,0.0001 ± 0.0000,,
4000,73.4918 ± 1.4730,7.1405 ± 0.2685,20.0850 ± 2.6817,23.5900 ± 1.9865,0.6004 ± 0.1807,0.2950 ± 0.2590,0.2842 ± 0.2650,-2608.6620 ± 159.8321,-2452.5025 ± 69.4602,-2345.5527 ± 36.7412,-2318.3372 ± 33.7028,40.0889 ± 8.1727,40.3855 ± 3.9095,36.5334 ± 3.2336,0.3510 ± 0.0000,0.0001 ± 0.0000,2239.6433 ± 27.7948,-2232.8278 ± 24.2815
5000,87.9414 ± 1.7773,2.0848 ± 0.1375,18.3840 ± 1.2956,21.4640 ± 1.3754,0.5873 ± 0.1251,0.1911 ± 0.0850,0.1976 ± 0.0659,-2489.2115 ± 61.4725,-2401.4446 ± 44.3432,-2329.1235 ± 26.1762,-2304.0363 ± 21.9932,38.1985 ± 4.8349,40.9715 ± 3.9564,37.2525 ± 3.2099,0.4410 ± 0.0000,0.0001 ± 0.0000,,
6000,97.4577 ± 1.6980,7.3215 ± 0.4563,20.0540 ± 3.2474,23.6740 ± 3.4314,0.6121 ± 0.0788,0.2316 ± 0.0631,0.2265 ± 0.0982,-2672.1209 ± 264.8480,-2472.6926 ± 86.9027,-2351.3766 ± 31.1179,-2322.9015 ± 21.7655,26.5460 ± 4.0139,31.2344 ± 2.0093,28.3207 ± 1.4814,0.5310 ± 0.0000,0.0001 ± 0.0000,2239.4031 ± 23.4855,-2232.8904 ± 22.7046
7000,112.0878 ± 1.5602,2.2028 ± 0.0217,22.5150 ± 0.9306,26.9730 ± 0.6346,0.6491 ± 0.1002,0.2878 ± 0.0729,0.2342 ± 0.0355,-2934.9978 ± 105.8146,-2685.5302 ± 243.4283,-2379.7982 ± 25.1184,-2353.5251 ± 25.1721,25.0268 ± 3.1347,24.1198 ± 2.5088,23.5987 ± 1.4720,0.6210 ± 0.0000,0.0001 ± 0.0000,,
8000,121.5967 ± 1.6318,7.3814 ± 0.1107,21.8640 ± 0.9276,25.7750 ± 0.4799,0.6449 ± 0.0909,0.2646 ± 0.0765,0.1939 ± 0.0645,-2791.5052 ± 70.8223,-2641.8179 ± 108.0914,-2378.2773 ± 34.4963,-2356.9942 ± 20.5692,19.2113 ± 3.7095,19.5729 ± 0.9386,18.9911 ± 1.2051,0.7110 ± 0.0000,0.0001 ± 0.0000,2251.5644 ± 34.3477,-2242.3815 ± 23.0889
9000,136.2745 ± 1.6585,2.1623 ± 0.0485,23.1940 ± 0.9389,25.7060 ± 0.9660,0.5717 ± 0.0871,0.2649 ± 0.1252,0.1634 ± 0.0417,-2752.1783 ± 87.5241,-2628.9863 ± 51.3977,-2384.1854 ± 30.6677,-2365.1928 ± 21.2162,18.1246 ± 3.5786,19.1066 ± 0.9743,18.7728 ± 1.8106,0.8010 ± 0.0000,0.0001 ± 0.0000,,
10000,145.9018 ± 1.7483,7.3682 ± 0.1351,22.2160 ± 1.6763,25.6140 ± 0.8236,0.6163 ± 0.0843,0.3275 ± 0.1049,0.1804 ± 0.0469,-2745.4109 ± 77.2526,-2676.7128 ± 85.4344,-2372.7474 ± 26.5267,-2364.2358 ± 24.2208,19.0298 ± 2.8132,19.2400 ± 0.7483,18.5300 ± 0.9823,0.8910 ± 0.0000,0.0001 ± 0.0000,2248.1172 ± 28.9088,-2247.4152 ± 29.0921
11000,160.4773 ± 1.9560,2.1092 ± 0.0311,21.3400 ± 1.0914,24.0860 ± 0.8537,0.6165 ± 0.0931,0.3121 ± 0.1182,0.1980 ± 0.0738,-2624.0242 ± 77.0731,-2515.0732 ± 44.7197,-2357.9777 ± 27.6907,-2341.6987 ± 27.8864,18.8403 ± 3.4096,19.2108 ± 0.6822,18.4013 ± 1.5216,0.9000 ± 0.0000,0.0001 ± 0.0000,,
12000,169.8995 ± 1.9566,6.9708 ± 0.1659,19.2500 ± 0.9427,21.9870 ± 1.2392,0.6011 ± 0.0821,0.2828 ± 0.1326,0.2109 ± 0.0861,-2525.7158 ± 29.8731,-2442.7106 ± 14.5106,-2341.6497 ± 18.8952,-2326.7998 ± 21.6831,15.4427 ± 2.0983,16.8200 ± 1.3842,15.7479 ± 1.1325,0.9000 ± 0.0000,0.0001 ± 0.0000,2243.7368 ± 24.3058,-2235.4150 ± 24.0821
13000,184.0578 ± 1.9023,1.9935 ± 0.0557,18.9040 ± 2.0941,20.5060 ± 2.0449,0.5647 ± 0.0597,0.2382 ± 0.1099,0.1731 ± 0.0359,-2481.5786 ± 89.5555,-2397.9528 ± 25.6333,-2331.8020 ± 18.6664,-2318.1473 ± 22.4766,15.1984 ± 1.8183,16.6778 ± 0.9478,15.5886 ± 0.9117,0.9000 ± 0.0000,0.0001 ± 0.0000,,
14000,193.4270 ± 1.8163,6.6974 ± 0.2127,17.9220 ± 1.6182,20.2050 ± 1.8499,0.6259 ± 0.0518,0.2699 ± 0.0951,0.1940 ± 0.0479,-2456.0841 ± 46.6835,-2397.0986 ± 10.6557,-2326.7118 ± 14.3934,-2312.1568 ± 20.5323,13.8699 ± 1.3302,15.1196 ± 1.0173,14.1450 ± 1.6697,0.9000 ± 0.0000,0.0001 ± 0.0000,2237.7512 ± 22.3381,-2234.5099 ± 23.3991
15000,207.5205 ± 1.7127,1.9320 ± 0.0563,17.5420 ± 2.4232,19.3090 ± 1.7022,0.6406 ± 0.0815,0.2582 ± 0.0844,0.2039 ± 0.0607,-2435.9912 ± 29.4686,-2392.2560 ± 17.7734,-2326.5020 ± 15.4108,-2311.4005 ± 20.9921,15.5914 ± 5.2026,14.1439 ± 1.6028,13.8524 ± 2.3802,0.9000 ± 0.0000,0.0001 ± 0.0000,,
16000,216.7973 ± 1.7769,6.4421 ± 0.1997,16.5940 ± 1.0978,18.3450 ± 1.3105,0.6165 ± 0.0294,0.2824 ± 0.0908,0.1946 ± 0.0251,-2407.3143 ± 22.3778,-2368.6019 ± 26.0891,-2319.1202 ± 16.8470,-2307.6494 ± 23.9838,15.4188 ± 4.8784,12.4475 ± 1.2122,13.8302 ± 1.3601,0.9000 ± 0.0000,0.0001 ± 0.0000,2240.7353 ± 20.0910,-2234.6703 ± 23.5539
17000,230.5489 ± 1.7919,1.9680 ± 0.0536,18.3320 ± 1.5807,20.2570 ± 1.8851,0.5873 ± 0.0331,0.2455 ± 0.0869,0.1760 ± 0.0258,-2514.4909 ± 117.6557,-2376.7339 ± 22.3329,-2343.3159 ± 41.8437,-2310.7822 ± 22.5265,12.0389 ± 3.3708,12.2847 ± 1.1286,13.1827 ± 2.7027,0.9000 ± 0.0000,0.0001 ± 0.0000,,
18000,239.8117 ± 1.8583,6.3930 ± 0.1661,16.8030 ± 1.8902,17.7460 ± 1.0050,0.5761 ± 0.0414,0.2724 ± 0.0396,0.1860 ± 0.0244,-2394.9372 ± 33.0679,-2358.7843 ± 16.3879,-2319.0738 ± 24.7825,-2302.9467 ± 19.6728,9.1390 ± 0.8782,10.7236 ± 0.8602,9.8811 ± 1.2690,0.9000 ± 0.0000,0.0001 ± 0.0000,2239.5842 ± 21.5002,-2233.3714 ± 22.7253
19000,253.3936 ± 1.8457,1.8877 ± 0.0705,16.7610 ± 3.0265,17.6180 ± 2.1386,0.5993 ± 0.1034,0.3100 ± 0.0790,0.2135 ± 0.0809,-2396.6659 ± 44.7115,-2373.3302 ± 47.0897,-2321.0423 ± 24.3062,-2309.3960 ± 25.9700,11.3087 ± 4.1123,10.9629 ± 1.6591,10.7669 ± 4.0802,0.9000 ± 0.0000,0.0001 ± 0.0000,,
20000,262.5858 ± 2.1241,5.7064 ± 1.3500,14.9740 ± 2.7961,14.6600 ± 5.6559,0.6446 ± 0.0462,0.2563 ± 0.0768,0.2382 ± 0.0372,-2472.8783 ± 203.1775,-2352.8167 ± 27.3449,-2417.0377 ± 221.8472,-2300.7891 ± 21.2868,9.7058 ± 2.8645,9.6744 ± 1.5433,8.9429 ± 1.6406,0.9000 ± 0.0000,0.0001 ± 0.0000,2350.9041 ± 236.5273,-2232.2148 ± 22.0567
