shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
8.0,8.0,-2322.952989593608,-2311.89642103536,-2271.3496881230126,2271.3496881230126,1
6.0,8.0,-2321.5575462016564,-2307.6498335334713,-2264.28240908464,2264.28240908464,2
7.0,9.0,-2324.729652283774,-2309.0710229089227,-2266.235456204101,2266.235456204101,3
11.0,9.0,-2328.9074281215003,-2310.788182962277,-2266.9068239088983,2266.9068239088983,4
9.0,9.0,-2328.9074281215007,-2310.788182962277,-2266.9068239088983,2266.9068239088983,5
12.0,10.0,-2332.2963314874446,-2315.7472348700767,-2267.2645564046807,2267.2645564046807,6
12.0,10.0,-2332.386849194404,-2317.5129549705744,-2266.2063493266105,2266.2063493266105,7
10.0,10.0,-2332.3218246113834,-2313.0907610137383,-2266.982580468891,2266.982580468891,8
10.0,10.0,-2331.634442668245,-2315.1118304068177,-2266.432183740946,2266.432183740946,9
14.0,10.0,-2331.8539985428934,-2315.775493348654,-2266.1922693481215,2266.1922693481215,10
14.0,10.0,-2332.9307353459176,-2316.754892058667,-2267.4220543041306,2267.4220543041306,11
8.0,10.0,-2341.0710282823534,-2316.0586864364113,-2266.6628017716635,2266.6628017716635,12
10.0,10.0,-2340.303901584038,-2326.2219028594914,-2266.141556591232,2266.141556591232,13
13.0,11.0,-2347.038140520826,-2328.280985822782,-2267.0701411695836,2267.0701411695836,14
