shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
4.0,25.0,-12757.722982210686,-12794.360046180496,-12103.343728007994,12103.343728007994,1
4.0,25.0,-12748.336935774896,-12784.035836965602,-12100.626477307991,12100.626477307991,2
6.0,25.0,-12748.336935774894,-12784.035836965602,-12100.626477307993,12100.626477307993,3
7.0,26.0,-12825.400877086482,-12843.190231066756,-12100.74722208112,12100.74722208112,4
8.0,25.0,-12794.308808852575,-12840.457352561916,-12134.375611854279,12134.375611854279,5
8.0,25.0,-12794.30880885258,-12840.457352561914,-12134.375611854279,12134.375611854279,6
7.0,26.0,-12816.014830650696,-12832.86602185186,-12098.029971381116,12098.029971381116,7
10.0,25.0,-12784.92276241679,-12830.133143347019,-12131.658361154277,12131.658361154277,8
11.0,26.0,-12861.986703728377,-12889.287537448174,-12131.779105927404,12131.779105927404,9
11.0,26.0,-12852.600657292587,-12878.963328233278,-12129.0618552274,12129.0618552274,10
