iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
100,26.962620735168457,3.54325532913208,26.005,1.16,0.40554666666666667,0.04459416195856873,0.055380414312617705,-17254.197880377083,-16582.151784483052,-17266.436580515994,-16597.41561187338,298.84423828125,298.84423828125,298.84423828125,0.0,0.0001,,
500,41.7148220539093,10.290175199508667,78.4,70.66,0.6922666666666666,0.15305148007228336,0.15905816468939005,-25920.582296395165,-21492.253781426345,-18798.051451170366,-16911.422803807967,171.9708709716797,198.49978637695312,185.57867431640625,0.03600001335144043,0.0001,,
1000,56.93430233001709,9.198620319366455,89.265,80.48,0.5551999999999999,0.0753571639606388,0.08275247384014683,-25917.721361027827,-22223.64856808554,-19123.489662664906,-16947.049677947158,152.63235473632812,192.55079650878906,181.3118896484375,0.08099997043609619,0.0001,,
2000,77.64461016654968,24.541475296020508,90.7,84.15,0.6197866666666667,0.08233688635526587,0.08943946735308154,-26170.34214501208,-23528.78586967689,-19068.90679805536,-17959.62739914362,176.62506103515625,197.79014587402344,206.15757751464844,0.17100000381469727,0.0001,14352.94631803527,-13669.891650652757
3000,113.2545518875122,8.75406002998352,92.355,86.775,0.5943466666666666,0.11309320480271273,0.1076631464985369,-25985.704355326536,-23715.078650317486,-18933.39232008771,-17094.43358484917,240.0830841064453,206.91970825195312,211.59103393554688,0.26099997758865356,0.0001,,
4000,132.76580953598022,23.696135759353638,93.08,88.66,0.5850666666666666,0.10875878735310926,0.09585271157291608,-26058.42765198295,-24620.650689971975,-18751.849690719766,-17433.291476688755,199.66929626464844,212.7123260498047,208.9754638671875,0.35099995136260986,0.0001,14202.25069212991,-13755.352851138727
5000,167.30623745918274,7.4789347648620605,87.17,86.295,0.5869333333333333,0.22830426311111646,0.16496575016534826,-25835.52619974823,-24247.02600011633,-19326.46595515534,-18259.284097696906,177.58584594726562,206.88099670410156,203.8302459716797,0.44099998474121094,0.0001,,
6000,190.10698628425598,20.5740487575531,75.085,72.56,0.5783466666666667,0.2704363478909275,0.19252097348526404,-19149.644941869512,-17024.996187630248,-17207.01749741941,-16329.802820975961,188.37576293945312,189.44485473632812,175.43455505371094,0.5309999585151672,0.0001,13871.9686768991,-13552.906751872224
7000,221.2976267337799,5.47105860710144,63.88,59.365,0.5814400000000001,0.23015810204104037,0.11077068557919623,-16276.579908523028,-15879.448186615371,-16051.108834599658,-15783.700241629444,161.9367218017578,176.44686889648438,166.69970703125,0.6209999918937683,0.0001,,
8000,236.88273549079895,17.062126636505127,56.185,51.245,0.6000533333333332,0.2306911323858773,0.12732329081639146,-15178.108016874148,-14964.276947053295,-15315.39505611677,-15064.826744248265,174.50233459472656,163.19122314453125,167.98175048828125,0.7109999656677246,0.0001,13727.705249947514,-13530.455394619377
9000,263.66162180900574,5.1004393100738525,55.76,47.78,0.5728533333333334,0.20129813636177696,0.12789105006999138,-15060.773129486166,-14745.069630016264,-15175.79550208912,-14836.273470017299,129.0548858642578,154.31597900390625,140.94960021972656,0.8009999990463257,0.0001,,
