iteration,training_time_seconds_mean,training_time_seconds_std,history_eval_time_seconds_mean,history_eval_time_seconds_std,expected_shd_mean,expected_shd_std,expected_edges_mean,expected_edges_std,roc_auc_mean,roc_auc_std,prc_auc_mean,prc_auc_std,ave_prec_mean,ave_prec_std,bic_mean_mean,bic_mean_std,bic_max_mean,bic_max_std,bdeu_mean_mean,bdeu_mean_std,bdeu_max_mean,bdeu_max_std,loss_mean,loss_std,avg_loss_mean,avg_loss_std,smooth_loss_mean,smooth_loss_std,epsilon_mean,epsilon_std,learning_rate_mean,learning_rate_std,neg_avg_predictive_log_likelihood_mean,neg_avg_predictive_log_likelihood_std,predictive_log_likelihood_best_mean,predictive_log_likelihood_best_std
100,26.853550100326537,0.27155904752878096,3.2175033569335936,0.7761624012726758,25.809999999999995,0.27276363393971753,0.9969999999999999,0.3390538305343268,0.49862399999999996,0.0560172595624678,0.06417520878081806,0.024196726396739407,0.0665721416249336,0.009618263970481914,-17307.6780837373,100.49484344052172,-16610.176332829007,131.37779344730066,-17320.02958096718,100.9147469191373,-16631.40566104861,132.83582243388054,254.91882934570313,41.93679128540482,254.91882934570313,41.93679128540482,254.91882934570313,41.93679128540482,0.0,0.0,0.0001,0.0,,,,
500,41.45204448699951,0.5671996853528952,9.728751993179321,0.9433458353930118,76.729,3.7954897575938755,69.897,2.079289542127312,0.6708373333333333,0.038206259405727916,0.14929791059325664,0.07012709118409234,0.15812517140497834,0.06966411431994779,-26576.838888962062,573.3869755393639,-21159.669399006514,2178.3233197508744,-18861.436215890502,89.83236828077025,-17257.20053964478,290.45352532681403,180.8333740234375,12.52193507500602,184.41625061035157,8.432090484872452,185.61260986328125,8.254272669142544,0.0360000133514404,0.0,0.0001,0.0,,,,
1000,56.36386260986328,0.7666905791545199,9.017306232452393,0.9604545118474414,83.66199999999999,6.262929226807534,77.07300000000001,4.314470709136871,0.6437440000000001,0.07320771204061925,0.1142904530320826,0.0713942208043252,0.11989195934829174,0.06903542232618988,-26600.30176307191,811.8481480723165,-23060.297693678138,747.1458206934229,-18914.728712521763,253.69710626108952,-17251.834767765762,419.7064959341271,169.15682983398438,17.345445740281132,185.08646240234376,6.276004226540817,184.86348876953124,7.656767604494221,0.0809999704360961,0.0,0.0001,0.0,,,,
2000,76.21736912727356,1.7140247166586766,23.197887134552,1.5152433363022795,82.007,7.699867368987602,76.87899999999999,7.339253538337536,0.6446293333333333,0.031015188250633312,0.1293029307693753,0.05609014056323707,0.12803943406521462,0.0362990259066719,-26590.187999654358,460.9309192345367,-23620.332839168725,589.1801468131598,-19008.827447024447,498.81905146837283,-17732.142630010163,806.7311540129966,186.69632873535156,9.970334173067824,198.3511749267578,5.115839784841402,198.60492553710938,5.208463372274096,0.1710000038146972,0.0,0.0001,0.0,14506.612301405123,189.60397134259907,-13793.143562315448,113.74236174133016
3000,110.863645029068,2.7000258003369253,8.085355186462403,0.48184258410404235,85.69300000000001,4.009726611628278,82.11800000000001,3.84633689372109,0.6332373333333333,0.022393884879582666,0.18653936110087058,0.050445967287032586,0.16497789733807422,0.04669132160339859,-26331.589435432754,389.5800565773276,-24310.199958150508,406.79142084349314,-18957.183069686133,328.0349742032015,-17674.55305602699,448.5377685708735,201.66288146972656,35.492121768126786,208.34162292480468,5.891714672254492,207.85772094726562,6.433765585386339,0.2609999775886535,0.0,0.0001,0.0,,,,
4000,130.02480669021605,3.0342713943033557,23.0170437335968,0.9600550273463914,87.912,5.645393697520127,84.14500000000001,6.702193670731995,0.6061333333333334,0.01964086442994697,0.194157210619131,0.05540937393054563,0.1449170617915665,0.03372866058335214,-26016.02502116992,352.6879417643184,-24198.02101648326,1299.144077654594,-18962.053446932183,348.3258598640144,-18162.36567996024,513.9265419615106,191.2255401611328,27.71053868990469,213.05758972167968,9.218710056879846,207.33624572753905,7.201952638271189,0.3509999513626098,0.0,0.0001,0.0,14504.763854153789,186.4476034156344,-14076.648474804306,222.5689574672999
5000,163.82924571037293,3.740601747135993,6.843894910812378,0.7616216536490547,78.286,10.848038647608147,75.31299999999999,12.009386745375469,0.6034453333333334,0.030782265601406854,0.23629435959113287,0.020326231499701655,0.18253598784953357,0.027657981705434417,-21628.414164297992,4245.150612851339,-18169.287878104824,3531.0510696943984,-17997.62040673104,1332.520466812757,-16710.48116641066,1066.219663345066,194.1590118408203,22.225007351277977,205.36324157714844,12.559235339544161,204.3780975341797,12.51885083811146,0.4409999847412108,6.206335383118183e-17,0.0001,0.0,,,,
6000,181.6590488433838,5.755767197792744,18.002080154418945,1.4879064574472753,60.141,8.575024343988765,55.085,9.994624805364131,0.6053226666666667,0.024867703999811135,0.26126865431731383,0.04419904186826484,0.1780905468365252,0.05763119828860554,-16558.743002187668,1467.389401232193,-15696.104024017428,763.364948764182,-16218.68019756797,590.4686815663678,-15633.723037003929,446.15562559587136,198.12533569335935,9.294711683306295,191.6214447021484,12.269415361803256,189.70910034179687,13.871096207439198,0.5309999585151672,0.0,0.0001,0.0,14050.531615578871,192.01475233522854,-13780.099573134434,226.81768361244107
7000,209.97365779876708,7.281298980973114,5.213318300247193,0.16763293665505474,55.414,4.824746625471643,49.201,5.944883724682932,0.6031786666666666,0.013372826843183782,0.24713321673960995,0.020211628854193333,0.13828243565136514,0.022927791239513464,-15759.476045215304,324.81975171096315,-15491.375887032982,331.21999150691715,-15784.036513844907,210.95716686640975,-15531.84228227016,289.6758010640424,158.9369110107422,22.81235549861039,178.77560119628907,14.511566081732107,174.33005981445314,17.24978698740348,0.6209999918937683,0.0,0.0001,0.0,,,,
8000,225.29104714393617,7.25783224326705,16.987673807144166,0.5381389665191367,52.50599999999999,4.564472039568212,47.778,5.0494747251570615,0.6303573333333332,0.02867856869200805,0.26711621916031547,0.03740883550337459,0.1829599819226963,0.04679310084783037,-15284.867783037718,227.37595763889195,-14952.27044234894,265.18958358767355,-15357.52828362346,196.93319731355754,-15014.347118015168,254.6653173442639,163.74815216064454,49.386347477367444,165.88863830566407,15.712996055058603,164.924365234375,19.628663944240433,0.7109999656677246,0.0,0.0001,0.0,14020.750223042476,216.67090373572512,-13744.94867254733,191.7344450750336
9000,252.1781322479248,7.05637413700844,5.088974285125732,0.18745553246512614,51.928999999999995,7.147115152283472,46.47,5.712298136477122,0.6377280000000001,0.05306209159507791,0.2752404303179803,0.08078709194921561,0.1889229231361848,0.09210115012253894,-15168.685568981968,210.1531396699123,-14873.87625831885,249.4773234196136,-15257.243339428378,224.28680344317314,-14956.312864807387,274.36188772408747,146.60467529296875,15.255827901311372,154.32859497070314,17.02400787337757,152.12222900390626,18.93631266038965,0.8009999990463257,0.0,0.0001,0.0,,,,
10000,266.7134051799774,7.148166915288915,15.775867366790772,0.8260753665719631,47.077,6.615797948849406,41.047999999999995,5.41679633178136,0.6409813333333333,0.04403755326738507,0.2824701004504144,0.044814946022825104,0.19664519302844355,0.05742033973536222,-15102.405538995401,276.94186104592404,-14779.40496339048,326.92736869405326,-15158.273117945568,272.89683446321396,-14826.426891081272,328.8988877491691,126.7185775756836,13.151939917775323,144.36515197753906,12.340025843561387,140.91275329589843,12.891511341659111,0.8909999132156372,0.0,0.0001,0.0,14071.483255129573,195.98865993012242,-13807.077259100715,281.95464518960756
11000,291.99754295349123,7.466164797109246,4.904155635833741,0.07767182297660903,48.283,1.1200368297515917,42.299,1.0279311747388518,0.6450239999999999,0.023430863596736927,0.26609687471060023,0.025427024326215804,0.17768687246384118,0.03387105157983643,-14973.695364788407,145.08971367935055,-14766.169896322908,198.99107455072115,-15049.414347272765,169.33566851923854,-14831.447478628868,210.27267684892672,138.0248260498047,23.4681604260393,134.23484497070314,6.350695066382931,133.8127685546875,3.7055655081604995,0.8999999761581421,0.0,0.0001,0.0,,,,
12000,307.010745382309,7.736349418636847,17.81544508934021,0.7885154694767591,61.656000000000006,5.870391170952751,55.11199999999999,5.542497857464629,0.6152960000000001,0.040237329710384954,0.18567479452205288,0.030447440584080856,0.13047733211527607,0.037488094992604755,-15471.991689245406,617.5622108120435,-14917.053303017787,381.8722373331352,-15418.291192504776,600.0382628871557,-14922.898350604057,399.81632727425443,121.91484222412109,10.332303224406543,124.84693298339843,6.440738434047026,121.09403076171876,6.9181904981171645,0.8999999761581421,0.0,0.0001,0.0,13964.794556528697,478.0638619664982,-13582.503075123906,458.3127648030451
13000,334.28626589775087,7.977578558811711,5.201395034790039,0.34671477145560153,57.777,8.135334658144064,50.483000000000004,7.638001702016046,0.581504,0.02278683128475741,0.18852111803690555,0.04495820523487015,0.1103376664287405,0.02311324895598875,-15251.241669448165,329.34607962417243,-14834.644417175043,278.86005228374336,-15215.712037324996,272.5681221659942,-14808.736416095355,270.2318105686363,112.91157989501953,12.169013481842093,119.81053161621094,6.611281494103574,117.49734344482422,6.188884447035498,0.8999999761581421,0.0,0.0001,0.0,,,,
14000,349.26418113708496,7.886945489078354,17.343125343322754,1.5694282529184713,59.52399999999999,12.501117150079027,51.162,10.619691968225817,0.600704,0.042379792249503896,0.15997201603629613,0.04155618606515375,0.1055170788537638,0.02618392142775518,-15265.317962969206,476.0759303994422,-14638.146333050536,275.53945179817987,-15234.332507556357,370.12462553564177,-14669.049758520789,267.1125614561584,100.41560211181641,14.018169171748259,110.21703338623047,10.356909485469687,106.20642547607422,12.86423356366087,0.8999999761581421,0.0,0.0001,0.0,13933.583201254387,203.5307840631071,-13574.051761128114,324.14596400093103
