iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
100,26.8536 ± 0.2716,3.2175 ± 0.7762,25.8100 ± 0.2728,0.9970 ± 0.3391,0.4986 ± 0.0560,0.0642 ± 0.0242,0.0666 ± 0.0096,-17307.6781 ± 100.4948,-16610.1763 ± 131.3778,-17320.0296 ± 100.9147,-16631.4057 ± 132.8358,254.9188 ± 41.9368,254.9188 ± 41.9368,254.9188 ± 41.9368,0.0000 ± 0.0000,0.0001 ± 0.0000,,
500,41.4520 ± 0.5672,9.7288 ± 0.9433,76.7290 ± 3.7955,69.8970 ± 2.0793,0.6708 ± 0.0382,0.1493 ± 0.0701,0.1581 ± 0.0697,-26576.8389 ± 573.3870,-21159.6694 ± 2178.3233,-18861.4362 ± 89.8324,-17257.2005 ± 290.4535,180.8334 ± 12.5219,184.4163 ± 8.4321,185.6126 ± 8.2543,0.0360 ± 0.0000,0.0001 ± 0.0000,,
1000,56.3639 ± 0.7667,9.0173 ± 0.9605,83.6620 ± 6.2629,77.0730 ± 4.3145,0.6437 ± 0.0732,0.1143 ± 0.0714,0.1199 ± 0.0690,-26600.3018 ± 811.8481,-23060.2977 ± 747.1458,-18914.7287 ± 253.6971,-17251.8348 ± 419.7065,169.1568 ± 17.3454,185.0865 ± 6.2760,184.8635 ± 7.6568,0.0810 ± 0.0000,0.0001 ± 0.0000,,
2000,76.2174 ± 1.7140,23.1979 ± 1.5152,82.0070 ± 7.6999,76.8790 ± 7.3393,0.6446 ± 0.0310,0.1293 ± 0.0561,0.1280 ± 0.0363,-26590.1880 ± 460.9309,-23620.3328 ± 589.1801,-19008.8274 ± 498.8191,-17732.1426 ± 806.7312,186.6963 ± 9.9703,198.3512 ± 5.1158,198.6049 ± 5.2085,0.1710 ± 0.0000,0.0001 ± 0.0000,14506.6123 ± 189.6040,-13793.1436 ± 113.7424
3000,110.8636 ± 2.7000,8.0854 ± 0.4818,85.6930 ± 4.0097,82.1180 ± 3.8463,0.6332 ± 0.0224,0.1865 ± 0.0504,0.1650 ± 0.0467,-26331.5894 ± 389.5801,-24310.2000 ± 406.7914,-18957.1831 ± 328.0350,-17674.5531 ± 448.5378,201.6629 ± 35.4921,208.3416 ± 5.8917,207.8577 ± 6.4338,0.2610 ± 0.0000,0.0001 ± 0.0000,,
4000,130.0248 ± 3.0343,23.0170 ± 0.9601,87.9120 ± 5.6454,84.1450 ± 6.7022,0.6061 ± 0.0196,0.1942 ± 0.0554,0.1449 ± 0.0337,-26016.0250 ± 352.6879,-24198.0210 ± 1299.1441,-18962.0534 ± 348.3259,-18162.3657 ± 513.9265,191.2255 ± 27.7105,213.0576 ± 9.2187,207.3362 ± 7.2020,0.3510 ± 0.0000,0.0001 ± 0.0000,14504.7639 ± 186.4476,-14076.6485 ± 222.5690
5000,163.8292 ± 3.7406,6.8439 ± 0.7616,78.2860 ± 10.8480,75.3130 ± 12.0094,0.6034 ± 0.0308,0.2363 ± 0.0203,0.1825 ± 0.0277,-21628.4142 ± 4245.1506,-18169.2879 ± 3531.0511,-17997.6204 ± 1332.5205,-16710.4812 ± 1066.2197,194.1590 ± 22.2250,205.3632 ± 12.5592,204.3781 ± 12.5189,0.4410 ± 0.0000,0.0001 ± 0.0000,,
6000,181.6590 ± 5.7558,18.0021 ± 1.4879,60.1410 ± 8.5750,55.0850 ± 9.9946,0.6053 ± 0.0249,0.2613 ± 0.0442,0.1781 ± 0.0576,-16558.7430 ± 1467.3894,-15696.1040 ± 763.3649,-16218.6802 ± 590.4687,-15633.7230 ± 446.1556,198.1253 ± 9.2947,191.6214 ± 12.2694,189.7091 ± 13.8711,0.5310 ± 0.0000,0.0001 ± 0.0000,14050.5316 ± 192.0148,-13780.0996 ± 226.8177
7000,209.9737 ± 7.2813,5.2133 ± 0.1676,55.4140 ± 4.8247,49.2010 ± 5.9449,0.6032 ± 0.0134,0.2471 ± 0.0202,0.1383 ± 0.0229,-15759.4760 ± 324.8198,-15491.3759 ± 331.2200,-15784.0365 ± 210.9572,-15531.8423 ± 289.6758,158.9369 ± 22.8124,178.7756 ± 14.5116,174.3301 ± 17.2498,0.6210 ± 0.0000,0.0001 ± 0.0000,,
8000,225.2910 ± 7.2578,16.9877 ± 0.5381,52.5060 ± 4.5645,47.7780 ± 5.0495,0.6304 ± 0.0287,0.2671 ± 0.0374,0.1830 ± 0.0468,-15284.8678 ± 227.3760,-14952.2704 ± 265.1896,-15357.5283 ± 196.9332,-15014.3471 ± 254.6653,163.7482 ± 49.3863,165.8886 ± 15.7130,164.9244 ± 19.6287,0.7110 ± 0.0000,0.0001 ± 0.0000,14020.7502 ± 216.6709,-13744.9487 ± 191.7344
9000,252.1781 ± 7.0564,5.0890 ± 0.1875,51.9290 ± 7.1471,46.4700 ± 5.7123,0.6377 ± 0.0531,0.2752 ± 0.0808,0.1889 ± 0.0921,-15168.6856 ± 210.1531,-14873.8763 ± 249.4773,-15257.2433 ± 224.2868,-14956.3129 ± 274.3619,146.6047 ± 15.2558,154.3286 ± 17.0240,152.1222 ± 18.9363,0.8010 ± 0.0000,0.0001 ± 0.0000,,
10000,266.7134 ± 7.1482,15.7759 ± 0.8261,47.0770 ± 6.6158,41.0480 ± 5.4168,0.6410 ± 0.0440,0.2825 ± 0.0448,0.1966 ± 0.0574,-15102.4055 ± 276.9419,-14779.4050 ± 326.9274,-15158.2731 ± 272.8968,-14826.4269 ± 328.8989,126.7186 ± 13.1519,144.3652 ± 12.3400,140.9128 ± 12.8915,0.8910 ± 0.0000,0.0001 ± 0.0000,14071.4833 ± 195.9887,-13807.0773 ± 281.9546
11000,291.9975 ± 7.4662,4.9042 ± 0.0777,48.2830 ± 1.1200,42.2990 ± 1.0279,0.6450 ± 0.0234,0.2661 ± 0.0254,0.1777 ± 0.0339,-14973.6954 ± 145.0897,-14766.1699 ± 198.9911,-15049.4143 ± 169.3357,-14831.4475 ± 210.2727,138.0248 ± 23.4682,134.2348 ± 6.3507,133.8128 ± 3.7056,0.9000 ± 0.0000,0.0001 ± 0.0000,,
12000,307.0107 ± 7.7363,17.8154 ± 0.7885,61.6560 ± 5.8704,55.1120 ± 5.5425,0.6153 ± 0.0402,0.1857 ± 0.0304,0.1305 ± 0.0375,-15471.9917 ± 617.5622,-14917.0533 ± 381.8722,-15418.2912 ± 600.0383,-14922.8984 ± 399.8163,121.9148 ± 10.3323,124.8469 ± 6.4407,121.0940 ± 6.9182,0.9000 ± 0.0000,0.0001 ± 0.0000,13964.7946 ± 478.0639,-13582.5031 ± 458.3128
13000,334.2863 ± 7.9776,5.2014 ± 0.3467,57.7770 ± 8.1353,50.4830 ± 7.6380,0.5815 ± 0.0228,0.1885 ± 0.0450,0.1103 ± 0.0231,-15251.2417 ± 329.3461,-14834.6444 ± 278.8601,-15215.7120 ± 272.5681,-14808.7364 ± 270.2318,112.9116 ± 12.1690,119.8105 ± 6.6113,117.4973 ± 6.1889,0.9000 ± 0.0000,0.0001 ± 0.0000,,
14000,349.2642 ± 7.8869,17.3431 ± 1.5694,59.5240 ± 12.5011,51.1620 ± 10.6197,0.6007 ± 0.0424,0.1600 ± 0.0416,0.1055 ± 0.0262,-15265.3180 ± 476.0759,-14638.1463 ± 275.5395,-15234.3325 ± 370.1246,-14669.0498 ± 267.1126,100.4156 ± 14.0182,110.2170 ± 10.3569,106.2064 ± 12.8642,0.9000 ± 0.0000,0.0001 ± 0.0000,13933.5832 ± 203.5308,-13574.0518 ± 324.1460
15000,376.3828 ± 8.3637,5.0529 ± 0.3515,56.5360 ± 10.2960,48.4390 ± 8.6322,0.5876 ± 0.0669,0.1881 ± 0.0732,0.1136 ± 0.0461,-14906.1319 ± 613.6190,-14512.4193 ± 503.7110,-14937.6173 ± 589.9718,-14556.6759 ± 518.5463,103.1034 ± 25.9898,97.5149 ± 10.1577,97.0543 ± 12.4785,0.9000 ± 0.0000,0.0001 ± 0.0000,,
16000,391.0748 ± 8.5910,16.4869 ± 1.2494,50.6680 ± 11.2593,45.1960 ± 8.9054,0.6465 ± 0.0772,0.2146 ± 0.0895,0.1455 ± 0.0721,-14648.8967 ± 438.1356,-14212.4477 ± 403.5022,-14678.6295 ± 457.9171,-14222.0026 ± 417.3165,93.3225 ± 22.8906,86.1841 ± 12.0282,83.5546 ± 11.0913,0.9000 ± 0.0000,0.0001 ± 0.0000,13490.3176 ± 414.2585,-13147.3557 ± 479.0337
17000,417.0419 ± 9.4648,4.9432 ± 0.5020,46.9280 ± 13.0425,42.6420 ± 10.1966,0.6507 ± 0.0591,0.2598 ± 0.0934,0.1657 ± 0.0502,-14572.4163 ± 696.3358,-14135.4768 ± 337.4156,-14569.3042 ± 709.3737,-14107.7701 ± 315.3581,71.6675 ± 12.0635,76.1817 ± 11.7157,73.9795 ± 12.7937,0.9000 ± 0.0000,0.0001 ± 0.0000,,
