iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
100,25.05343270301819,4.247893333435059,17.51,0.965,0.5794683257918553,0.15811562626147882,0.16622074144670765,-93117.047795994,-85209.35037435418,-93121.97951785741,-85182.95733197758,2846.14404296875,2846.14404296875,2846.14404296875,0.0,0.0001,,
500,53.114198446273804,11.981489658355713,41.29,47.92,0.5924773755656108,0.14940582825947757,0.1621634412565283,-151874.43625251684,-138026.83731152993,-87495.73117800531,-84265.9026816835,2500.799072265625,2204.892822265625,2189.336669921875,0.03600001335144043,0.0001,,
1000,69.80953526496887,8.82633113861084,43.245,48.015,0.5260180995475113,0.13287475519399652,0.143003481652139,-150824.0149066633,-147629.2799731106,-88375.66912122075,-85345.18070189576,1862.8203125,2007.0196533203125,1992.115966796875,0.08099997043609619,0.0001,,
2000,93.03445076942444,21.105724811553955,42.19,48.12,0.5625,0.14124139109815545,0.15154386160053915,-150692.60458441082,-147526.8688547717,-88077.04676315609,-85273.36130180857,1621.561279296875,1827.1610107421875,1768.7845458984375,0.17100000381469727,0.0001,75335.80038183463,-73379.4631406322
3000,128.31756377220154,8.647363901138306,43.6,48.005,0.4686085972850679,0.1260222355800486,0.14434240637014628,-149284.36709126298,-138624.51826488675,-87680.7121244327,-85037.24118169339,1826.1654052734375,1708.3712158203125,1693.164794921875,0.26099997758865356,0.0001,,
4000,148.20392680168152,18.8573899269104,39.475,42.22,0.5104638009049773,0.1369907911113143,0.14974522086270023,-100076.84991212125,-83576.56044702804,-82672.7389501731,-77783.50331710743,1413.754638671875,1664.5867919921875,1596.0181884765625,0.35099995136260986,0.0001,75363.05764088975,-72874.32283204203
5000,177.16491889953613,6.146423578262329,33.465,36.625,0.6176470588235293,0.18188382778299625,0.20021195340311113,-84561.68580300332,-79944.74919836932,-79882.43064576875,-77743.91468413803,1578.0372314453125,1593.00341796875,1613.9552001953125,0.44099998474121094,0.0001,,
6000,193.53044033050537,16.4449565410614,29.91,34.42,0.6894796380090498,0.23194227762398886,0.2600457239923653,-81155.81026794708,-78538.426292148,-78358.65725987636,-76516.40629250943,1382.286865234375,1541.0721435546875,1476.4716796875,0.5309999585151672,0.0001,75227.18283617405,-72862.99380822902
7000,218.88403010368347,5.739323854446411,26.79,32.11,0.6951357466063348,0.23609833427172808,0.25655817568680406,-79319.15842368727,-78042.55703783374,-77671.8818891636,-76744.80121957591,1547.7691650390625,1455.423095703125,1468.721923828125,0.6209999918937683,0.0001,,
8000,233.36641025543213,15.839374542236328,26.16,31.835,0.7338800904977375,0.383593873331658,0.3291100725042216,-79204.47025904765,-78015.68198241586,-77634.23952395761,-76782.09023116907,1331.26025390625,1387.241943359375,1314.03125,0.7109999656677246,0.0001,75140.45125676204,-74784.09076789647
9000,257.72912311553955,5.820163726806641,25.145,33.135,0.7350113122171946,0.35362179059987336,0.2810956925772131,-77016.48007488599,-76457.98784658276,-75297.84827090356,-74726.13964327367,1087.0745849609375,1218.503662109375,1190.954345703125,0.8009999990463257,0.0001,,
10000,271.84478878974915,15.267760753631592,20.315,29.505,0.7992081447963801,0.4370965058537107,0.39941064485997313,-76402.15866426492,-74591.01678537772,-75314.534482882,-73631.39064496779,1405.2821044921875,1176.72509765625,1149.6307373046875,0.8909999132156372,0.0001,73360.42120899651,-71790.9535990544
11000,295.1270418167114,5.447474479675293,16.665,28.48,0.8690610859728507,0.6482019941565884,0.48656966918999006,-76377.5467632047,-75555.57737272933,-75422.37797874934,-74334.23680716845,1080.348388671875,1132.0159912109375,1092.2762451171875,0.8999999761581421,0.0001,,
12000,308.65254831314087,15.024192571640015,18.0,28.0,0.7446266968325791,0.5499065106016978,0.32334243296810145,-75881.70819334981,-75881.67225754818,-75119.77868586432,-75106.37699081106,974.0883178710938,1083.6453857421875,1031.75927734375,0.8999999761581421,0.0001,73564.24985191636,-73562.33421661216
13000,331.9022183418274,5.413780450820923,17.985,27.985,0.7505656108597285,0.5637160227008519,0.3590496924605272,-75882.18516736053,-75432.4781654939,-75093.13617666072,-74974.20553943957,992.2089233398438,985.8878784179688,954.9933471679688,0.8999999761581421,0.0001,,
14000,345.05756855010986,14.415207624435425,16.0,25.0,0.7236990950226245,0.5271732280567435,0.3136057153727463,-75101.47610105564,-75101.2322688265,-74736.81467120003,-74735.37346270586,734.2111206054688,890.4020385742188,836.043212890625,0.8999999761581421,0.0001,73529.9311396406,-73529.83399041825
15000,367.78092551231384,5.265042781829834,15.0,26.0,0.7514140271493213,0.5598612617329195,0.32334243296810145,-73581.72877614711,-73581.7287761471,-73157.4765951219,-73157.4765951219,778.3215942382812,785.2880859375,777.483154296875,0.8999999761581421,0.0001,,
16000,381.2617301940918,14.633734226226807,13.32,26.32,0.857183257918552,0.7005012693782747,0.4859698590179874,-75828.5963849075,-75220.00471553225,-75131.68663027398,-74848.32891064513,672.594970703125,696.0571899414062,706.9016723632812,0.8999999761581421,0.0001,73571.99743041623,-73543.40635992377
17000,404.0567584037781,5.437041521072388,17.405,25.405,0.6552601809954752,0.43647707016690973,0.2455031599416626,-73770.71509643884,-73208.05288678652,-73127.46173189761,-72801.32712990188,640.7683715820312,636.5257568359375,680.3220825195312,0.8999999761581421,0.0001,,
18000,417.1170802116394,14.887317657470703,18.99,26.99,0.7378393665158371,0.5024622337456561,0.2930119246964167,-76528.75722074017,-76036.28458856043,-75669.51013901453,-75107.97476354786,547.0541381835938,618.3743896484375,577.7578125,0.8999999761581421,0.0001,74055.12806521305,-73734.47023697224
19000,439.91199803352356,5.455076456069946,21.46,27.81,0.6069004524886877,0.38513969259613556,0.2496911498981535,-75496.21664279807,-74882.90805324368,-74458.69789319285,-73855.16050944226,640.65380859375,567.4647827148438,580.8284301757812,0.8999999761581421,0.0001,,
20000,453.31312370300293,14.516243696212769,16.655,25.355,0.7474547511312217,0.38125408280930134,0.3162194739930207,-74391.52675298817,-74249.73323529448,-73482.1497320049,-73375.31633592099,496.0899353027344,507.2809753417969,456.5865478515625,0.8999999761581421,0.0001,72000.50425065207,-71777.80226415682
