iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
500,25.77854084968567,2.4480013847351074,24.29,28.0,0.53125,0.12393917593790148,0.14873405558663808,-3081.2951518492137,-3081.2951518492127,-2393.327779554519,-2393.3277795545146,101.41806030273438,108.4054946899414,103.98101806640625,0.007200002670288086,0.0001,,
1000,31.825419902801514,7.70367956161499,25.12,28.0,0.4910714285714286,0.17140689879306126,0.12017455505358732,-3081.295151849213,-3081.2951518492137,-2393.32777955452,-2393.3277795545155,94.25843811035156,100.02061462402344,99.96501922607422,0.016200006008148193,0.0001,2262.0104070464618,-2262.0104070464604
1500,48.3079731464386,2.2580437660217285,23.135,27.995,0.6618303571428571,0.2646075126335205,0.2518464925316604,-3080.19266605843,-2860.797993692504,-2393.2723186218795,-2382.235593026944,95.89773559570312,98.39617156982422,95.4385986328125,0.0252000093460083,0.0001,,
2000,54.067071199417114,7.388869285583496,21.955,25.425,0.5379464285714286,0.12693118230992656,0.15177834552834552,-2727.3741698851627,-2480.092944784474,-2365.646049115055,-2334.8552068853123,80.00487518310547,78.62016296386719,75.43529510498047,0.03420001268386841,0.0001,2253.036611547551,-2242.8349616061178
2500,65.01017713546753,2.2142140865325928,22.925,26.22,0.5167410714285715,0.11847177389078442,0.13893642337755502,-2799.440404642399,-2519.0496365622885,-2371.5637293122486,-2326.1643598692417,86.07763671875,87.45563507080078,83.74479675292969,0.04319995641708374,0.0001,,
3000,70.9826295375824,7.845581531524658,22.89,26.975,0.6049107142857144,0.13874697524517682,0.1621647536394177,-2920.69295815277,-2482.358133645837,-2383.1043784910476,-2315.9361456643323,64.81877899169922,66.17920684814453,61.56467819213867,0.05219995975494385,0.0001,2258.3243674073137,-2238.9760904005966
3500,82.25078868865967,2.084628105163574,18.7,22.15,0.6964285714285714,0.30696157172952654,0.32524193187913464,-2517.092804737264,-2357.9182633507053,-2336.1434276397117,-2304.3729306192527,64.275146484375,72.77386474609375,64.22409057617188,0.06120002269744873,0.0001,,
4000,87.87768793106079,7.2957751750946045,20.635,24.835,0.6729910714285715,0.19727998153162626,0.23274165527455004,-2660.068478375656,-2435.2023728134945,-2358.342601276154,-2318.764537436597,49.527748107910156,49.337669372558594,48.26856994628906,0.07020002603530884,0.0001,2248.1236814965478,-2240.069177087889
4500,98.82145690917969,2.187613010406494,22.465,26.305,0.5569196428571428,0.1460857506105977,0.17122385625690537,-2831.31488530839,-2451.6916979432935,-2370.4768974987524,-2320.9118493873807,54.34576416015625,65.83617401123047,60.83845138549805,0.07919996976852417,0.0001,,
5000,104.64879822731018,7.288043022155762,21.875,25.18,0.5189732142857144,0.12806824925627075,0.14694940476190477,-2701.6592115702,-2451.6916979432935,-2359.8461263906206,-2320.9118493873807,40.132930755615234,42.6179084777832,39.79559326171875,0.08819997310638428,0.0001,2248.5834195708194,-2236.6810067386973
