shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
95.0,51.0,-12074.614538793701,-11425.433654792454,-10775.653130008179,10775.653130008179,1
94.0,50.0,-12105.578798482577,-11454.644974145129,-10824.878769275769,10824.878769275769,2
97.0,53.0,-12191.068476760189,-11447.462477305358,-10795.099470869081,10795.099470869081,3
98.0,54.0,-12241.242354828759,-11447.70547769994,-10788.759738831368,10788.759738831368,4
99.0,55.0,-12159.676231651283,-11517.58848142779,-10850.529982223512,10850.529982223512,5
100.0,56.0,-12262.54402302578,-11475.933683148785,-10798.82435154805,10798.82435154805,6
99.0,55.0,-12148.348312476415,-11508.633884610374,-10833.798431667385,10833.798431667385,7
101.0,57.0,-12349.65546272277,-11535.078023986644,-10826.119616988375,10826.119616988375,8
96.0,52.0,-12291.895800960072,-11524.825289490225,-10845.256281317721,10845.256281317721,9
100.0,58.0,-12455.396152793126,-11664.322804657475,-10871.99502913047,10871.99502913047,10
101.0,57.0,-12399.876647136905,-11582.917185404438,-10892.411628011252,10892.411628011252,11
95.0,57.0,-12568.819842343015,-11612.388199935689,-10867.074072944062,10867.074072944062,12
99.0,57.0,-12693.400021051795,-11599.762050386085,-10888.23793095053,10888.23793095053,13
