iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,35.58914303779602,12.218261241912842,46.625,0.735,0.5366098130073286,0.042450172179901914,0.03769537541570444,-21101.99897236856,-20547.12062584336,-21110.847358132298,-20551.78100035926,132.95005798339844,132.95005798339844,132.95005798339844,0.0,0.0001,20887.957703631546,-20319.47357983999
1,45.8298773765564,3.1580657958984375,46.79,0.9,0.548588517532617,0.04326876534626453,0.03939242854480775,-21097.159378125285,-20587.011840283954,-21105.93861634545,-20586.114622034012,241.22288513183594,187.0864715576172,143.77734375,4.500150680541992e-05,0.0001,,
10,49.017632484436035,3.072659969329834,46.41,0.465,0.5227743271221532,0.04338352480244372,0.03612475711476887,-21109.17449124342,-20728.663549464367,-21118.73022444942,-20737.44512996029,196.12478637695312,200.26463317871094,180.17137145996094,0.0004500150680541992,0.0001,,
50,52.73063945770264,3.236574172973633,46.995,1.075,0.4817197410365112,0.027794946713865634,0.03273593579116493,-21097.004609963395,-20712.342510013157,-21105.653016228334,-20712.483390127567,256.6295471191406,200.33021545410156,201.96043395996094,0.0022500157356262207,0.0001,,
100,56.87437176704407,3.4881417751312256,48.49,2.89,0.546633146012028,0.04181076010023633,0.03822602514353782,-21065.218302737536,-20182.77501548722,-21072.38093453466,-20163.265516536096,162.162109375,194.56480407714844,177.4155731201172,0.004499971866607666,0.0001,,
500,70.87201309204102,8.043975114822388,88.87,46.975,0.44861809458082746,0.030448954308977396,0.03261950483592686,-23702.483315968915,-18898.64826518992,-20568.693999245344,-18322.04189590204,139.81996154785156,150.93292236328125,141.57041931152344,0.02249997854232788,0.0001,,
1000,90.75968766212463,12.206552982330322,125.255,86.985,0.45493608071247815,0.031905245282392275,0.0349316780565779,-29119.17285039196,-19010.49461358972,-20000.990210893353,-18314.514822610854,114.36552429199219,142.9488983154297,137.96051025390625,0.04500001668930054,0.0001,,
2000,120.99438619613647,37.67062044143677,145.24,108.835,0.4136432350718065,0.029260487561479878,0.032091013243192246,-28162.6239512236,-20309.09161396035,-20782.267536132553,-19619.113255157812,110.46539306640625,132.99119567871094,131.70147705078125,0.09000003337860107,0.0001,19170.05037555033,-17141.09600550084
3000,169.19602155685425,11.076631307601929,120.575,82.76,0.4460136711689507,0.03627483731065362,0.04045032317237598,-21764.21143338494,-19614.31599909859,-20436.83557525514,-18682.527746052103,124.87014770507812,130.3077392578125,129.8839111328125,0.13499999046325684,0.0001,,
4000,193.5728018283844,28.94718647003174,105.255,65.4,0.494018863584081,0.034108652253842124,0.03584708033723539,-19339.30115319597,-18022.06815155351,-18971.33757827168,-17517.021691065493,114.34390258789062,132.67730712890625,132.99449157714844,0.18000000715255737,0.0001,18123.569188706046,-16482.756626800627
5000,236.62218379974365,9.03638243675232,110.825,70.655,0.4790578066975582,0.03302304299711187,0.035820318586738224,-19457.146025635495,-18231.36970628214,-18757.365900293855,-18093.49531482786,110.17134094238281,139.07154846191406,137.4279327392578,0.2250000238418579,0.0001,,
6000,259.97232389450073,28.2000675201416,106.45,67.53,0.48487462617897403,0.031004724468309618,0.0347980202146887,-19088.51330738957,-18688.210925106687,-18746.923266075493,-18414.717072429718,148.4811248779297,145.1313934326172,151.17117309570312,0.2699999213218689,0.0001,17852.3483737263,-17498.86276608318
7000,302.55402517318726,8.62379503250122,109.965,71.525,0.5116582865030069,0.03649088890925516,0.03642602244822672,-19073.667373165008,-18699.2830987334,-18690.931334821125,-18280.432536185417,202.443359375,147.2761688232422,158.09034729003906,0.3149999976158142,0.0001,,
8000,332.8200008869171,30.141607522964478,118.51,79.27,0.4608597062013211,0.027988245174651157,0.03330338705686084,-18546.767103173155,-18110.347323383554,-18092.372020507803,-17647.583641175755,266.67547607421875,149.62559509277344,162.6481475830078,0.35999995470046997,0.0001,17128.623688669726,-16529.394670807207
9000,377.5966286659241,9.377612829208374,120.45,78.875,0.44281770679286214,0.026858229877449773,0.032305989346121486,-18069.43250967672,-17164.79463432068,-17502.609487676673,-16459.18742940387,282.9129333496094,145.99929809570312,159.6096954345703,0.4049999713897705,0.0001,,
10000,403.0632734298706,33.799880504608154,135.175,98.12,0.4970094317920405,0.04990959693515445,0.045791394239321395,-18536.276791208264,-17564.587671457008,-17469.0796130243,-16556.73137779477,343.01361083984375,144.91099548339844,172.844482421875,0.44999998807907104,0.0001,15951.01359241132,-14984.556151037843
