shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
10.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550414,71742.95733550414,1
12.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550412,71742.95733550412,2
14.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550414,71742.95733550414,3
4.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550414,71742.95733550414,4
12.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550414,71742.95733550414,5
8.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550414,71742.95733550414,6
12.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550412,71742.95733550412,7
12.0,17.0,-72480.0180007091,-72294.77897583036,-71742.95733550412,71742.95733550412,8
10.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550412,71742.95733550412,9
13.0,18.0,-72640.32989464136,-72380.0771877066,-71746.91042641646,71746.91042641646,10
