iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
100,21.290093183517456,2.357163906097412,8.68,1.175,0.5,0.11059626076938489,0.1252404896996412,-2927.9586914669326,-2459.032158489441,-2928.4206582508446,-2454.0778892346602,109.63538360595703,109.63538360595703,109.63538360595703,0.0,0.0001,,
500,33.28598165512085,2.513617515563965,23.88,28.0,0.6138392857142857,0.15272664042525014,0.1745250963038947,-3106.6230296022295,-3106.6230296022286,-2419.3138102389516,-2419.3138102389485,94.02462005615234,103.91829681396484,102.26937866210938,0.018000006675720215,0.0001,,
1000,39.625513553619385,2.289376735687256,24.325,28.0,0.5948660714285715,0.25560402441949404,0.23360719343640857,-3106.6230296022295,-3106.6230296022286,-2419.3138102389516,-2419.3138102389485,112.67724609375,96.72547912597656,95.26083374023438,0.040499985218048096,0.0001,,
2000,49.851014614105225,7.7437355518341064,23.16,27.585,0.640625,0.2374605662618074,0.22123744169493795,-3052.8544832772855,-2515.1891707976474,-2415.367317836224,-2360.202299964402,66.97920989990234,76.42232513427734,74.41289520263672,0.08550000190734863,0.0001,2288.06077149596,-2265.0433660795015
3000,65.19479513168335,2.0809123516082764,17.245,21.575,0.7477678571428571,0.4584908169210495,0.47315739815739816,-2518.190908344065,-2434.5888514351577,-2367.323799913342,-2347.617671094673,59.2752571105957,65.1530532836914,60.4112434387207,0.1304999589920044,0.0001,,
4000,74.93061399459839,7.231786727905273,18.515,23.4,0.9040178571428571,0.39146271362796137,0.43740721997300946,-2607.9439363082874,-2442.9947727461786,-2387.2776534783866,-2354.413169944565,41.11817169189453,44.68812561035156,41.150909423828125,0.17549997568130493,0.0001,2278.031725488114,-2265.757269063085
5000,89.21301245689392,2.229224681854248,21.81,27.23,0.7354910714285714,0.22176644194097891,0.2744255339435545,-2994.311050134287,-2460.9754151122474,-2412.625914996445,-2359.492773027383,38.08654022216797,41.93694305419922,40.24480438232422,0.22049999237060547,0.0001,,
6000,99.6577045917511,7.833534479141235,21.02,24.09,0.5770089285714286,0.13619080334686118,0.16326013960334723,-2632.577992732916,-2457.877526387152,-2390.000777674431,-2369.7641763315546,35.747474670410156,40.07144546508789,36.83998489379883,0.26549994945526123,0.0001,2282.5405095946307,-2266.390597550534
7000,114.35166120529175,2.1268115043640137,21.085,23.8,0.6417410714285714,0.22194286385269357,0.18877134862041983,-2617.5271785604,-2514.4204327769526,-2387.3655069360134,-2369.049699853084,25.946226119995117,32.10871887207031,29.025867462158203,0.31050002574920654,0.0001,,
8000,124.13026857376099,7.649437665939331,22.92,26.98,0.6283482142857143,0.20990574657854072,0.17799913884472707,-2946.2401092962864,-2775.0507762110865,-2428.7869037122623,-2394.063092789317,21.257333755493164,22.712114334106445,21.60708999633789,0.3554999828338623,0.0001,2301.6150932453033,-2286.8194984991624
9000,139.47755980491638,2.1711320877075195,22.45,25.42,0.5970982142857142,0.28956093455781967,0.20361014324428958,-2714.9001724584914,-2667.9493662015034,-2393.337467271631,-2380.7478664571254,16.701990127563477,19.041019439697266,18.35504913330078,0.40049996972084045,0.0001,,
10000,149.51853823661804,7.355416536331177,21.535,24.87,0.6294642857142858,0.21619282581453636,0.17658208020050126,-2668.4521817571413,-2572.267960831475,-2389.1522617404617,-2377.2465942786525,26.304227828979492,19.65113067626953,24.581972122192383,0.445499986410141,0.0001,2275.825811240296,-2269.3239155757187
11000,164.4073212146759,2.1692867279052734,22.6,25.315,0.6004464285714286,0.19885298505288132,0.152444525050823,-2732.523179623538,-2639.6686204889256,-2404.1708663707495,-2398.332787803415,15.735471725463867,17.868345260620117,17.26920509338379,0.49049994349479675,0.0001,,
12000,174.29224395751953,7.586512804031372,23.92,26.99,0.6372767857142857,0.39188676879148016,0.2074718963831867,-2884.5053124929063,-2778.473450665217,-2413.1339849542733,-2398.332787803415,23.06608772277832,18.025371551513672,19.16153335571289,0.5354999303817749,0.0001,2288.8255353628488,-2280.0255962585306
13000,189.4326934814453,2.1857481002807617,23.585,26.1,0.6495535714285714,0.34608860147945475,0.23024867474181498,-2790.782743783934,-2642.440990509812,-2406.761511852834,-2384.580863121774,15.660660743713379,17.354860305786133,16.345355987548828,0.5805000066757202,0.0001,,
14000,199.38691592216492,7.612080097198486,23.185,26.94,0.6450892857142857,0.2779356677350062,0.1886289337902241,-2935.5961265450405,-2668.1239181793235,-2412.853776261835,-2387.445765947521,24.1146240234375,18.01213836669922,17.88408088684082,0.625499963760376,0.0001,2288.453331017307,-2271.402071647924
15000,214.57775354385376,2.0541555881500244,17.75,21.905,0.75,0.3767930616090899,0.24215146412727057,-2574.7661554638203,-2515.802743748563,-2375.184949023071,-2367.704315173498,14.659211158752441,17.98587989807129,16.22211265563965,0.6704999804496765,0.0001,,
16000,224.28134274482727,7.686131715774536,21.885,27.77,0.7265625,0.30174825174825176,0.2097222222222222,-3083.0982388289667,-2542.4213129469535,-2417.3653779169977,-2362.855693249124,19.934722900390625,17.49945831298828,17.118675231933594,0.7154999375343323,0.0001,2289.0649589030672,-2272.3717744126134
17000,239.3147430419922,2.0385358333587646,20.015,21.74,0.6819196428571428,0.34484466488980864,0.20335810023310025,-2550.638650719317,-2462.502259824087,-2375.271519192468,-2361.6620548850933,15.088093757629395,15.21242618560791,14.10555362701416,0.7604999542236328,0.0001,,
