,BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
0,yes,Equal,Mild,Normal,Oligaemic,no,yes,12+,12+,<7.5,Asy/Patchy,Fallot,no,0-3_days,no,None,Complete,Normal,Low,yes
1,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,<5,<7.5,Oligaemic,Fallot,no,11-30_days,no,None,Mild,Normal,Low,no
2,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
3,no,Equal,Moderate,Normal,Grd_Glass,no,no,5-12,5-12,>=7.5,Grd_Glass,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
4,no,Equal,Moderate,Normal,Oligaemic,no,no,12+,5-12,>=7.5,Normal,Fallot,no,11-30_days,no,None,Complete,Normal,Low,no
5,no,Equal,Moderate,Normal,Asy/Patch,yes,no,<5,<5,<7.5,Asy/Patchy,TAPVD,yes,0-3_days,no,Rt_to_Lt,Complete,Abnormal,Normal,no
6,no,Equal,Severe,High,Plethoric,no,no,5-12,<5,>=7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Congested,Low,no
7,no,Equal,Severe,Normal,Plethoric,yes,no,<5,12+,>=7.5,Plethoric,TGA,yes,4-10_days,no,None,Transp.,Normal,High,yes
8,yes,Equal,Severe,Normal,Oligaemic,no,no,12+,5-12,<7.5,Oligaemic,TGA,no,4-10_days,no,None,Transp.,Normal,Low,yes
9,no,Equal,Severe,Normal,Plethoric,no,no,<5,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
10,no,Equal,Severe,High,Asy/Patch,yes,yes,<5,<5,>=7.5,Asy/Patchy,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
11,no,Unequal,Severe,Normal,Oligaemic,yes,no,<5,<5,<7.5,Oligaemic,PFC,yes,0-3_days,no,Rt_to_Lt,Transp.,Normal,Low,yes
12,no,Equal,Severe,Normal,Normal,no,no,5-12,<5,<7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,yes
13,yes,Equal,Moderate,Normal,Normal,yes,no,<5,5-12,<7.5,Normal,TGA,yes,0-3_days,no,Rt_to_Lt,Mild,Normal,High,no
14,no,Equal,Severe,Normal,Oligaemic,no,yes,<5,<5,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
15,no,Unequal,Moderate,High,Oligaemic,no,no,<5,5-12,>=7.5,Normal,TGA,no,0-3_days,no,Rt_to_Lt,Mild,Abnormal,High,no
16,no,Equal,Moderate,Normal,Normal,no,yes,<5,12+,>=7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Normal,yes
17,no,Equal,Moderate,High,Asy/Patch,yes,no,5-12,5-12,>=7.5,Plethoric,Fallot,yes,0-3_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
18,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Oligaemic,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,no
19,no,Equal,Severe,Normal,Grd_Glass,yes,yes,<5,12+,<7.5,Grd_Glass,TGA,yes,0-3_days,yes,None,Transp.,Abnormal,High,no
20,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,<7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,no
21,no,Equal,Mild,Normal,Normal,no,no,<5,<5,>=7.5,Grd_Glass,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,no
22,no,Equal,Severe,Normal,Plethoric,no,yes,5-12,5-12,>=7.5,Plethoric,TGA,no,0-3_days,no,Lt_to_Rt,Transp.,Normal,High,no
23,no,Equal,Moderate,Normal,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
24,no,Equal,Mild,Normal,Normal,no,no,5-12,12+,<7.5,Normal,Fallot,no,4-10_days,no,Lt_to_Rt,Mild,Normal,Low,no
25,no,Equal,Mild,Normal,Oligaemic,no,no,12+,5-12,<7.5,Oligaemic,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
26,no,Equal,Severe,Low,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TGA,no,4-10_days,no,None,Transp.,Normal,High,no
27,no,Equal,Severe,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Plethoric,TAPVD,no,0-3_days,no,Rt_to_Lt,Complete,Abnormal,Normal,yes
28,no,Unequal,Moderate,Normal,Oligaemic,no,no,<5,<5,<7.5,Oligaemic,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
29,no,Equal,Moderate,Low,Plethoric,no,no,5-12,5-12,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
30,no,Equal,Moderate,Normal,Asy/Patch,yes,no,5-12,5-12,<7.5,Asy/Patchy,TAPVD,yes,0-3_days,no,Lt_to_Rt,Complete,Abnormal,Normal,yes
31,no,Equal,Severe,Normal,Oligaemic,no,no,5-12,<5,<7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Mild,Normal,Low,yes
32,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Oligaemic,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
33,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,<7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
34,no,Equal,Severe,Low,Asy/Patch,no,no,<5,5-12,<7.5,Asy/Patchy,PFC,no,4-10_days,no,Rt_to_Lt,Transp.,Normal,Low,yes
35,no,Unequal,Moderate,Low,Oligaemic,no,no,<5,5-12,<7.5,Oligaemic,PFC,no,11-30_days,no,Lt_to_Rt,Mild,Normal,Low,no
36,no,Equal,Mild,Normal,Asy/Patch,no,no,5-12,12+,>=7.5,Asy/Patchy,Lung,no,4-10_days,no,None,None,Abnormal,Normal,no
37,no,Equal,Moderate,Normal,Grd_Glass,yes,no,<5,5-12,<7.5,Grd_Glass,TAPVD,yes,0-3_days,no,Lt_to_Rt,None,Congested,High,no
38,no,Equal,Severe,Normal,Plethoric,no,no,5-12,5-12,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,High,yes
39,no,Equal,Severe,Normal,Normal,no,no,<5,<5,<7.5,Normal,TGA,no,0-3_days,no,Lt_to_Rt,Transp.,Normal,High,yes
40,no,Unequal,Severe,Normal,Plethoric,no,no,<5,<5,>=7.5,Plethoric,TGA,no,0-3_days,no,Lt_to_Rt,Transp.,Normal,High,no
41,no,Equal,Mild,Normal,Oligaemic,yes,no,5-12,5-12,<7.5,Oligaemic,Lung,yes,0-3_days,no,None,None,Abnormal,Normal,yes
42,no,Equal,Severe,Normal,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TGA,no,4-10_days,no,Lt_to_Rt,Transp.,Normal,High,no
43,no,Equal,Severe,High,Asy/Patch,yes,no,5-12,12+,>=7.5,Asy/Patchy,TGA,yes,0-3_days,no,None,Transp.,Abnormal,Normal,yes
44,no,Equal,Severe,High,Oligaemic,no,no,<5,<5,>=7.5,Oligaemic,Fallot,no,0-3_days,no,None,Complete,Abnormal,Low,no
45,no,Unequal,Severe,Normal,Asy/Patch,yes,no,5-12,<5,<7.5,Asy/Patchy,PFC,yes,0-3_days,no,Rt_to_Lt,None,Abnormal,Normal,no
46,no,Equal,Mild,Normal,Normal,no,yes,5-12,5-12,<7.5,Normal,Fallot,no,4-10_days,yes,Lt_to_Rt,None,Normal,Normal,yes
47,no,Equal,Moderate,Low,Normal,no,yes,12+,5-12,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
48,no,Equal,Severe,Normal,Plethoric,no,no,12+,<5,>=7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
49,yes,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Normal,no
50,no,Equal,Severe,High,Asy/Patch,yes,no,<5,<5,>=7.5,Asy/Patchy,Fallot,yes,11-30_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
51,no,Equal,Moderate,Normal,Normal,no,no,<5,<5,<7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,no
52,no,Equal,Moderate,Normal,Normal,no,yes,5-12,<5,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,High,no
53,yes,Unequal,Mild,High,Oligaemic,no,no,5-12,5-12,>=7.5,Oligaemic,PFC,no,0-3_days,no,Rt_to_Lt,None,Normal,Low,no
54,yes,Unequal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
55,no,Equal,Severe,Normal,Normal,no,no,12+,5-12,<7.5,Normal,TGA,yes,4-10_days,no,None,Transp.,Normal,Normal,no
56,no,Equal,Moderate,Normal,Asy/Patch,no,no,<5,<5,<7.5,Plethoric,TAPVD,no,0-3_days,no,Rt_to_Lt,Complete,Congested,Normal,yes
57,no,Equal,Severe,Normal,Normal,no,no,5-12,<5,>=7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Normal,Normal,no
58,no,Equal,Moderate,Normal,Oligaemic,no,no,12+,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,no
59,no,Unequal,Mild,Normal,Normal,no,no,<5,12+,>=7.5,Normal,PFC,no,0-3_days,no,Rt_to_Lt,None,Normal,Normal,no
60,no,Unequal,Severe,High,Grd_Glass,yes,no,<5,5-12,>=7.5,Grd_Glass,TGA,yes,0-3_days,no,Rt_to_Lt,Transp.,Abnormal,High,yes
61,no,Equal,Severe,High,Grd_Glass,no,yes,<5,<5,>=7.5,Grd_Glass,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
62,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,12+,<7.5,Oligaemic,Fallot,no,11-30_days,no,None,Complete,Normal,Low,no
63,no,Equal,Moderate,High,Asy/Patch,yes,no,5-12,<5,>=7.5,Asy/Patchy,Lung,yes,0-3_days,no,Lt_to_Rt,Mild,Abnormal,Normal,yes
64,no,Equal,Severe,Normal,Grd_Glass,no,no,<5,5-12,<7.5,Asy/Patchy,TGA,no,0-3_days,no,None,Mild,Congested,High,no
65,yes,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,<7.5,Oligaemic,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Low,no
66,no,Equal,Severe,High,Asy/Patch,yes,no,5-12,<5,>=7.5,Grd_Glass,TAPVD,yes,0-3_days,no,Lt_to_Rt,Complete,Abnormal,Normal,yes
67,no,Equal,Severe,Low,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
