iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
500,34.6326003074646,7.8601460456848145,70.235,64.415,0.7525866666666667,0.22281629293533506,0.23254307512252284,-26233.354581910855,-17290.673866982004,-18705.50129466645,-17292.64752368717,134.06625366210938,184.27972412109375,173.34580993652344,0.013499975204467773,0.0001,,
1000,50.29390335083008,9.957679510116577,77.015,69.99,0.7013866666666666,0.11417889170585073,0.12407464369862889,-26009.13761710618,-22704.800900307106,-19173.94513379044,-17793.038690497124,136.70960998535156,167.8886260986328,163.35269165039062,0.03600001335144043,0.0001,,
2000,70.56066560745239,23.439658880233765,80.065,75.755,0.6881066666666666,0.19925104042799263,0.22044249299683547,-26333.51318547469,-23770.89132776672,-19143.979132003187,-17692.081783066682,142.61373901367188,186.0612335205078,182.5645751953125,0.08099997043609619,0.0001,14564.840729962256,-13871.335247502599
3000,105.12071466445923,8.372303247451782,76.24,73.04,0.7472533333333333,0.21753120128436,0.22776871848644747,-25817.447236984503,-23495.543594800503,-18944.11631557805,-17789.77997881565,168.3811798095703,198.65579223632812,192.62521362304688,0.12599998712539673,0.0001,,
4000,124.31435489654541,22.38103437423706,76.7,75.255,0.7050666666666666,0.21751765084896063,0.19862954938079835,-25927.999080955105,-24109.778266959598,-18743.271909733023,-17453.05561271028,197.70904541015625,206.8206329345703,213.56350708007812,0.17100000381469727,0.0001,14443.144860850112,-13881.430180555455
5000,158.12033033370972,7.576400995254517,84.87,81.895,0.59968,0.21941969474762713,0.1541664983666232,-26114.047071190667,-23815.115460398778,-18623.517856232887,-17877.17054534896,206.07655334472656,201.26187133789062,188.98500061035156,0.2160000205039978,0.0001,,
6000,178.5865921974182,25.141191482543945,90.425,87.665,0.5659200000000001,0.22877300836087827,0.1553039446693839,-26049.542456436604,-22935.933256400294,-19133.289138678385,-18447.91603978676,152.97386169433594,190.27903747558594,186.78250122070312,0.26099997758865356,0.0001,14491.947868357529,-14212.81890914493
7000,212.8479027748108,7.187528133392334,100.415,96.79,0.5641066666666666,0.1972894303916986,0.09407758099494229,-25994.658641394108,-25017.72820210169,-18890.439659417585,-18593.067827553994,175.02545166015625,183.87229919433594,174.46328735351562,0.3059999942779541,0.0001,,
8000,230.80077743530273,20.358617782592773,75.255,71.51,0.6180266666666667,0.24733803854647113,0.15110083180782108,-18261.547082247424,-16517.288355989247,-17068.464441127675,-16258.839681069148,171.1736602783203,178.27496337890625,182.82833862304688,0.35099995136260986,0.0001,13931.484638362173,-13639.43593868291
9000,262.3168032169342,5.804229021072388,68.765,63.07,0.63904,0.258309839004018,0.1655451641369348,-16522.411569152653,-16025.543288237373,-16457.76111717594,-15959.154801118402,192.59808349609375,171.34828186035156,167.86636352539062,0.3959999680519104,0.0001,,
