shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
59.0,69.0,-53439.06023425089,-52986.58698016291,-49361.3440281602,49361.3440281602,1
53.0,69.0,-53455.260401788364,-53012.88431156774,-49358.23832754808,49358.23832754808,2
64.0,70.0,-53452.80119433779,-53025.08992561897,-49375.53147922671,49375.53147922671,3
61.0,69.0,-53433.81199604153,-52991.32133128791,-49392.765723017415,49392.765723017415,4
63.0,69.0,-53402.83180695945,-52942.74548733587,-49409.775991911585,49409.775991911585,5
65.0,69.0,-53404.73630914547,-52941.50521925414,-49412.46832276817,49412.46832276817,6
65.0,69.0,-53442.53380182051,-53005.10690583821,-49401.42240670509,49401.42240670509,7
66.0,70.0,-53435.97887098073,-52995.662409489254,-49393.61509041173,49393.61509041173,8
61.0,69.0,-53420.75899127862,-52967.360083781656,-49409.34960088791,49409.34960088791,9
62.0,70.0,-53486.810030491775,-53069.12566979313,-49380.3102029443,49380.3102029443,10
65.0,69.0,-53471.07243617799,-53042.832863543576,-49399.755398427806,49399.755398427806,11
61.0,69.0,-53469.84006822536,-53049.58332669921,-49389.849355828286,49389.849355828286,12
67.0,69.0,-53487.05746759132,-53069.33390691523,-49396.37102885134,49396.37102885134,13
68.0,70.0,-53486.80720746797,-53055.027097739585,-49416.96210740749,49416.96210740749,14
63.0,69.0,-53544.96151037375,-53163.1448337637,-49400.53982620144,49400.53982620144,15
59.0,69.0,-53484.80424217644,-53059.76424827442,-49410.62153897498,49410.62153897498,16
75.0,73.0,-53517.5061566537,-53092.36010048715,-49412.70006576815,49412.70006576815,17
66.0,70.0,-53581.45202289041,-53222.46217728054,-49387.09693289471,49387.09693289471,18
57.0,69.0,-53588.88148066222,-53093.788113734976,-49399.73832739061,49399.73832739061,19
78.0,74.0,-53655.833017564735,-53117.64534067158,-49426.66988233301,49426.66988233301,20
