iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,35.846076011657715,15.899516105651855,66.365,0.41,0.5100162866449511,0.028563161375661377,0.0217727873977874,-70132.8823077511,-68803.28044375926,-70191.5300082522,-68692.43824812036,232.45550537109375,232.45550537109375,232.45550537109375,0.0,0.0001,69645.68650194611,-68153.32923060242
1,51.666404724121094,4.844249963760376,66.325,0.355,0.4965082420294146,0.03254966759431045,0.03587855596784168,-70133.98463497209,-68557.39872315375,-70192.45280012538,-68484.03533985197,140.10971069335938,186.28260803222656,223.22091674804688,4.500150680541992e-05,0.0001,,
10,56.56792330741882,4.752227306365967,66.075,0.075,0.497557003257329,0.010522959183673469,0.021045918367346938,-70138.26153867797,-69929.2331577558,-70195.68948564373,-69998.5753764113,217.73716735839844,184.97947692871094,202.77529907226562,0.0004500150680541992,0.0001,,
50,61.92385983467102,4.727092742919922,66.015,0.015,0.4995114006514658,0.010522959183673469,0.021045918367346938,-70138.10417125415,-70137.89737745145,-70195.00788564293,-70194.68846828799,207.3852081298828,186.3768310546875,185.9186248779297,0.0022500157356262207,0.0001,,
100,73.32169032096863,4.735163927078247,66.01,0.01,0.4996742671009772,0.010522959183673469,0.021045918367346938,-70137.83345547672,-70124.57521973205,-70194.63787681208,-70182.02392654175,134.81971740722656,172.098876953125,158.34262084960938,0.004499971866607666,0.0001,,
500,90.20502948760986,4.966422080993652,66.63,0.635,0.49348534201954397,0.010522959183673469,0.021045918367346938,-70139.05034562087,-69845.1238840651,-70196.68233610415,-69897.90425898106,107.10928344726562,129.23402404785156,132.7613067626953,0.02249997854232788,0.0001,,
1000,105.1903121471405,5.050639390945435,67.44,1.485,0.5072845721054191,0.02566964285714286,0.02150974025974026,-70127.29319147505,-69094.0897298376,-70185.68223307599,-69136.92465840398,80.52711486816406,115.2519302368164,107.28565979003906,0.04500001668930054,0.0001,,
2000,128.42467403411865,16.61763572692871,67.64,1.71,0.5074573092488402,0.024277737954686008,0.02135107857510455,-70134.76348156556,-69570.4143553177,-70193.83000421425,-69671.93611506563,123.26191711425781,117.4796142578125,123.8421859741211,0.09000003337860107,0.0001,69647.43811155132,-68735.09701389639
3000,162.6282253265381,5.186377286911011,68.75,2.835,0.5110008883624518,0.02681281350924208,0.021706435099292244,-70119.31180953114,-68678.06366514326,-70178.30072724898,-68733.82037376444,110.9634017944336,108.48855590820312,103.48616027832031,0.13499999046325684,0.0001,,
4000,183.75336241722107,16.118589639663696,67.42,1.425,0.48990228013029313,0.010522959183673469,0.021045918367346938,-70138.71478037084,-69909.90332515397,-70196.41006993252,-69975.53704539243,164.06771850585938,103.8114242553711,103.524658203125,0.18000000715255737,0.0001,69656.0743565973,-69367.39642281394
