iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,26.419095993041992,8.479660511016846,17.52,0.94,0.5492081447963801,0.1349640403969679,0.16991145161585486,-93154.32376073879,-87375.81133444048,-93159.52234704554,-87371.02310993028,2846.14404296875,2846.14404296875,2846.14404296875,0.0,0.0001,93050.28685910915,-87170.82069461087
1,33.19852924346924,2.6200642585754395,17.605,1.225,0.6371606334841629,0.21575676193626467,0.1951371551432194,-92922.02087096941,-86266.59093568279,-92925.45237736902,-86029.00946489829,2591.277099609375,2718.71044921875,2820.6572265625,4.500150680541992e-05,0.0001,,
10,40.93030643463135,2.7820401191711426,18.0,2.05,0.6001131221719458,0.21320685749769536,0.19773187281599391,-92241.04104400013,-84833.75305799746,-92245.46684386343,-84826.50435611885,2904.294921875,2708.565673828125,2759.587158203125,0.0004500150680541992,0.0001,,
50,53.63127422332764,12.114725828170776,34.08,36.81,0.6546945701357466,0.23386810157805119,0.25866277809068927,-135700.2774655983,-78531.9712729903,-84449.6797273593,-77748.3907606628,2248.688232421875,2615.35205078125,2574.215087890625,0.0022500157356262207,0.0001,,
100,70.86498594284058,11.06076955795288,41.085,47.04,0.5384615384615384,0.1345878372580782,0.1435853972386129,-165266.1169229743,-138524.87022253114,-86759.80622450833,-82315.5407795156,2568.738037109375,2652.239990234375,2611.231201171875,0.004499971866607666,0.0001,,
500,85.74699926376343,8.61435842514038,43.86,47.97,0.4838800904977376,0.12272195369915871,0.13167916312429678,-155897.26690277143,-138455.91509104462,-88678.07536498047,-84947.43335283044,1922.379150390625,2102.46240234375,1975.7098388671875,0.02249997854232788,0.0001,,
1000,101.2922797203064,7.72357702255249,42.77,48.015,0.5319570135746606,0.13339299059989235,0.14434170283789222,-150951.24843153686,-147526.69399173232,-87841.17942197263,-85186.40259551311,1938.056640625,1943.4432373046875,1904.8885498046875,0.04500001668930054,0.0001,,
2000,123.58442115783691,20.084127187728882,42.845,48.0,0.5916289592760181,0.15409317660784017,0.1649598207428527,-150171.08784789938,-147575.85653253345,-88358.40742223151,-85466.59518312976,2034.10498046875,1791.5650634765625,1810.4259033203125,0.09000003337860107,0.0001,76138.89293160953,-73850.711400254
3000,157.52494502067566,7.44533371925354,42.13,47.96,0.6255656108597285,0.16493410081007354,0.17705395023786955,-149583.17196591134,-138233.5414713548,-88496.85750278187,-85356.45429159152,2722.330810546875,1690.6541748046875,1801.276611328125,0.13499999046325684,0.0001,,
4000,177.81805086135864,19.84057354927063,43.7,48.0,0.5330882352941178,0.13965910916582197,0.15171482294346947,-150127.50053203545,-147916.5085810637,-88019.17654550182,-85146.10809373469,2644.903076171875,1592.8311767578125,1680.9281005859375,0.18000000715255737,0.0001,76038.83506177441,-74011.04806632806
5000,210.0632152557373,7.237263917922974,42.235,47.945,0.5554298642533937,0.14228474577713146,0.15435756463766803,-147753.00988581323,-134008.11208763378,-86659.5489851277,-83633.92675233807,2539.552734375,1541.4759521484375,1640.447509765625,0.2250000238418579,0.0001,,
6000,228.76082158088684,19.38065505027771,41.25,46.43,0.5921945701357465,0.15468179005058705,0.16891803274026068,-128730.01924851058,-101660.69853796507,-85249.88130599706,-83012.95597541003,2805.24072265625,1519.0123291015625,1634.9608154296875,0.2699999213218689,0.0001,74872.8826164943,-73868.91792126858
7000,258.4167172908783,6.534628629684448,36.335,41.09,0.6295248868778281,0.19989209344918737,0.21774998053965675,-93751.04980988915,-87485.68435050067,-81858.29855948669,-80191.26320861006,3162.5888671875,1461.477783203125,1590.0186767578125,0.3149999976158142,0.0001,,
8000,275.22663164138794,17.83813190460205,34.49,40.5,0.6685520361990951,0.3536782186887258,0.27887404799631355,-90699.03039411495,-88563.3616500019,-81070.98176250643,-80314.76528315972,3052.6357421875,1424.96875,1563.1121826171875,0.35999995470046997,0.0001,75139.82305011181,-75068.16090707289
9000,302.401269197464,6.274317026138306,32.025,37.945,0.7044683257918553,0.43981750054126967,0.3318355441350094,-86101.35190800359,-84217.55000180785,-79717.92122190405,-79107.02709918091,2760.59033203125,1374.200927734375,1475.2978515625,0.4049999713897705,0.0001,,
10000,318.3309669494629,17.297165870666504,32.295,37.795,0.693156108597285,0.22632591194972962,0.2154200149060418,-82683.66445367438,-81157.14817627512,-77562.74897623557,-76737.27724794579,3253.23779296875,1177.740234375,1368.5830078125,0.44999998807907104,0.0001,72450.40669277874,-71947.93538515214
11000,344.1455602645874,5.952789068222046,27.35,33.96,0.6020927601809954,0.36304863039809476,0.19076671991110494,-77127.34948629314,-76466.45561928656,-75252.13689740672,-74631.2101659801,3114.312744140625,1133.796875,1343.3360595703125,0.4950000047683716,0.0001,,
12000,359.0716857910156,16.357089519500732,29.44,33.755,0.7081447963800904,0.2784216083308555,0.24300986275508393,-78581.96449079728,-76446.95761359636,-76698.47016426674,-74758.46515181813,2923.252685546875,1117.8204345703125,1278.923828125,0.5399999618530273,0.0001,73590.56614151502,-71836.4601060299
13000,383.5620083808899,5.7596845626831055,18.96,31.32,0.7898755656108597,0.5678264280558571,0.3561493707258758,-75697.49447004129,-75547.46892705573,-74069.8786261489,-74018.11311147972,2685.868408203125,1076.793212890625,1251.0234375,0.5849999189376831,0.0001,,
14000,397.77278876304626,15.732190370559692,14.79,29.79,0.880656108597285,0.7221125020256036,0.5067250040512074,-74964.46177507911,-74600.05594997531,-73760.69173030615,-73623.75832672826,2610.526611328125,1054.6370849609375,1156.505126953125,0.6299999952316284,0.0001,71795.2498417733,-71779.23338397134
15000,421.7879252433777,5.641146183013916,19.635,29.545,0.7287895927601808,0.511934494872329,0.3051014827418571,-75877.47115840053,-74595.03157955335,-74718.41287896538,-73608.21810069724,2697.495361328125,1002.0081176757812,1134.3834228515625,0.6749999523162842,0.0001,,
16000,435.8574683666229,15.166918754577637,18.99,28.01,0.7327488687782805,0.5138378951213176,0.2890203280577612,-75863.2586971357,-74585.78458137214,-75264.57532063717,-73659.4142798992,2335.39111328125,943.802001953125,1093.86572265625,0.7199999094009399,0.0001,73536.08118959774,-71791.68482009931
17000,459.3911392688751,5.547588348388672,20.79,28.0,0.70079185520362,0.4745969851550324,0.268047318100794,-76130.54559142394,-74419.56550778328,-75303.43753119896,-73818.48463662207,2809.997314453125,866.8203735351562,1013.92626953125,0.7649999260902405,0.0001,,
18000,473.5666491985321,15.63540005683899,20.76,29.84,0.8144796380090498,0.5485078053259871,0.37936855182844487,-77547.25832910705,-74388.47045888976,-76156.6991961474,-73795.453048857,2581.610107421875,764.5782470703125,941.51171875,0.809999942779541,0.0001,74064.75476597897,-72093.90261314448
19000,496.90178537368774,5.444820404052734,18.0,27.0,0.7132352941176471,0.5096948506039415,0.2840955835608242,-75425.34919583838,-75425.31368052021,-74984.20153552516,-74977.74428829647,2015.171875,702.1515502929688,814.4012451171875,0.8549999594688416,0.0001,,
20000,511.04764890670776,15.13154411315918,17.105,27.175,0.807975113122172,0.6127220814138542,0.3965493123402386,-75819.97793514974,-74413.27504733614,-75165.25499872529,-73687.82014027523,1462.21044921875,656.3306274414062,725.8829345703125,0.8999999761581421,0.0001,73615.88102254119,-72071.66165483725
21000,534.2148177623749,5.613801717758179,22.98,29.0,0.6498868778280542,0.4200170243409882,0.24373045547435834,-76509.65515718177,-74882.1428331531,-75625.22581773084,-73913.53928593834,1068.4705810546875,586.1614990234375,612.9266967773438,0.8999999761581421,0.0001,,
22000,548.0393002033234,15.030433416366577,20.0,27.0,0.6781674208144794,0.46443040025927723,0.24258629071463295,-76135.91808411093,-76135.91808411093,-75525.50892944017,-75525.50892944018,1099.65478515625,560.50830078125,599.7868041992188,0.8999999761581421,0.0001,73959.06749689372,-73959.06749689374
23000,571.0300595760345,5.520495891571045,20.0,28.0,0.7084276018099548,0.5029696435744748,0.27571616341669813,-74832.25955935927,-74823.22294913698,-74084.8875938275,-74082.82233060902,905.5532836914062,517.6325073242188,556.4478759765625,0.8999999761581421,0.0001,,
24000,584.6878132820129,14.856884479522705,16.975,25.995,0.7683823529411765,0.5258095190991516,0.33789632827065985,-74559.77231585905,-74538.56405152283,-73536.18541391684,-73509.92414970162,778.784423828125,449.431396484375,446.3111572265625,0.8999999761581421,0.0001,72089.5999309626,-72059.40394834983
25000,607.7407855987549,5.43588662147522,18.995,26.995,0.6809954751131221,0.46868810334050975,0.25670393777345646,-74599.11261905124,-74448.9204462816,-73581.50096137024,-73469.04620477979,810.556640625,381.6285705566406,390.00390625,0.8999999761581421,0.0001,,
26000,621.4023361206055,14.5984365940094,15.555,24.37,0.7417986425339367,0.49834322503105927,0.3279772997353211,-74812.35137265128,-74108.8267792755,-74424.6083943095,-73510.2499264938,682.1094970703125,344.2543029785156,369.4122314453125,0.8999999761581421,0.0001,73268.13952213185,-72059.1261465006
27000,643.7034521102905,5.359185695648193,16.51,25.765,0.7188914027149321,0.5191216982660833,0.3029492788851078,-73770.6407853085,-73643.74500767034,-73323.00113299223,-73254.62647044622,697.9755249023438,328.6807861328125,356.81243896484375,0.8999999761581421,0.0001,,
