shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
3.0,7.0,-2314.823307264869,-2305.5907505701807,-2263.353824506288,2263.353824506288,1
10.0,8.0,-2317.995413346987,-2307.0119399456325,-2265.3068716257485,2265.3068716257485,2
4.0,8.0,-2317.995413346987,-2307.0119399456316,-2265.306871625747,2265.306871625747,3
6.0,8.0,-2317.995413346987,-2307.0119399456325,-2265.3068716257467,2265.3068716257467,4
8.0,8.0,-2317.9954133469864,-2307.011939945632,-2265.306871625748,2265.306871625748,5
8.0,8.0,-2322.952989593608,-2311.8964210353606,-2271.3496881230108,2271.3496881230108,6
6.0,8.0,-2321.5575462016564,-2307.6498335334713,-2264.28240908464,2264.28240908464,7
9.0,9.0,-2324.75048712441,-2308.4014679103802,-2265.5616720842227,2265.5616720842227,8
7.0,9.0,-2324.729652283774,-2309.0710229089227,-2266.235456204101,2266.235456204101,9
15.0,11.0,-2342.8263797962977,-2324.4059098675384,-2271.6144599738104,2271.6144599738104,10
