episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,8.0,5.6,1.0,-2269.658361594713,-2262.8204237739287,-2255.850431829835,-2252.7625515112295
20,8.1,6.3,1.0,-2269.2405123649046,-2262.8204237739287,-2255.5811463699547,-2252.7625515112295
30,8.333333333333334,7.466666666666667,1.0,-2270.9399649926804,-2262.8204237739287,-2256.218363576122,-2252.7625515112295
40,8.45,7.85,1.0,-2271.3793966562307,-2262.8204237739287,-2256.591905774518,-2252.7625515112295
50,8.58,7.98,1.0,-2273.018655328083,-2262.8204237739287,-2257.759657515464,-2252.7625515112295
60,8.5,7.833333333333333,1.0,-2272.3292580511084,-2262.8204237739287,-2257.342180934086,-2252.7625515112295
70,8.614285714285714,8.1,1.0,-2273.1965588091584,-2262.8204237739287,-2258.0549246503188,-2252.7625515112295
80,8.6375,8.1375,1.0,-2273.36944244442,-2262.8204237739287,-2258.255990363067,-2252.7625515112295
90,8.655555555555555,8.122222222222222,1.0,-2273.3932916300373,-2262.8204237739287,-2258.1667330790847,-2252.7625515112295
100,8.65,8.15,1.0,-2273.2239583844193,-2262.8204237739287,-2258.0091489299784,-2252.7625515112295
