iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
500,41.35861921310425,2.462146282196045,24.925,28.0,0.4118303571428571,0.09807359085902063,0.11899593044004146,-3081.295151849213,-3081.295151849213,-2393.327779554517,-2393.327779554513,129.55824279785156,145.87454223632812,132.61314392089844,0.009000003337860107,0.0001,,
1000,47.76162528991699,7.848785400390625,23.66,28.0,0.6138392857142857,0.3158141327460732,0.3375657709499173,-3081.2951518492146,-3081.2951518492137,-2393.3277795545173,-2393.3277795545146,225.4571533203125,103.07537078857422,107.61128997802734,0.018000006675720215,0.0001,2262.010407046462,-2262.010407046461
1500,60.882529497146606,3.8156776428222656,24.065,27.98,0.5625,0.24665164652373517,0.2591358131081948,-3077.430551135685,-2750.471346998197,-2393.092709174237,-2362.6906089211534,86.15860748291016,93.00008392333984,87.4731216430664,0.026999950408935547,0.0001,,
2000,66.94710803031921,7.733999490737915,23.315,28.0,0.6305803571428572,0.167554314395347,0.18344871463077986,-3081.295151849213,-3081.2951518492137,-2393.3277795545173,-2393.3277795545137,269.48406982421875,76.69154357910156,90.49494171142578,0.03600001335144043,0.0001,2262.010407046461,-2262.0104070464604
2500,78.35272097587585,2.3052451610565186,23.25,27.65,0.6350446428571429,0.2852056580160826,0.3051870004995005,-3016.2826259056583,-2639.749824765075,-2389.729976751694,-2360.0068280292717,66.42416381835938,79.11905670166016,73.38444519042969,0.04500001668930054,0.0001,,
3000,84.13498210906982,7.729361534118652,23.93,27.94,0.5613839285714286,0.210042208344063,0.17982650897738817,-3070.8867848773425,-2644.9615124026577,-2392.7290333613964,-2366.0392505604714,352.4325866699219,61.24099349975586,89.38682556152344,0.054000020027160645,0.0001,2261.7833202573875,-2250.3382057058425
3500,95.60278677940369,2.2135093212127686,22.42,25.885,0.5803571428571428,0.14369604023621882,0.16421558765308766,-2747.5011812108532,-2476.8673189518404,-2365.7877744286775,-2324.3349540589297,68.30299377441406,66.23383331298828,62.73533248901367,0.06299996376037598,0.0001,,
4000,101.43217039108276,7.580930233001709,22.905,26.9,0.5647321428571428,0.14672808916229968,0.1730654761904762,-2906.063606950351,-2586.7254093371503,-2384.7778942070204,-2355.198250524651,402.4153137207031,39.84334945678711,71.0392837524414,0.07199996709823608,0.0001,2259.501545832733,-2246.085898509862
4500,112.57049202919006,2.1998164653778076,24.8,25.355,0.3705357142857143,0.09236856558285131,0.10746192621192621,-2694.9656808530663,-2455.115954985712,-2371.1179633004213,-2326.004018068698,47.55685043334961,54.51630783081055,49.61963653564453,0.08099997043609619,0.0001,,
5000,118.4391577243805,7.582244634628296,23.075,26.32,0.5334821428571428,0.12986028063649852,0.1530169225320827,-2807.4303704634644,-2536.686468740524,-2374.3682109144306,-2338.234660773316,295.7129821777344,37.235347747802734,60.44822692871094,0.09000003337860107,0.0001,2254.695586959863,-2240.4268577662556
