,asia,tub,smoke,lung,bronc,either,xray,dysp
0,no,no,no,no,no,no,no,no
1,no,no,no,no,no,no,no,no
2,no,no,yes,no,no,no,no,no
3,no,no,yes,no,yes,no,no,yes
4,no,no,no,no,no,no,no,no
5,no,no,no,no,yes,no,no,yes
6,no,no,no,no,yes,no,no,yes
7,no,no,no,no,no,no,no,no
8,no,no,no,no,no,no,no,no
9,no,no,yes,yes,yes,yes,yes,yes
10,no,no,yes,yes,yes,yes,yes,yes
11,no,no,no,no,no,no,no,no
12,no,no,no,no,no,no,no,no
13,no,no,no,no,no,no,no,no
14,no,no,no,no,no,no,no,no
15,no,no,no,no,no,no,no,no
16,no,no,yes,no,yes,no,yes,no
17,no,no,yes,no,yes,no,no,yes
18,no,no,yes,no,no,no,no,no
19,no,no,no,no,no,no,yes,no
20,no,no,yes,no,yes,no,no,yes
21,no,no,yes,no,no,no,no,no
22,no,no,yes,no,no,no,yes,yes
23,no,no,yes,no,yes,no,no,yes
24,no,no,no,no,no,no,no,no
25,no,no,yes,no,yes,no,yes,yes
26,no,no,yes,yes,yes,yes,yes,yes
27,no,no,no,no,yes,no,no,yes
28,no,no,yes,no,yes,no,no,yes
29,no,no,no,no,no,no,no,no
30,no,no,no,no,yes,no,no,yes
31,no,no,yes,no,yes,no,yes,no
32,no,no,yes,no,yes,no,no,yes
33,no,no,yes,no,yes,no,no,yes
34,no,no,yes,no,no,no,no,no
35,no,no,no,no,no,no,no,no
36,no,no,no,no,yes,no,no,no
37,no,no,yes,no,no,no,no,no
38,no,no,yes,no,yes,no,no,yes
39,no,no,no,no,no,no,no,yes
40,no,no,no,no,no,no,no,no
41,no,no,yes,no,no,no,no,no
42,no,no,yes,no,no,no,no,no
43,no,no,no,no,yes,no,no,yes
44,no,no,yes,no,yes,no,no,yes
45,no,no,no,no,no,no,no,no
46,no,no,no,no,no,no,no,no
47,no,no,yes,no,yes,no,no,yes
48,no,no,yes,no,yes,no,no,yes
49,no,no,no,no,yes,no,no,yes
50,no,no,yes,no,yes,no,no,yes
51,no,no,yes,no,no,no,no,no
52,no,no,no,no,yes,no,no,yes
53,no,no,yes,no,yes,no,no,yes
54,no,no,yes,no,yes,no,no,yes
55,no,no,no,no,no,no,no,no
56,no,no,no,no,yes,no,no,yes
57,no,no,yes,yes,no,yes,yes,yes
58,no,no,no,no,no,no,no,no
59,no,no,no,no,yes,no,no,no
60,no,no,no,no,no,no,no,no
61,no,no,no,no,no,no,no,yes
62,no,no,yes,yes,no,yes,yes,no
63,no,no,no,no,no,no,no,no
64,no,no,yes,no,yes,no,no,yes
65,no,no,yes,no,no,no,no,no
66,no,no,yes,no,no,no,no,yes
67,no,no,yes,no,yes,no,no,yes
68,no,no,yes,no,no,no,no,no
69,no,no,yes,no,yes,no,no,yes
70,no,no,no,no,no,no,no,no
71,no,no,yes,no,yes,no,no,no
72,no,no,yes,yes,yes,yes,yes,yes
73,no,no,no,no,no,no,no,no
74,no,no,no,no,no,no,no,no
75,no,no,no,no,yes,no,no,yes
76,no,no,no,no,no,no,no,no
77,no,no,no,no,no,no,no,no
78,no,no,yes,no,yes,no,no,no
79,no,no,no,no,no,no,no,yes
80,no,no,no,no,no,no,no,no
81,no,no,yes,no,no,no,no,no
82,no,no,no,no,no,no,no,no
83,no,no,yes,yes,yes,yes,yes,yes
84,no,no,yes,no,yes,no,no,yes
85,no,no,yes,no,yes,no,no,yes
86,no,no,no,no,no,no,no,no
87,no,yes,yes,yes,yes,yes,yes,no
88,no,no,no,no,no,no,yes,no
89,no,no,yes,no,no,no,no,no
90,no,no,yes,no,yes,no,no,yes
91,no,no,yes,no,yes,no,no,yes
92,no,no,yes,no,yes,no,no,yes
93,no,no,no,no,yes,no,no,yes
94,no,no,yes,no,no,no,no,no
95,no,no,yes,no,no,no,no,no
96,no,no,yes,no,no,no,no,no
97,no,no,no,no,no,no,yes,no
98,no,no,yes,no,yes,no,no,yes
99,no,no,yes,no,yes,no,no,no
100,no,no,no,no,no,no,no,no
101,no,no,yes,no,no,no,no,no
102,no,no,no,no,no,no,no,yes
103,no,no,no,no,no,no,no,no
104,no,no,no,no,yes,no,no,yes
105,no,no,no,no,no,no,no,no
106,no,no,no,no,no,no,yes,no
107,no,no,no,no,yes,no,no,no
108,no,no,yes,no,no,no,no,no
109,no,no,yes,no,yes,no,no,yes
110,no,no,no,no,no,no,no,no
111,no,no,no,no,yes,no,no,yes
112,no,no,yes,no,yes,no,no,no
113,no,no,yes,no,no,no,no,no
114,no,no,yes,no,yes,no,no,yes
115,no,no,no,no,no,no,no,no
116,no,no,no,no,yes,no,no,no
117,no,no,yes,no,yes,no,no,yes
118,no,no,no,no,no,no,no,no
119,no,no,no,no,no,no,no,no
120,no,no,yes,no,no,no,no,no
121,no,no,yes,no,no,no,no,no
122,no,no,no,no,yes,no,no,yes
123,no,no,yes,no,yes,no,no,yes
124,no,no,yes,no,yes,no,no,yes
125,no,no,yes,no,yes,no,no,yes
126,no,no,no,no,no,no,no,no
127,no,no,no,no,yes,no,no,no
128,no,no,yes,no,no,no,no,no
129,no,no,no,no,no,no,yes,no
130,no,no,yes,no,no,no,no,no
131,no,no,yes,no,no,no,no,no
132,no,no,yes,no,yes,no,no,yes
133,no,no,no,no,no,no,no,no
134,no,no,no,no,yes,no,no,no
135,no,no,yes,no,yes,no,no,yes
136,no,no,no,no,yes,no,no,yes
137,no,no,yes,yes,yes,yes,yes,yes
138,no,no,yes,no,yes,no,no,no
139,no,no,yes,no,yes,no,no,yes
140,no,no,no,no,no,no,no,no
141,no,no,yes,no,yes,no,no,no
142,no,no,no,yes,yes,yes,yes,yes
143,no,no,yes,no,no,no,no,no
144,no,no,yes,no,yes,no,no,yes
145,no,no,no,no,yes,no,no,yes
146,no,no,no,no,yes,no,no,yes
147,no,no,yes,no,yes,no,no,yes
148,no,no,no,no,no,no,no,no
149,no,no,yes,no,yes,no,no,yes
150,no,no,yes,no,yes,no,no,yes
151,no,no,no,no,no,no,no,no
152,no,no,no,no,no,no,no,no
153,no,no,no,no,yes,no,no,yes
154,no,no,yes,no,yes,no,no,yes
155,no,no,no,no,no,no,no,no
156,no,no,yes,yes,yes,yes,yes,yes
157,no,no,no,no,yes,no,no,no
158,no,no,yes,no,yes,no,no,yes
159,no,no,no,no,yes,no,no,no
160,no,no,yes,no,yes,no,no,yes
161,no,no,no,no,no,no,no,no
162,no,no,no,no,yes,no,no,yes
163,no,no,yes,no,yes,no,no,yes
164,no,no,no,no,no,no,no,no
165,no,no,no,no,no,no,yes,no
166,no,no,no,no,no,no,no,no
167,no,no,no,no,no,no,no,no
168,no,no,no,no,no,no,no,no
169,no,no,no,no,no,no,no,no
170,no,no,yes,no,yes,no,no,yes
171,no,no,no,no,no,no,yes,no
172,no,no,no,no,no,no,no,no
173,no,no,no,no,no,no,no,no
174,no,no,yes,no,yes,no,no,yes
175,no,no,no,no,no,no,no,no
176,no,no,no,no,no,no,no,no
177,no,no,yes,yes,yes,yes,yes,yes
178,no,no,yes,no,no,no,no,yes
179,no,no,no,no,no,no,no,no
180,no,no,yes,no,yes,no,no,yes
181,no,no,yes,no,yes,no,no,yes
182,no,no,yes,no,no,no,no,no
183,no,no,no,no,yes,no,no,yes
184,no,no,no,no,no,no,no,no
185,no,no,yes,no,yes,no,no,yes
186,no,no,yes,no,yes,no,no,yes
187,no,no,yes,no,no,no,no,yes
188,yes,no,yes,no,yes,no,no,yes
189,no,no,no,no,yes,no,no,yes
190,no,no,no,no,no,no,no,no
191,no,yes,no,no,yes,yes,yes,yes
192,no,no,yes,no,no,no,no,no
193,no,no,yes,yes,no,yes,yes,yes
194,no,no,yes,no,yes,no,no,no
195,no,no,yes,no,no,no,no,no
196,no,no,yes,no,no,no,no,no
197,no,no,yes,no,yes,no,no,no
198,no,no,no,no,no,no,no,no
199,no,no,yes,no,yes,no,yes,yes
200,no,no,yes,no,yes,no,no,yes
201,no,no,no,no,yes,no,no,no
202,no,no,yes,no,no,no,no,no
203,yes,yes,no,no,yes,yes,yes,yes
204,no,no,no,no,no,no,no,no
205,no,no,yes,no,no,no,no,no
206,no,no,yes,no,yes,no,no,no
207,no,no,no,no,yes,no,no,no
208,no,no,yes,no,no,no,no,no
209,no,no,no,no,no,no,no,yes
210,no,no,yes,no,yes,no,no,yes
211,no,no,no,no,no,no,no,no
212,no,no,yes,yes,yes,yes,yes,yes
213,no,no,yes,no,no,no,no,no
214,no,no,no,no,no,no,no,no
215,no,no,no,no,no,no,no,no
216,no,no,yes,no,no,no,no,no
217,no,no,yes,no,no,no,no,no
218,no,no,no,no,no,no,no,no
219,no,no,yes,no,yes,no,yes,no
220,no,no,yes,no,yes,no,no,yes
221,no,no,no,no,yes,no,no,yes
222,no,no,yes,no,no,no,no,yes
223,no,no,yes,no,yes,no,no,yes
224,no,no,no,no,no,no,no,no
225,no,no,no,no,yes,no,no,yes
226,no,no,no,no,no,no,no,no
227,no,no,no,no,no,no,no,no
228,no,no,yes,yes,yes,yes,yes,yes
229,no,no,no,no,no,no,no,no
230,no,no,yes,no,yes,no,no,yes
231,no,no,no,no,no,no,no,yes
232,no,no,yes,no,yes,no,no,yes
233,no,no,yes,yes,yes,yes,yes,yes
234,no,no,yes,no,yes,no,no,yes
235,no,no,yes,yes,yes,yes,yes,yes
236,no,no,no,no,yes,no,no,yes
237,no,no,no,no,no,no,no,no
238,no,no,yes,no,no,no,no,yes
239,no,no,no,no,no,no,no,no
240,no,no,yes,no,no,no,no,no
241,no,no,yes,no,yes,no,no,yes
242,no,no,yes,no,yes,no,no,yes
243,no,no,no,no,no,no,no,no
244,no,no,yes,no,no,no,no,yes
245,no,no,no,no,yes,no,no,yes
246,no,no,yes,no,no,no,no,no
247,no,no,yes,no,yes,no,no,yes
248,no,no,yes,no,yes,no,no,yes
249,no,no,yes,no,yes,no,yes,yes
250,no,no,yes,no,no,no,no,no
