episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,9.9,11.3,8.0,-2307.1700663954766,-2291.7846864674584,-2287.0040914912834,-2279.0461112454905
20,9.7,10.6,4.0,-2304.4420610101884,-2291.7846864674584,-2285.8862212926733,-2279.0461112454905
30,9.533333333333333,10.4,4.0,-2302.8906172657457,-2290.1494097348254,-2285.03758540072,-2276.8482725650124
40,9.575,10.675,4.0,-2302.5570332070347,-2290.1494097348254,-2284.803279817554,-2276.8482725650124
50,9.66,10.7,3.0,-2303.347329597033,-2286.044067497981,-2285.4536558089003,-2275.5271773739723
60,9.7,10.6,3.0,-2303.9092677663953,-2286.044067497981,-2286.000182028383,-2275.5271773739723
70,9.614285714285714,10.67142857142857,3.0,-2303.0141562980402,-2286.044067497981,-2285.215007832788,-2275.5271773739723
80,9.575,10.65,3.0,-2302.55038288026,-2286.044067497981,-2284.946154492611,-2275.5271773739723
90,9.566666666666666,10.722222222222221,3.0,-2302.5809167271163,-2286.044067497981,-2285.0856411409027,-2275.5271773739723
100,9.53,10.61,3.0,-2302.4444513916624,-2286.044067497981,-2285.087882178168,-2275.5271773739723
