iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.692070484161377,7.476132392883301,8.375,0.54,0.35937499999999994,0.08573691573403555,0.10860352205398288,-2920.643876203832,-2617.4689231663565,-2921.9538413558203,-2614.4286256702935,424.8968811035156,424.8968811035156,424.8968811035156,0.0,0.0001,2896.9262805255084,-2585.5642304468815
1,21.94926166534424,2.4067649841308594,8.515,0.79,0.4453125,0.10442263776579815,0.1168398098233004,-2910.0513525674933,-2548.1472219214943,-2911.071604198071,-2548.9340547458382,380.4950866699219,402.69598388671875,420.4566955566406,9.000301361083984e-05,0.0001,,
10,28.568035125732422,4.925195217132568,12.63,8.675,0.7064732142857143,0.2997863048397761,0.3145923520923521,-2838.58028329057,-2324.7897852451974,-2715.7392292187446,-2283.127438990528,340.986572265625,363.9237060546875,379.91534423828125,0.000899970531463623,0.0001,,
50,38.02716135978699,3.3307363986968994,22.6,26.725,0.6450892857142857,0.2006614729757145,0.2424330055909003,-3060.7668188362127,-2369.1041185350387,-2395.5396532889495,-2286.523262763757,316.5660095214844,323.6903381347656,302.29046630859375,0.004499971866607666,0.0001,,
100,42.26358962059021,3.2994678020477295,21.835,25.98,0.7533482142857143,0.42450021378491426,0.4379564506962205,-3061.785592384222,-2933.858458443487,-2412.997361832488,-2370.6202268847273,251.26101684570312,291.5091247558594,245.87144470214844,0.009000003337860107,0.0001,,
500,65.94064974784851,3.370333194732666,24.26,28.0,0.5323660714285714,0.12768971309921467,0.1563803365612576,-3072.1527868079193,-3072.1527868079183,-2370.620226884731,-2370.6202268847273,159.2842559814453,149.2088623046875,140.9925994873047,0.04500001668930054,0.0001,,
1000,80.57162666320801,3.414933681488037,22.53,28.0,0.6104910714285714,0.21352786700562343,0.18271783440747486,-3072.1527868079197,-3072.1527868079183,-2370.620226884731,-2370.6202268847287,215.19961547851562,107.68930053710938,112.39836120605469,0.09000003337860107,0.0001,,
2000,105.93023109436035,9.091095685958862,23.26,27.97,0.6194196428571428,0.29757898391444226,0.2306849128540305,-3066.629659160408,-2740.888190984173,-2370.4374174048176,-2359.8604354801173,277.12677001953125,81.1451187133789,100.19007110595703,0.18000000715255737,0.0001,2218.232271503927,-2217.435779054251
3000,136.70077919960022,3.318340539932251,21.77,26.295,0.640625,0.27968293521394805,0.19763801353874882,-2774.0281819429015,-2630.916818607274,-2359.851986305559,-2337.8191116462986,350.8101501464844,56.86531448364258,76.85111236572266,0.2699999213218689,0.0001,,
4000,161.69406604766846,8.532792568206787,20.285,24.57,0.5970982142857144,0.16597853478915744,0.18833874458874456,-2612.1561015579505,-2469.488953069239,-2333.1646913864765,-2312.758203337407,282.2665710449219,36.6728515625,58.26861572265625,0.35999995470046997,0.0001,2214.9686659252025,-2210.3297633908996
5000,191.78620386123657,2.976816415786743,17.28,22.265,0.7823660714285714,0.3465377720834377,0.3236193424738316,-2488.894001828591,-2389.5703132785975,-2319.4800026688663,-2299.672960290618,171.43394470214844,35.32331085205078,44.66585922241211,0.44999998807907104,0.0001,,
6000,216.44836568832397,8.1996169090271,18.5,22.64,0.5591517857142857,0.1959656724531918,0.1461046918767507,-2506.3022976473894,-2470.412854616605,-2317.108565169456,-2312.758203337406,109.91816711425781,30.094858169555664,36.67819595336914,0.5399999618530273,0.0001,2210.6295675706456,-2210.269988563663
7000,246.54457902908325,3.156743288040161,21.0,23.93,0.59375,0.2315142318682959,0.20242293625914315,-2602.041669490865,-2428.966322942712,-2335.408540840119,-2308.8280700025743,67.40096282958984,21.724628448486328,27.795141220092773,0.6299999952316284,0.0001,,
8000,271.2191643714905,8.519110679626465,21.345,24.495,0.7243303571428572,0.4719024565239518,0.24875408496732027,-2657.4062910194393,-2577.696528893419,-2346.588486816523,-2341.4123459802463,52.40380096435547,19.832340240478516,21.76645278930664,0.7199999094009399,0.0001,2215.1790054718945,-2214.2104694540826
9000,301.61059617996216,3.2357418537139893,21.94,25.145,0.7053571428571428,0.2945103419468211,0.21153008238988277,-2823.340079946001,-2550.065507777491,-2386.1443471555203,-2338.878306114056,42.60951614379883,19.829946517944336,25.54006576538086,0.809999942779541,0.0001,,
10000,326.37935757637024,7.890040874481201,18.025,21.025,0.6651785714285714,0.453125,0.203125,-2446.1813988226017,-2444.9555888161535,-2321.021912690812,-2320.8259875255108,42.11357879638672,19.24385643005371,19.518301010131836,0.8999999761581421,0.0001,2215.6753619739347,-2215.6326116279242
11000,355.8570644855499,3.1121842861175537,20.57,23.635,0.6060267857142857,0.3781782453657454,0.18030753968253968,-2562.824091235698,-2525.1455276422685,-2338.8590492525427,-2331.063503031123,33.09564208984375,19.251272201538086,23.493398666381836,0.8999999761581421,0.0001,,
12000,380.5175311565399,8.178445100784302,19.22,22.705,0.6551339285714286,0.2852686302763702,0.19874334561834558,-2541.310923917723,-2414.4141561853276,-2328.4252065576065,-2309.418979115573,39.473365783691406,17.62691307067871,19.243696212768555,0.8999999761581421,0.0001,2214.97899328403,-2210.0927077569845
13000,410.00315499305725,2.8343446254730225,18.045,19.935,0.6082589285714285,0.3370320197044335,0.20092672413793103,-2425.980298044799,-2400.6692224655562,-2306.1023396144883,-2296.999008262377,34.21672821044922,15.855648040771484,18.054141998291016,0.8999999761581421,0.0001,,
14000,434.5409302711487,7.817199230194092,16.32,19.21,0.614955357142857,0.34229001696832584,0.20831801470588235,-2423.770010407852,-2411.9957880290503,-2304.786777487014,-2297.282265445573,40.946109771728516,15.131885528564453,17.99454689025879,0.8999999761581421,0.0001,2219.826304082,-2210.393195871325
15000,464.2296919822693,2.762634038925171,16.025,18.745,0.6462053571428572,0.3507935501786922,0.22120098039215685,-2400.8873202260993,-2358.2376896536225,-2302.2884521938686,-2295.4807810883503,37.142250061035156,14.375741958618164,15.396319389343262,0.8999999761581421,0.0001,,
16000,488.3673267364502,7.5060765743255615,16.345,18.665,0.7377232142857142,0.22627414252414255,0.2870720945720946,-2408.2149632021383,-2350.0677220221596,-2300.2767156360046,-2287.84210752103,40.44332504272461,13.107279777526855,14.438979148864746,0.8999999761581421,0.0001,2223.3225964798194,-2210.8303398447806
