iteration,training_time_seconds_mean,training_time_seconds_std,history_eval_time_seconds_mean,history_eval_time_seconds_std,expected_shd_mean,expected_shd_std,expected_edges_mean,expected_edges_std,roc_auc_mean,roc_auc_std,prc_auc_mean,prc_auc_std,ave_prec_mean,ave_prec_std,bic_mean_mean,bic_mean_std,bic_max_mean,bic_max_std,bdeu_mean_mean,bdeu_mean_std,bdeu_max_mean,bdeu_max_std,loss_mean,loss_std,avg_loss_mean,avg_loss_std,smooth_loss_mean,smooth_loss_std,epsilon_mean,epsilon_std,learning_rate_mean,learning_rate_std,neg_avg_predictive_log_likelihood_mean,neg_avg_predictive_log_likelihood_std,predictive_log_likelihood_best_mean,predictive_log_likelihood_best_std
0,18.748338079452516,1.3557448535360772,8.7143075466156,1.064137009936327,8.620000000000001,0.24922379501163175,1.0939999999999999,0.474281034830616,0.5774553571428571,0.14202551605194555,0.18750036280792193,0.09952265236838014,0.2004253509502881,0.07573432432682019,-2907.180882289019,43.48417149992073,-2530.748094374621,91.34182023476447,-2907.657704950152,43.63808099451474,-2522.081704370004,96.17127639997278,374.1166137695312,43.2946515598154,374.1166137695312,43.2946515598154,374.1166137695312,43.2946515598154,0.0,0.0,0.0001,0.0,2881.471694618943,42.037708189674646,-2483.5827617268365,102.30132210085141
1,22.86039204597473,1.4525970546469809,2.121907663345337,0.6930174181557145,8.706999999999999,0.2732123716086074,1.3619999999999999,0.5895824793868962,0.6823660714285713,0.14741989742206146,0.2485824177179444,0.109784782390695,0.26289876019786623,0.0947092981613438,-2899.7767763402126,41.18413479034704,-2489.888448538234,41.77447444582993,-2899.1505170608207,41.20528701767213,-2448.0100950175,70.13843028322498,357.5050048828125,46.937878145462655,365.81080932617186,43.46640111644922,372.4554382324219,43.052214277456905,9.000301361083984e-05,0.0,0.0001,0.0,,,,
10,28.97321162223816,1.4228401121252081,3.8830912590026854,1.1668755344438473,12.025,1.9362011775639432,7.554,3.1818555906891817,0.6533482142857142,0.0707038076765441,0.2678884967168077,0.09812682319002958,0.2892280499721391,0.09613313661193361,-2841.2788515651773,33.26653188914262,-2351.046342166229,26.11218336564265,-2741.405581470162,50.88240649543754,-2314.407121466039,33.212934635715506,344.56284790039064,28.600922406092042,347.0559448242187,28.873987756564773,353.98289184570314,31.700140381950238,0.0008999705314636,0.0,0.0001,0.0,,,,
50,37.83242263793945,2.6407851982293615,3.7021817207336425,1.101402777723343,21.673999999999996,1.1441121011509323,25.375999999999998,1.3612283056122514,0.6571428571428571,0.07950550069814512,0.26684388242071594,0.06900431758820916,0.28761907787383467,0.0533700220231987,-3049.026427692491,14.384446091419326,-2414.874507267999,134.91905745706404,-2430.975772235321,45.91320962158342,-2306.8269280078,24.51128978706086,306.2951293945313,25.629312415164858,314.69597778320315,22.123960787106245,293.63495483398435,20.915836912540094,0.0044999718666076,0.0,0.0001,0.0,,,,
100,41.85108547210693,3.4592729868168735,3.169127368927002,0.5481585008217518,22.495000000000005,0.7181660671460333,26.689,0.591812892728774,0.6805803571428571,0.10588394984068548,0.30041334508173767,0.1366986992933442,0.32352649658517796,0.1300270403096879,-3072.9871173317197,17.02587281281764,-2834.7962288764547,270.9117759982506,-2412.199582577322,29.92764804386612,-2368.2856480473297,43.888566550476995,250.68829345703125,33.81895346937446,285.3169189453125,17.277846454208994,242.77142944335938,12.591442801746814,0.0090000033378601,0.0,0.0001,0.0,,,,
500,63.84959211349487,6.773390866077797,3.175073432922363,0.5340620714991037,23.811,0.7447516364533885,28.0,0.0,0.5848214285714286,0.06540692782077087,0.17599455174305054,0.09306571587410604,0.20039187201805034,0.08733600401071505,-3080.7294443742267,18.172756655479738,-3080.7294443742257,18.172756655479994,-2385.8724493134673,24.248793286977612,-2385.8724493134628,24.248793286976554,138.44207611083985,18.97121172542034,150.81433715820313,5.781301171675998,137.9489776611328,8.405701563106355,0.0450000166893005,0.0,0.0001,0.0,,,,
1000,76.77814860343933,10.415320161259041,3.2091882705688475,0.5415398216163496,23.493000000000002,0.6765408339486978,28.0,0.0,0.5966517857142857,0.055369967192517945,0.20716430363147778,0.054147414589339506,0.19459448969920173,0.06178425305028161,-3080.729444374227,18.17275665547969,-3080.7294443742257,18.172756655480146,-2385.872449313467,24.2487932869775,-2385.8724493134637,24.248793286977694,219.34275512695314,11.272489973849568,108.661328125,1.8619937165494351,113.48923797607422,3.1649560252835336,0.090000033378601,0.0,0.0001,0.0,,,,
2000,99.06461095809937,17.114202348897642,8.762054634094238,0.7674609689833211,22.381999999999998,1.1953325897004574,27.311,1.5239356941813516,0.6622767857142857,0.07452900712729307,0.29801139164648227,0.08518495564876413,0.22201287205050052,0.02684922825470919,-2992.0369362722577,195.83786303861314,-2893.6253442397474,276.6501977827721,-2377.4417028922026,28.00884934763794,-2369.727057377532,36.55403541235536,274.59686279296875,17.2089703381444,83.1926025390625,2.0992408903185833,97.94695587158203,1.8822940200239853,0.1800000071525573,0.0,0.0001,0.0,2247.304754602653,27.555409579067007,-2245.401086188602,27.97410780752294
3000,126.68829984664917,24.232237274726906,3.0588788032531737,0.48364284052132084,22.0,2.3781584261777016,26.094,2.462055543646407,0.6430803571428573,0.07210287882964843,0.2961525184451198,0.08393177084620201,0.2428237508248249,0.10339866256884543,-2851.833103099473,232.71687119299463,-2679.142838960492,258.6093127516385,-2372.21507701323,22.69563018697963,-2350.6461960902657,30.000302415186688,343.42628784179686,12.591588209966702,59.23765106201172,4.604180174221704,80.76853790283204,4.994940728862493,0.2699999213218689,0.0,0.0001,0.0,,,,
4000,148.63098845481872,31.070646553473818,8.28605318069458,0.6457916923397804,20.455000000000002,1.656038194003991,24.082,0.8862462975945232,0.6075892857142857,0.11143569420486829,0.2460984415219733,0.053477791719857476,0.22539393276601788,0.06890762277061123,-2605.5718431603605,57.636627374819035,-2473.431753406829,34.33414296688437,-2355.3737448204547,22.16918363068495,-2326.686160609558,16.1430888098074,309.33209838867185,27.705375440242303,38.80295104980469,1.8220665698498943,62.109371185302734,4.041279420445574,0.3599999547004699,0.0,0.0001,0.0,2241.8971881871103,25.530171439184844,-2234.251423590099,21.612820942715835
