iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.0287 ± 0.8638,8.2595 ± 1.0224,8.6220 ± 0.2529,1.0940 ± 0.4743,0.5730 ± 0.1381,0.1866 ± 0.0990,0.2006 ± 0.0760,-2907.4221 ± 43.2975,-2530.7481 ± 91.3418,-2907.8967 ± 43.4445,-2522.0817 ± 96.1713,374.1166 ± 43.2947,374.1166 ± 43.2947,374.1166 ± 43.2947,0.0000 ± 0.0000,0.0001 ± 0.0000,2881.7136 ± 41.8367,-2483.5828 ± 102.3013
1,20.9121 ± 0.7992,1.9765 ± 0.6477,8.7150 ± 0.2731,1.3720 ± 0.5879,0.6728 ± 0.1502,0.2417 ± 0.1130,0.2469 ± 0.0970,-2899.9322 ± 41.1727,-2489.8884 ± 41.7745,-2899.2978 ± 41.1799,-2448.0101 ± 70.1384,357.5051 ± 46.9379,365.8109 ± 43.4665,372.4555 ± 43.0522,0.0001 ± 0.0000,0.0001 ± 0.0000,,
10,26.8430 ± 1.7841,3.8658 ± 1.0157,12.1500 ± 1.9634,7.7500 ± 3.1868,0.6346 ± 0.0730,0.2543 ± 0.1104,0.2827 ± 0.1075,-2835.9842 ± 33.1183,-2365.4570 ± 29.7535,-2736.2201 ± 49.3051,-2314.3350 ± 22.1300,344.5616 ± 28.5989,347.0563 ± 28.8741,353.9832 ± 31.7006,0.0009 ± 0.0000,0.0001 ± 0.0000,,
50,33.8493 ± 0.4028,2.5630 ± 0.6900,21.8060 ± 0.9730,25.7490 ± 1.0044,0.6819 ± 0.0743,0.2475 ± 0.0888,0.2881 ± 0.0883,-3051.0097 ± 15.5384,-2402.8221 ± 65.9929,-2423.9005 ± 40.3841,-2316.2234 ± 27.6635,306.2664 ± 25.6402,314.7285 ± 22.0476,293.6153 ± 20.9554,0.0045 ± 0.0000,0.0001 ± 0.0000,,
100,36.5260 ± 0.4033,2.2631 ± 0.0542,22.5040 ± 0.6934,26.8510 ± 0.6761,0.6835 ± 0.1160,0.2966 ± 0.1306,0.3212 ± 0.1287,-3073.8808 ± 15.2250,-2862.0233 ± 283.3945,-2408.8027 ± 36.5127,-2367.4211 ± 45.5165,250.6800 ± 33.8323,285.3814 ± 17.1197,242.8311 ± 12.4509,0.0090 ± 0.0000,0.0001 ± 0.0000,,
500,52.1634 ± 0.4560,2.2438 ± 0.0096,23.3030 ± 0.6448,28.0000 ± 0.0000,0.6493 ± 0.0636,0.2050 ± 0.0540,0.2295 ± 0.0404,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,142.7705 ± 17.2301,151.4462 ± 5.7752,137.5888 ± 6.5328,0.0450 ± 0.0000,0.0001 ± 0.0000,,
1000,58.4100 ± 0.4757,2.2435 ± 0.0209,23.3690 ± 0.7784,28.0000 ± 0.0000,0.6397 ± 0.0803,0.2448 ± 0.0758,0.2503 ± 0.0861,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,219.8194 ± 11.1900,108.2986 ± 1.4968,114.2593 ± 3.2769,0.0900 ± 0.0000,0.0001 ± 0.0000,,
2000,68.3690 ± 0.5622,7.6243 ± 0.2091,22.4940 ± 2.2728,27.1940 ± 1.7360,0.6638 ± 0.1330,0.3166 ± 0.1068,0.2935 ± 0.1179,-2980.6723 ± 206.9142,-2917.0294 ± 258.0353,-2378.7893 ± 27.0830,-2368.6761 ± 31.8359,276.5131 ± 13.3051,83.7945 ± 2.9276,97.1882 ± 3.4661,0.1800 ± 0.0000,0.0001 ± 0.0000,2249.1412 ± 28.2591,-2245.6945 ± 27.9415
3000,83.5030 ± 0.6887,2.1920 ± 0.0775,21.2770 ± 1.5986,25.9660 ± 1.7356,0.6884 ± 0.1674,0.3151 ± 0.1981,0.3339 ± 0.1936,-2808.9995 ± 169.1982,-2556.2398 ± 71.2617,-2366.3216 ± 26.9359,-2341.4971 ± 32.2601,345.0010 ± 15.8736,60.4439 ± 3.2072,82.5234 ± 3.9193,0.2700 ± 0.0000,0.0001 ± 0.0000,,
4000,93.2546 ± 0.6363,7.1565 ± 0.2090,20.5690 ± 1.7324,23.6570 ± 1.6212,0.5804 ± 0.1504,0.2389 ± 0.1434,0.2330 ± 0.1456,-2595.1133 ± 79.1239,-2467.3718 ± 50.3565,-2346.9464 ± 25.8689,-2319.0919 ± 27.6281,323.7453 ± 10.9186,38.8288 ± 2.1385,63.0611 ± 2.5357,0.3600 ± 0.0000,0.0001 ± 0.0000,2240.8476 ± 24.4861,-2233.7837 ± 24.1741
