iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.791215896606445,8.808615922927856,8.735,1.205,0.5502232142857142,0.1301009039979628,0.15692640692640691,-2931.2199115759036,-2593.306154186692,-2931.389264884158,-2574.3229593820765,352.05535888671875,352.05535888671875,352.05535888671875,0.0,0.0001,2903.4469982319883,-2533.9412598088766
1,20.546623945236206,0.8198978900909424,8.72,1.365,0.6729910714285715,0.4356860455782888,0.38496172479338114,-2920.0180812714684,-2430.7706610076634,-2919.910470126713,-2428.927673238997,358.234375,355.1448669433594,352.6732482910156,9.000301361083984e-05,0.0001,,
10,26.455598831176758,4.386866331100464,11.87,7.905,0.6852678571428572,0.24770645155675527,0.2938436390442465,-2840.3065228333376,-2346.6369864071667,-2740.6589772242833,-2323.9981250620904,318.451171875,338.497802734375,340.135009765625,0.000899970531463623,0.0001,,
50,33.89952850341797,2.2236099243164062,20.655,24.47,0.7053571428571429,0.2991777181427869,0.3187412251560324,-3060.960417810691,-2346.587774072292,-2475.4507629043555,-2339.3834116859507,268.4042053222656,287.51019287109375,249.4853515625,0.004499971866607666,0.0001,,
100,36.65978217124939,2.3023552894592285,22.205,26.785,0.7310267857142857,0.24794010106246975,0.2934570468725004,-3100.2183772065864,-2963.9985268401488,-2443.8992783984136,-2419.313810238946,193.60789489746094,250.1337432861328,199.00991821289062,0.009000003337860107,0.0001,,
500,52.047606468200684,2.3229477405548096,23.025,28.0,0.7243303571428572,0.2949553211151814,0.3527239273968925,-3106.6230296022295,-3106.6230296022286,-2419.3138102389516,-2419.3138102389476,105.99444580078125,128.44659423828125,116.86531066894531,0.04500001668930054,0.0001,,
1000,58.32891607284546,2.2521939277648926,24.065,28.0,0.5636160714285714,0.19941570584798415,0.16671111468318917,-3106.6230296022295,-3106.6230296022286,-2419.313810238951,-2419.3138102389466,210.7549591064453,102.69866943359375,111.81365966796875,0.09000003337860107,0.0001,,
2000,68.6621470451355,7.799411058425903,23.22,28.0,0.6272321428571429,0.27533747982469337,0.1827788576555024,-3106.6230296022295,-3106.6230296022286,-2419.313810238952,-2419.313810238946,268.3401794433594,81.70692443847656,97.1121826171875,0.18000000715255737,0.0001,2289.5598989567375,-2289.5598989567366
3000,83.71630430221558,2.1130611896514893,19.11,24.085,0.7377232142857143,0.37499273837188946,0.32103298650942963,-2641.9618258462815,-2462.412924866817,-2386.29774968751,-2353.3570887639444,308.01861572265625,62.3077392578125,81.75646209716797,0.2699999213218689,0.0001,,
4000,93.92083692550659,7.067786931991577,18.46,23.03,0.7410714285714286,0.49036500016673334,0.47030895691609975,-2573.5282723307346,-2442.822936018031,-2379.921903309726,-2345.3136840953393,285.07574462890625,40.78825759887695,60.54925537109375,0.35999995470046997,0.0001,2275.278874084092,-2264.0143359162535
