iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.4524 ± 0.9605,8.7615 ± 1.1353,8.6520 ± 0.2677,1.1160 ± 0.4685,0.5471 ± 0.1352,0.1533 ± 0.0798,0.1606 ± 0.0522,-2907.9414 ± 43.4733,-2541.1393 ± 113.0778,-2908.3344 ± 43.5824,-2533.1817 ± 115.9387,326.1596 ± 19.6394,326.1596 ± 19.6394,326.1596 ± 19.6394,0.0000 ± 0.0000,0.0001 ± 0.0000,2882.0863 ± 41.9503,-2496.2963 ± 117.7234
1,21.4681 ± 2.2940,1.1381 ± 0.6814,8.7170 ± 0.2780,1.3520 ± 0.5449,0.6853 ± 0.1412,0.2266 ± 0.0979,0.2557 ± 0.0779,-2897.3747 ± 35.8596,-2435.2382 ± 80.2419,-2897.0928 ± 36.2282,-2419.0810 ± 96.6462,317.3219 ± 25.5227,321.7408 ± 17.5975,325.2759 ± 18.3597,0.0001 ± 0.0000,0.0001 ± 0.0000,,
10,30.5891 ± 0.7684,3.8930 ± 0.9369,12.4400 ± 1.7624,8.3680 ± 2.9512,0.6400 ± 0.0684,0.2569 ± 0.0819,0.2679 ± 0.0891,-2835.8223 ± 34.2547,-2341.9423 ± 36.7410,-2721.1437 ± 38.3115,-2303.0800 ± 20.7576,306.0904 ± 17.4818,318.1555 ± 10.5877,319.3218 ± 12.4242,0.0009 ± 0.0000,0.0001 ± 0.0000,,
50,33.7364 ± 0.3957,2.5417 ± 0.7130,22.3060 ± 0.9001,25.7260 ± 0.8212,0.6114 ± 0.1043,0.2089 ± 0.0792,0.2309 ± 0.0698,-3051.9505 ± 15.1938,-2425.9806 ± 106.8356,-2424.4535 ± 33.9555,-2330.6496 ± 15.3303,263.1448 ± 13.5586,289.5311 ± 11.7641,269.5795 ± 10.5703,0.0045 ± 0.0000,0.0001 ± 0.0000,,
100,37.2736 ± 2.1041,2.2324 ± 0.0431,22.7620 ± 0.6926,26.5800 ± 0.8328,0.6462 ± 0.1147,0.2345 ± 0.0933,0.2593 ± 0.0916,-3072.9088 ± 15.4802,-2873.3884 ± 185.4403,-2414.8084 ± 38.6726,-2385.8724 ± 24.2488,229.3797 ± 24.0825,265.7913 ± 9.7549,229.7879 ± 6.4251,0.0090 ± 0.0000,0.0001 ± 0.0000,,
500,51.9440 ± 0.4848,2.2210 ± 0.0163,23.7260 ± 0.7726,28.0000 ± 0.0000,0.5975 ± 0.0588,0.2113 ± 0.0594,0.2259 ± 0.0617,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,132.0045 ± 5.8555,148.0236 ± 5.5533,134.3834 ± 8.9734,0.0450 ± 0.0000,0.0001 ± 0.0000,,
1000,58.1716 ± 0.4758,2.2457 ± 0.0242,23.7600 ± 0.6000,28.0000 ± 0.0000,0.5951 ± 0.0566,0.2236 ± 0.0781,0.2043 ± 0.0638,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,198.3768 ± 15.4598,108.0297 ± 2.2225,112.4975 ± 4.9426,0.0900 ± 0.0000,0.0001 ± 0.0000,,
2000,68.1071 ± 0.5150,7.5145 ± 0.3062,22.5460 ± 2.2613,26.6890 ± 2.1941,0.5645 ± 0.0719,0.2231 ± 0.0410,0.1589 ± 0.0199,-2916.6974 ± 235.0029,-2768.9823 ± 305.8212,-2372.3737 ± 35.4244,-2357.7824 ± 47.8478,270.4204 ± 19.2952,82.0574 ± 1.5385,97.8940 ± 2.0582,0.1800 ± 0.0000,0.0001 ± 0.0000,2248.3263 ± 30.6816,-2243.5016 ± 33.4527
3000,82.9158 ± 0.6895,2.1475 ± 0.0678,20.8870 ± 2.0298,24.9360 ± 2.2649,0.6429 ± 0.0725,0.2662 ± 0.0488,0.2200 ± 0.0449,-2708.3450 ± 188.6211,-2539.9095 ± 131.7828,-2356.9019 ± 30.1125,-2336.8055 ± 26.4856,344.1434 ± 27.0337,57.3501 ± 2.3394,78.6328 ± 2.4850,0.2700 ± 0.0000,0.0001 ± 0.0000,,
4000,92.4655 ± 0.8223,7.1025 ± 0.2197,18.8620 ± 1.5190,23.0890 ± 1.4978,0.6757 ± 0.1038,0.2786 ± 0.1536,0.2849 ± 0.1564,-2553.1860 ± 86.6187,-2451.7946 ± 81.1502,-2345.0802 ± 32.2678,-2321.8985 ± 30.0862,297.0278 ± 18.4160,38.5269 ± 1.4333,60.8192 ± 2.7002,0.3600 ± 0.0000,0.0001 ± 0.0000,2239.7393 ± 24.9017,-2234.1612 ± 24.0790
5000,106.7705 ± 0.9713,2.0004 ± 0.0320,17.4180 ± 1.1769,21.1650 ± 1.4403,0.6449 ± 0.1035,0.2506 ± 0.1129,0.2462 ± 0.1020,-2479.3051 ± 48.6117,-2405.9079 ± 50.1899,-2330.9910 ± 21.5230,-2314.5437 ± 25.3992,195.9089 ± 10.6362,35.8589 ± 1.2484,48.3802 ± 1.1893,0.4500 ± 0.0000,0.0001 ± 0.0000,,
6000,116.1514 ± 0.9677,6.7173 ± 0.2630,16.7630 ± 2.3539,20.3490 ± 2.0047,0.6732 ± 0.0798,0.2481 ± 0.1256,0.2276 ± 0.0531,-2460.9880 ± 78.2163,-2384.0339 ± 25.7867,-2330.5171 ± 34.2535,-2309.3048 ± 20.2201,130.1845 ± 11.5240,29.3144 ± 0.9589,37.7222 ± 1.6665,0.5400 ± 0.0000,0.0001 ± 0.0000,2241.6449 ± 27.6774,-2233.3607 ± 23.6880
7000,130.3072 ± 1.1161,2.1567 ± 0.0636,21.4560 ± 1.4156,25.3540 ± 1.7517,0.6576 ± 0.0779,0.2620 ± 0.0769,0.2234 ± 0.0661,-2778.9478 ± 175.5962,-2565.0277 ± 120.1111,-2366.9425 ± 11.9270,-2346.0033 ± 13.0990,71.5866 ± 4.2263,21.2986 ± 1.0558,25.6999 ± 1.5983,0.6300 ± 0.0000,0.0001 ± 0.0000,,
8000,139.8047 ± 1.1133,7.3199 ± 0.2404,22.1730 ± 2.1899,25.0750 ± 1.7269,0.5777 ± 0.0452,0.2375 ± 0.0680,0.1653 ± 0.0285,-2703.6641 ± 147.1590,-2591.4120 ± 80.3963,-2373.8063 ± 24.4347,-2353.8398 ± 16.4957,45.0372 ± 2.2204,19.7233 ± 1.3476,21.5453 ± 0.9340,0.7200 ± 0.0000,0.0001 ± 0.0000,2252.0469 ± 25.5354,-2242.4848 ± 21.1058
9000,154.3271 ± 1.2029,2.1022 ± 0.0659,21.0610 ± 2.9416,24.1180 ± 1.7094,0.6000 ± 0.1163,0.3339 ± 0.0859,0.1944 ± 0.0570,-2657.9951 ± 131.0442,-2582.7408 ± 173.7139,-2381.9742 ± 31.9432,-2368.4231 ± 37.7820,39.2521 ± 4.7432,18.8059 ± 1.1968,21.8512 ± 1.4464,0.8100 ± 0.0000,0.0001 ± 0.0000,,
10000,163.9595 ± 1.2359,7.2055 ± 0.2698,21.2840 ± 2.3588,24.2840 ± 1.6438,0.6016 ± 0.0690,0.3354 ± 0.1333,0.1829 ± 0.0396,-2673.6628 ± 119.0258,-2527.8339 ± 105.5315,-2390.3696 ± 46.1640,-2352.3620 ± 34.9194,36.7702 ± 5.4093,18.7671 ± 1.4140,21.6225 ± 2.5350,0.9000 ± 0.0000,0.0001 ± 0.0000,2268.4872 ± 39.5481,-2245.6287 ± 29.5649
11000,178.2843 ± 1.3277,2.0000 ± 0.0453,18.3080 ± 1.9356,21.1840 ± 1.3253,0.6435 ± 0.0664,0.3964 ± 0.0863,0.2506 ± 0.0619,-2505.7722 ± 55.6171,-2444.0357 ± 62.4120,-2345.0011 ± 29.6409,-2328.4603 ± 33.7759,36.6775 ± 3.9140,17.8997 ± 0.9152,18.4313 ± 0.6937,0.9000 ± 0.0000,0.0001 ± 0.0000,,
