shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
8.0,8.0,-2317.9954133469864,-2307.011939945632,-2265.306871625748,2265.306871625748,1
6.0,8.0,-2322.1731891847135,-2308.729099998987,-2265.978239330547,2265.978239330547,2
10.0,8.0,-2322.952989593608,-2311.89642103536,-2271.349688123012,2271.349688123012,3
11.0,9.0,-2324.7296522837737,-2309.0710229089227,-2266.2354562041,2266.2354562041,4
9.0,9.0,-2325.587585674596,-2311.0316780504477,-2266.0539958905388,2266.0539958905388,5
7.0,9.0,-2326.025944961447,-2310.71408456077,-2267.225326767285,2267.225326767285,6
9.0,9.0,-2329.6872285303953,-2313.955503998651,-2272.2782727013646,2272.2782727013646,7
12.0,10.0,-2332.3218246113834,-2313.0907610137383,-2266.982580468891,2266.982580468891,8
14.0,10.0,-2336.126125746312,-2324.5047428061375,-2265.470188886434,2265.470188886434,9
12.0,10.0,-2336.126125746312,-2324.504742806137,-2265.470188886434,2265.470188886434,10
13.0,11.0,-2343.7182980739212,-2328.5244809109536,-2266.217313151224,2266.217313151224,11
13.0,11.0,-2343.7182980739212,-2328.5244809109527,-2266.217313151224,2266.217313151224,12
13.0,11.0,-2343.7182980739212,-2328.5244809109545,-2266.217313151224,2266.217313151224,13
