iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
500,41.107187271118164,2.444932699203491,24.155,28.0,0.5546875,0.25502566951808114,0.2722819260109948,-3057.3530102111963,-3057.3530102111954,-2355.4908918296383,-2355.490891829634,135.84010314941406,142.91273498535156,128.4635467529297,0.03600001335144043,0.0001,,
1000,47.2027063369751,7.697116136550903,23.64,28.0,0.5993303571428572,0.21509908049833976,0.18679988058674538,-3057.353010211196,-3057.3530102111954,-2355.4908918296383,-2355.490891829636,228.67335510253906,104.19107818603516,113.51472473144531,0.07199996709823608,0.0001,2227.924201147987,-2227.9242011479855
1500,58.71875,2.3059241771698,23.59,28.0,0.5792410714285714,0.2819351115150552,0.2153623949579832,-3057.3530102111968,-3057.353010211196,-2355.4908918296383,-2355.490891829635,86.76139831542969,96.0723876953125,88.53030395507812,0.10799998044967651,0.0001,,
2000,64.60114789009094,7.504111051559448,21.29,26.75,0.6964285714285714,0.36224546372804045,0.23187719587176106,-2846.4975632144547,-2510.152461686732,-2342.342971552165,-2316.289087316701,281.9316711425781,79.94346618652344,98.7627182006836,0.14399999380111694,0.0001,2222.950022786501,-2215.513842912437
2500,75.71564030647278,2.120722770690918,17.975,23.405,0.8136160714285714,0.4896726289416113,0.4649730879076044,-2539.408339258212,-2429.6573800684287,-2322.428506607396,-2301.833444967611,77.38896179199219,87.35823822021484,82.90435791015625,0.18000000715255737,0.0001,,
3000,81.59595680236816,7.612948894500732,21.23,27.205,0.8225446428571429,0.5649627976190477,0.5527678571428571,-2927.2838657949037,-2456.937125488757,-2348.390983511724,-2309.1867549129165,349.6733093261719,55.02418899536133,76.10009765625,0.2160000205039978,0.0001,2226.795523678317,-2214.799165254664
3500,92.66470408439636,2.1250505447387695,19.255,23.48,0.703125,0.3266617147637847,0.30643461431978875,-2556.715984741268,-2402.5979651724983,-2314.894083909074,-2287.0144163437812,55.164222717285156,63.07542419433594,54.81747055053711,0.25199997425079346,0.0001,,
4000,98.34733772277832,6.920177698135376,17.18,21.84,0.7254464285714286,0.32299339418641504,0.31905228496773846,-2497.6311118040876,-2416.1594665274224,-2311.6247300284235,-2297.0783239701414,309.6376953125,35.824764251708984,61.147979736328125,0.2879999876022339,0.0001,2218.5693755052357,-2211.3530429804887
4500,109.03567600250244,2.1649768352508545,20.56,23.56,0.5524553571428571,0.2376438213519267,0.215590078526125,-2561.54199256299,-2402.896079669022,-2314.7267080837373,-2289.763949507274,40.7991943359375,54.97052764892578,47.648651123046875,0.3240000009536743,0.0001,,
5000,114.89645862579346,7.003900051116943,19.015,22.82,0.5613839285714286,0.22223835447881826,0.18319623971797885,-2507.548825879081,-2404.205812257841,-2303.5241723247495,-2286.721703424657,192.90042114257812,34.69361114501953,47.99726867675781,0.35999995470046997,0.0001,2217.3462827033018,-2214.130325706811
