shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
2.0,25.0,-12757.722982210684,-12794.360046180496,-12103.343728007998,12103.343728007998,1
9.0,26.0,-12774.863881609373,-12808.03318395632,-12104.487819678627,12104.487819678627,2
5.0,26.0,-12774.863881609372,-12808.03318395632,-12104.487819678629,12104.487819678629,3
7.0,26.0,-12774.863881609372,-12808.033183956319,-12104.487819678625,12104.487819678625,4
7.0,26.0,-12774.863881609373,-12808.033183956322,-12104.487819678629,12104.487819678629,5
7.0,26.0,-12774.863881609375,-12808.033183956322,-12104.487819678627,12104.487819678627,6
9.0,26.0,-12796.165827003952,-12840.381573933802,-12105.502384818219,12105.502384818219,7
11.0,26.0,-12830.964932839113,-12859.418502602959,-12108.627520473936,12108.627520473936,8
10.0,27.0,-12983.038948324676,-13002.66892510816,-12172.005838715822,12172.005838715822,9
18.0,29.0,-13148.813412315427,-13113.2837696707,-12211.36494490713,12211.36494490713,10
