episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,28.8,20.6,16.0,-13112.275398159352,-13066.334419217912,-13108.644453484318,-13050.127701083431
20,28.5,20.7,16.0,-13114.567270437887,-13066.334419217912,-13114.887317490025,-13050.127701083431
30,28.566666666666666,20.966666666666665,16.0,-13115.750501724566,-12988.281512501642,-13115.90386978521,-12990.927093547229
40,28.65,21.55,16.0,-13122.322573540161,-12988.281512501642,-13118.601655904034,-12990.927093547229
50,28.7,21.74,16.0,-13133.916945993524,-12965.672204024388,-13128.160723312258,-12980.967759434092
60,28.783333333333335,21.883333333333333,16.0,-13129.420388770284,-12962.696988001922,-13125.225664313484,-12980.967759434092
70,28.857142857142858,21.914285714285715,16.0,-13136.74559919316,-12953.030465321104,-13132.252423199738,-12980.967759434092
80,28.7875,21.8125,16.0,-13133.000063411007,-12953.030465321104,-13127.738716413372,-12980.967759434092
90,28.81111111111111,21.677777777777777,16.0,-13135.056965231835,-12953.030465321104,-13130.093462017367,-12980.967759434092
100,28.8,21.78,16.0,-13136.603129158471,-12953.030465321104,-13130.609757743658,-12980.967759434092
