iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,19.6068 ± 0.6757,12.3204 ± 0.8106,25.8910 ± 0.4093,1.0960 ± 0.4991,0.5069 ± 0.0363,0.0661 ± 0.0119,0.0665 ± 0.0063,-17304.8791 ± 92.7585,-16571.1031 ± 296.4994,-17317.2758 ± 93.5499,-16585.0376 ± 294.2428,691.8788 ± 12.2691,691.8788 ± 12.2691,691.8788 ± 12.2691,0.0000 ± 0.0000,0.0001 ± 0.0000,17176.6121 ± 95.3726,-16394.4444 ± 310.5308
1,25.9468 ± 1.1984,2.1548 ± 0.7265,26.0160 ± 0.4020,1.2350 ± 0.4919,0.5044 ± 0.0729,0.0585 ± 0.0110,0.0714 ± 0.0090,-17307.1541 ± 95.8638,-16595.6806 ± 132.4256,-17319.7015 ± 96.3843,-16613.3047 ± 129.0026,670.5941 ± 51.2375,681.2364 ± 21.2266,689.7503 ± 7.7823,0.0001 ± 0.0000,0.0001 ± 0.0000,,
10,33.6193 ± 1.5072,5.7623 ± 1.4400,30.4140 ± 2.7602,7.0180 ± 3.7109,0.6025 ± 0.0576,0.1133 ± 0.0570,0.1124 ± 0.0484,-17499.3055 ± 404.6575,-15976.1370 ± 163.9363,-17300.7625 ± 152.2832,-15969.8773 ± 120.6908,663.5342 ± 65.1749,670.4895 ± 21.4564,673.5068 ± 13.3832,0.0009 ± 0.0000,0.0001 ± 0.0000,,
50,42.5115 ± 0.6878,7.5174 ± 0.8192,57.6730 ± 3.7861,51.0820 ± 6.2847,0.8168 ± 0.0282,0.2933 ± 0.0548,0.3011 ± 0.0514,-26039.8718 ± 1712.1078,-15466.8654 ± 983.1701,-17743.8031 ± 367.1144,-15364.5950 ± 802.5648,623.1102 ± 39.3017,645.5126 ± 22.0727,629.7730 ± 18.4364,0.0045 ± 0.0000,0.0001 ± 0.0000,,
100,57.5201 ± 3.2421,7.2577 ± 0.2691,61.8550 ± 3.1354,59.1110 ± 2.3367,0.8192 ± 0.0457,0.3066 ± 0.0728,0.3158 ± 0.0740,-28378.7924 ± 707.8865,-17349.7169 ± 104.2887,-17715.6336 ± 449.8062,-15829.9559 ± 434.9143,567.4223 ± 70.8148,619.2965 ± 21.6104,580.4147 ± 27.4503,0.0090 ± 0.0000,0.0001 ± 0.0000,,
500,73.8528 ± 1.3700,8.1536 ± 1.0022,68.9470 ± 6.1801,67.7610 ± 3.0921,0.7811 ± 0.0569,0.2415 ± 0.0744,0.2519 ± 0.0750,-29016.0027 ± 1455.0680,-23721.9021 ± 1279.9294,-17999.2933 ± 371.0893,-16037.7403 ± 657.0300,358.6791 ± 37.7325,408.8889 ± 9.7500,381.4692 ± 20.7217,0.0450 ± 0.0000,0.0001 ± 0.0000,,
1000,88.3785 ± 1.8355,8.5890 ± 1.4458,71.4910 ± 8.9210,72.9550 ± 8.4887,0.7500 ± 0.0651,0.2526 ± 0.0691,0.2593 ± 0.0681,-29309.2255 ± 1565.8203,-24745.0944 ± 645.4013,-18108.3129 ± 519.8436,-16494.8936 ± 932.8867,397.5483 ± 23.2782,305.5086 ± 10.5581,301.7673 ± 7.4665,0.0900 ± 0.0000,0.0001 ± 0.0000,,
2000,108.2133 ± 1.4563,23.3811 ± 0.9106,79.2950 ± 9.6459,79.2210 ± 7.5998,0.7030 ± 0.0841,0.2233 ± 0.0486,0.1976 ± 0.0445,-26934.3529 ± 1058.3142,-25142.8569 ± 636.6653,-18827.8341 ± 704.6397,-17772.1797 ± 825.8147,420.7741 ± 55.4900,244.9266 ± 19.7104,255.2661 ± 26.1052,0.1800 ± 0.0000,0.0001 ± 0.0000,14306.9551 ± 433.2946,-13763.3090 ± 419.7623
3000,143.0653 ± 1.9617,8.1195 ± 0.2734,90.4930 ± 3.5299,88.6860 ± 3.6206,0.6384 ± 0.0249,0.2174 ± 0.0323,0.1917 ± 0.0332,-27266.2423 ± 895.9627,-25145.6282 ± 903.0472,-18722.2839 ± 380.2024,-17803.5335 ± 263.8342,429.8956 ± 45.5059,216.6354 ± 16.4765,234.0294 ± 14.6749,0.2700 ± 0.0000,0.0001 ± 0.0000,,
4000,162.2514 ± 1.9595,23.9714 ± 0.5055,91.1370 ± 3.3140,90.8220 ± 3.1718,0.6306 ± 0.0286,0.1883 ± 0.0131,0.1544 ± 0.0128,-27005.3177 ± 1135.7121,-25321.9085 ± 437.8272,-18942.1671 ± 494.1870,-18163.8575 ± 375.9119,426.6721 ± 36.6338,196.4895 ± 8.7817,218.0004 ± 11.7672,0.3600 ± 0.0000,0.0001 ± 0.0000,14247.5689 ± 340.0529,-13726.8501 ± 228.9085
