iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,19.888148546218872,12.744457483291626,26.0,1.26,0.5064,0.06759236453201971,0.06944581280788178,-17248.231498473506,-16430.29421358032,-17260.253083729473,-16456.382011931586,645.1890258789062,645.1890258789062,645.1890258789062,0.0,0.0001,17113.83491468985,-16214.170522454262
1,25.982445001602173,1.8579962253570557,26.1,1.345,0.5539200000000001,0.06458333333333333,0.06992063492063491,-17254.623695100607,-16400.501066608693,-17267.77148022849,-16433.256060302,651.6497802734375,648.41943359375,645.8350830078125,9.000301361083984e-05,0.0001,,
10,33.87242770195007,5.909249782562256,30.745,7.415,0.59712,0.09691760405983947,0.0984737306770863,-17241.962448491427,-16037.346397027273,-17176.46765277961,-16028.536137806157,631.8634033203125,649.159423828125,646.8807373046875,0.000899970531463623,0.0001,,
50,47.048962354660034,6.27006459236145,56.095,46.58,0.7885333333333334,0.19795957794197624,0.21796212092462094,-24322.402019411144,-15613.353675569759,-17758.786971540692,-15632.205258522492,584.40380859375,627.8291625976562,600.385009765625,0.004499971866607666,0.0001,,
100,54.27612829208374,6.711842060089111,61.485,56.03,0.7684266666666667,0.21046418349052995,0.22510843972242137,-27016.79030407816,-16153.085625379452,-17675.554335820118,-16187.855918654175,749.2006225585938,610.071044921875,594.4647216796875,0.009000003337860107,0.0001,,
500,72.67638516426086,8.165391683578491,75.265,71.245,0.7162133333333334,0.23276367315838675,0.23761716210650302,-26850.173034447143,-23301.785903178792,-18235.926212489583,-16761.91330790079,362.20501708984375,404.3832092285156,377.4979248046875,0.04500001668930054,0.0001,,
1000,85.61436653137207,7.1442577838897705,68.9,68.98,0.7589333333333333,0.1679213125178129,0.20100545443635937,-28698.636748341614,-24725.354380500576,-17713.169692963485,-16474.254601829918,405.0873107910156,304.0589294433594,301.1038513183594,0.09000003337860107,0.0001,,
2000,105.8266007900238,23.639607429504395,77.895,77.66,0.6569066666666667,0.2634361585658772,0.17264682440649753,-27018.028624068447,-24738.9636301663,-18107.094098098503,-17331.168501728233,394.0539855957031,251.14315795898438,262.1209411621094,0.18000000715255737,0.0001,14036.530661548948,-13430.680341389645
3000,138.8682713508606,6.440515756607056,79.345,74.14,0.5840000000000001,0.2235243486445404,0.14366081546776205,-28253.399653353048,-24346.12267419438,-17925.800725064455,-16846.165408158955,451.8089294433594,237.92349243164062,270.26318359375,0.2699999213218689,0.0001,,
4000,158.41522431373596,23.963584423065186,92.22,88.575,0.5504533333333334,0.21337616619625233,0.13613743649995028,-26578.04176247029,-25000.042558690497,-18259.667947642225,-17507.61074070108,413.9671936035156,205.18600463867188,217.45443725585938,0.35999995470046997,0.0001,13954.946892496184,-13339.499895644678
5000,194.01077461242676,7.345042943954468,101.365,94.045,0.5057066666666665,0.16953718301907827,0.0921795668174659,-25997.83775544976,-25139.2056770013,-18508.468731889967,-18043.422098834955,437.14874267578125,187.01861572265625,209.10791015625,0.44999998807907104,0.0001,,
6000,213.15119218826294,24.12728714942932,101.0,97.375,0.5429333333333334,0.20064036862967258,0.10784190301103681,-25889.363980825387,-22839.201088571815,-18232.152351497512,-17433.396788103317,503.16912841796875,169.01597595214844,196.99307250976562,0.5399999618530273,0.0001,14045.095704485328,-13863.482042837273
7000,247.27656936645508,6.042544603347778,75.41,70.41,0.5753066666666666,0.21032552824063566,0.11632541508080793,-16524.168543646876,-15761.156335635711,-16032.147589276992,-15574.408287067168,403.2960510253906,156.5037078857422,176.59280395507812,0.6299999952316284,0.0001,,
8000,268.2273223400116,17.604385375976562,58.37,54.385,0.5917333333333333,0.2532248416049627,0.12403101492169195,-15226.588669737484,-15023.083902238244,-15327.478339495317,-15114.136502033003,394.66522216796875,144.94744873046875,164.18893432617188,0.7199999094009399,0.0001,13544.769649190726,-13435.49339266584
9000,296.54627418518066,5.644834518432617,68.7,62.285,0.5774400000000001,0.18987585426965137,0.10805401143958035,-15461.130901797133,-15032.71200426551,-15381.316470394726,-15082.321547371901,336.93017578125,136.223388671875,154.15223693847656,0.809999942779541,0.0001,,
10000,312.1009011268616,18.289741039276123,65.8,58.495,0.5389866666666666,0.12291304519688914,0.09031924185726221,-15230.991359865066,-14899.610668651101,-15242.256092141713,-14932.791089573968,299.1540222167969,127.42232513427734,145.59840393066406,0.8999999761581421,0.0001,13634.85204332716,-13534.462045003924
11000,341.88112783432007,5.871954441070557,58.99,57.99,0.7414399999999999,0.25608648027928016,0.23954954423306424,-15326.776876115324,-14726.443626748336,-15180.305557595017,-14748.055977702967,247.57064819335938,122.70059204101562,132.63577270507812,0.8999999761581421,0.0001,,
12000,358.2379446029663,18.682949542999268,57.4,56.485,0.6278933333333333,0.24266196493808612,0.19917789797614377,-15067.658571600849,-14529.468279939962,-14951.895518517229,-14306.063479285349,249.682861328125,121.84208679199219,139.5917510986328,0.8999999761581421,0.0001,13399.76746756752,-12645.297736595276
13000,386.6638307571411,5.3752923011779785,58.155,55.99,0.6277866666666667,0.24163396142990534,0.17461454979946772,-14900.685480873053,-14481.851268256616,-14819.980519453353,-14423.629292261225,222.60208129882812,112.7755355834961,122.33882904052734,0.8999999761581421,0.0001,,
14000,401.426634311676,17.19209623336792,51.715,49.745,0.6460266666666667,0.24017380470067293,0.19554792613224165,-14526.502178212188,-13771.358847689648,-14484.801475749811,-13760.575682637009,203.350830078125,105.07652282714844,111.56940460205078,0.8999999761581421,0.0001,13147.29711290926,-12719.928287592338
15000,428.9496638774872,5.246856212615967,57.5,53.35,0.5832,0.2518214285714286,0.11564285714285714,-14268.024430386045,-13932.37585978144,-14206.19637968036,-13838.486708277946,211.4289093017578,96.77226257324219,104.37100982666016,0.8999999761581421,0.0001,,
16000,443.98916149139404,17.46977925300598,55.53,52.42,0.5932266666666666,0.23893463349148553,0.12652865129280225,-14033.427544619448,-13928.596875878775,-13928.519833900886,-13829.452923790166,214.0536651611328,94.58619689941406,99.78368377685547,0.8999999761581421,0.0001,12798.4445542637,-12749.935600055645
17000,470.93667578697205,5.073284864425659,42.535,45.055,0.7068800000000001,0.3255600654605858,0.23731505417562607,-13886.44515922169,-13802.336703142664,-13739.48342746451,-13653.395979485409,173.6924285888672,88.21820068359375,96.31301879882812,0.8999999761581421,0.0001,,
18000,485.66927695274353,16.65403914451599,42.64,44.17,0.6661333333333334,0.29443805256305255,0.1829932904932905,-13704.600091171027,-13613.210662289832,-13590.957441096492,-13501.729521220761,160.83726501464844,83.59331512451172,89.25690460205078,0.8999999761581421,0.0001,12686.533267233193,-12667.008159973711
19000,511.4045367240906,4.870662450790405,42.415,41.975,0.6576533333333333,0.32284148228697473,0.1862818590704648,-13658.087297636584,-13582.550887818148,-13554.254519576947,-13479.67924477284,140.48606872558594,78.05426025390625,86.95806884765625,0.8999999761581421,0.0001,,
