iteration,training_time_seconds_mean,training_time_seconds_std,history_eval_time_seconds_mean,history_eval_time_seconds_std,expected_shd_mean,expected_shd_std,expected_edges_mean,expected_edges_std,roc_auc_mean,roc_auc_std,prc_auc_mean,prc_auc_std,ave_prec_mean,ave_prec_std,bic_mean_mean,bic_mean_std,bic_max_mean,bic_max_std,bdeu_mean_mean,bdeu_mean_std,bdeu_max_mean,bdeu_max_std,loss_mean,loss_std,avg_loss_mean,avg_loss_std,smooth_loss_mean,smooth_loss_std,epsilon_mean,epsilon_std,learning_rate_mean,learning_rate_std,neg_avg_predictive_log_likelihood_mean,neg_avg_predictive_log_likelihood_std,predictive_log_likelihood_best_mean,predictive_log_likelihood_best_std
0,19.638207054138185,0.7510043608423755,12.489839792251587,0.8066359568320651,25.895999999999997,0.4096248283490638,1.108,0.4647929646627625,0.5202026666666667,0.07233179254887392,0.07198193669397154,0.03545545294130519,0.0724507060651802,0.02046747002429999,-17307.833612512495,101.27973639292027,-16599.579498648283,134.8775247386848,-17320.001954802156,101.52653059437756,-16614.11947138256,132.82250786329868,694.7534057617188,40.96156966649524,694.7534057617188,40.96156966649524,694.7534057617188,40.96156966649524,0.0,0.0,0.0001,0.0,17178.598576586686,103.39087212629546,-16363.382804518507,156.75242168340978
1,26.306768083572386,0.8320387569436284,2.4917346954345705,0.8947651650997285,25.995000000000005,0.36123053580781445,1.2149999999999999,0.43593290768190457,0.502848,0.036375925616325536,0.0618441619682179,0.003526626664690836,0.06717838297319619,0.004414916321142707,-17309.783491287577,101.43634143582626,-16578.748156885653,246.04635902605648,-17322.45325592999,101.93954644591838,-16602.981472918298,245.89526781242142,700.6974975585938,57.1916132794222,697.7254516601563,30.550018098580423,695.3477905273437,35.81020013802583,9.000301361083984e-05,0.0,0.0001,0.0,,,,
10,33.5081226348877,1.292439079552175,5.605551385879517,1.1048762320887737,30.840999999999998,3.2901907239550736,7.694,4.3898581981654035,0.6373759999999999,0.06162344604306243,0.13224802788825363,0.04320974219054371,0.12411487716966005,0.040203271542817144,-17547.243613577702,506.4444046814361,-15950.915982504332,388.0718294006762,-17284.198519290323,147.7290784370957,-15955.703680122027,357.89987372217365,653.2321166992188,50.359184509575286,669.444677734375,23.98446236248911,674.6326904296875,29.734677817240485,0.0008999705314636,0.0,0.0001,0.0,,,,
50,44.62929139137268,2.882754295386588,7.428284311294556,0.9468698749908321,57.028000000000006,2.5423035814001436,50.961,3.7624599665644305,0.7961493333333334,0.033150332862414686,0.24678877402981056,0.03853618315618489,0.2625708764601861,0.03503944398776836,-26341.69872540776,2000.577784884637,-16234.81298507199,2259.2431440276428,-17726.50491410323,357.97812713043396,-15490.835342481154,581.0128616667816,603.1429077148438,32.47037152425339,643.436962890625,21.466032176635878,621.2561401367187,27.43244662859725,0.0044999718666076,0.0,0.0001,0.0,,,,
100,56.239765310287474,3.2531357262425034,6.957545185089112,0.39081571923882796,60.269999999999996,5.155512826092086,56.681,4.894185836275529,0.80176,0.03777163662503032,0.27848916016441305,0.040494238834797094,0.2888607525912316,0.03824823392702214,-28296.614304937517,1147.361798286685,-19506.91558562913,3979.3360944159353,-17700.979570041593,459.55031545004994,-15937.229519327835,350.8934437481626,606.2669677734375,91.60206579852974,619.7315307617188,15.04292699546289,586.0943725585937,16.21907480510449,0.0090000033378601,0.0,0.0001,0.0,,,,
500,73.09529061317444,1.349294304682447,7.591568517684936,0.450481144442425,68.562,4.988548887201568,66.875,3.7475708799167506,0.7815573333333333,0.04941501562165982,0.22890924960537307,0.026115065838221197,0.24701949528160236,0.027953610038655347,-27767.619050132093,975.5681238366051,-23709.803459928607,487.8075634490111,-18226.21153639591,441.4488875598201,-16644.947093029445,552.9615773546731,376.39711303710936,44.85145501717313,410.0617370605469,7.705838445008592,379.62098999023436,7.541263088297319,0.0450000166893005,0.0,0.0001,0.0,,,,
1000,87.70517692565917,2.612498916919798,8.652234601974488,1.3164777981220839,71.739,8.073411918142169,71.41499999999999,5.830363410628876,0.7487679999999999,0.056314893707911186,0.21827253818475292,0.07433574137023634,0.23056473963032018,0.06590681212408786,-28053.94196991448,651.9210207138959,-24553.266644069303,496.68239851565676,-18081.517225442618,282.6723295463952,-16850.978226516578,347.61159498188584,435.808349609375,33.33467428439108,305.66978149414064,6.667918926776639,303.4293273925781,9.440566761561268,0.090000033378601,0.0,0.0001,0.0,,,,
2000,107.34478931427002,2.259307288078876,23.11514458656311,1.3809380982231552,81.194,5.494265647017807,78.993,5.151312454122734,0.6386773333333334,0.03173477643777493,0.2144993073656638,0.04642147301662685,0.17164295661847967,0.0253985490674181,-27318.843946353278,465.53221215471257,-24790.45884614578,128.31178461439816,-18338.166885297927,296.8628002933784,-17040.73320298239,536.1571843521657,434.86851196289064,34.06794324275988,245.3986083984375,13.322147854236155,263.03827209472655,12.556318871780647,0.1800000071525573,0.0,0.0001,0.0,14284.567121913049,296.1104492883024,-13682.587477779036,429.1189043953236
3000,141.18121013641357,2.267011704102341,7.057031154632568,0.5367667225354826,86.56800000000001,5.290908003358214,84.364,6.664474285343142,0.620672,0.0605769546206403,0.21591974133829775,0.039415766513321744,0.14774926369157404,0.046219746624138545,-26902.014226665306,986.5399961755285,-24920.02067553173,367.6582431792129,-18871.22359826758,682.6265199798734,-17859.510076798724,883.0445830204951,436.5439147949219,44.31007012438319,223.8919464111328,15.822239205925847,244.17581176757812,18.854748336123592,0.2699999213218689,0.0,0.0001,0.0,,,,
4000,160.11953101158142,1.9786759273181858,23.314530754089354,0.5808855107388821,89.571,4.1631139186911525,88.226,3.856328240697359,0.604832,0.0400330991944305,0.22817193917065043,0.046566518060684334,0.14313989357335705,0.03681807723843415,-26561.39400531008,485.05535447483317,-25314.215505177428,578.8215429099013,-18996.198790438477,597.7675875918844,-18197.893405329174,599.1797185629321,440.25238647460935,32.274961028215024,206.51984252929688,16.68190753906084,227.5014617919922,19.89707961296407,0.3599999547004699,0.0,0.0001,0.0,14358.231642830757,331.5220833491726,-13998.04374137073,434.8591440869355
