iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.40714406967163,8.65837025642395,8.64,1.135,0.5334821428571428,0.11916020671834625,0.13746447028423772,-2957.693904277412,-2561.0983314718146,-2958.429123294538,-2562.330928600785,305.1987609863281,305.1987609863281,305.1987609863281,0.0,0.0001,2930.0973364615807,-2526.813531573265
1,21.521832942962646,2.2020585536956787,8.79,1.51,0.7053571428571428,0.19249690090682736,0.21362610700845994,-2952.003596557229,-2485.078592034703,-2950.638662299601,-2395.214849591078,282.59710693359375,293.89794921875,302.9385681152344,9.000301361083984e-05,0.0001,,
10,29.468304872512817,2.9426567554473877,11.975,7.22,0.5647321428571429,0.12509242196742199,0.14677575302575302,-2844.289309892523,-2356.6397846558903,-2770.9574868228824,-2307.670367858446,296.8013000488281,296.0406494140625,298.96490478515625,0.000899970531463623,0.0001,,
50,33.495147943496704,2.2739791870117188,22.325,25.075,0.5591517857142857,0.13849191524543597,0.16460129782498203,-3052.5147048997587,-2389.2482853167717,-2450.614649356142,-2325.0063325745396,277.0604553222656,276.0428466796875,256.6537780761719,0.004499971866607666,0.0001,,
100,36.07206916809082,2.2093827724456787,23.535,26.515,0.4765625,0.10776991303373239,0.1257860470429985,-3076.4403707558977,-2992.948069690369,-2426.4096632785327,-2393.3277795545146,199.38340759277344,255.7076416015625,222.8552703857422,0.009000003337860107,0.0001,,
500,51.48423981666565,2.244643449783325,23.795,28.0,0.6015625,0.29075463468169066,0.2822901101549825,-3081.2951518492146,-3081.295151849213,-2393.327779554518,-2393.3277795545146,139.33767700195312,150.7466278076172,132.95584106445312,0.04500001668930054,0.0001,,
1000,57.78596043586731,2.2363884449005127,24.195,28.0,0.5591517857142857,0.13899959634116793,0.16699304457512393,-3081.2951518492146,-3081.2951518492137,-2393.327779554517,-2393.327779554513,214.9967041015625,107.7244873046875,113.84130859375,0.09000003337860107,0.0001,,
2000,67.57061052322388,7.692355632781982,24.335,27.88,0.5033482142857143,0.23449013051896783,0.2475940045517902,-3054.852479346635,-2860.2469829217853,-2392.1655107197757,-2365.3520559193507,268.4045104980469,84.9229965209961,98.64276123046875,0.18000000715255737,0.0001,2261.5929277497985,-2254.383495054619
3000,82.52775979042053,2.0832839012145996,19.685,23.075,0.4977678571428571,0.12430160984848485,0.14973958333333331,-2541.2535609503057,-2479.627497234979,-2338.980440986912,-2330.621513785363,332.5894775390625,62.50127410888672,84.81700134277344,0.2699999213218689,0.0001,,
4000,92.33759379386902,6.83591890335083,18.76,21.075,0.5770089285714286,0.24262258681235427,0.22698702041665428,-2482.7475427273034,-2398.347798111492,-2333.5955139865546,-2306.4074881393794,326.8498229980469,36.94780349731445,61.70220947265625,0.35999995470046997,0.0001,2244.5364793013146,-2236.3411219826235
5000,106.68706750869751,2.0553927421569824,19.45,21.745,0.5178571428571428,0.13896126841278442,0.16260503020371442,-2523.7770639775863,-2373.381495719164,-2350.6697853553396,-2297.314306937751,198.406982421875,35.046058654785156,47.96172332763672,0.44999998807907104,0.0001,,
6000,116.40212774276733,6.7453296184539795,16.965,20.41,0.609375,0.2268473673280848,0.19397671042407882,-2466.3258799241808,-2371.8244250994476,-2324.5482422555087,-2307.4462234769358,124.47533416748047,30.270822525024414,37.726402282714844,0.5399999618530273,0.0001,2241.19987370743,-2234.905786230409
