iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.883659601211548,9.115522623062134,8.965,1.77,0.7087053571428572,0.26273674242424244,0.2983191287878788,-2879.559132519503,-2383.0525602808766,-2878.8529158634865,-2370.349756641524,361.5152282714844,361.5152282714844,361.5152282714844,0.0,0.0001,2853.0834108243803,-2322.816492548367
1,22.279497861862183,2.3143606185913086,9.17,2.355,0.7901785714285714,0.3662966292542952,0.37593599033816427,-2862.8388275004127,-2373.704079644889,-2859.711568608805,-2304.1972195490825,380.4708251953125,370.9930419921875,363.4107971191406,9.000301361083984e-05,0.0001,,
10,27.356836795806885,4.678940534591675,14.84,12.07,0.6015625,0.16083361194082807,0.21386664805782454,-2883.7334737893902,-2352.328411490094,-2664.842381823931,-2303.3118156835153,337.445556640625,350.1979064941406,351.9129943847656,0.000899970531463623,0.0001,,
50,34.888996839523315,2.3156867027282715,23.445,27.315,0.6049107142857143,0.17164786112969876,0.22070432662729172,-3052.1518585325957,-2642.8876934722684,-2369.8390080475297,-2338.5966436551817,233.59812927246094,290.5100402832031,253.99948120117188,0.004499971866607666,0.0001,,
100,42.17364692687988,2.265521764755249,23.83,27.865,0.6171875,0.20642555267555265,0.25946504884004884,-3056.721847403086,-2931.1204485890366,-2358.3784587509926,-2355.4908918296333,178.14060974121094,252.46905517578125,194.3601837158203,0.009000003337860107,0.0001,,
500,53.33650279045105,2.2636148929595947,24.01,28.0,0.6462053571428572,0.1564528574280498,0.1769469683306695,-3057.3530102111968,-3057.353010211196,-2355.4908918296387,-2355.490891829634,100.2629165649414,123.85496520996094,105.44206237792969,0.04500001668930054,0.0001,,
1000,59.724838733673096,2.2721822261810303,24.505,28.0,0.5290178571428572,0.11786659658757183,0.14374207756560697,-3057.3530102111968,-3057.3530102111954,-2355.4908918296387,-2355.490891829634,243.45616149902344,96.57034301757812,106.53326416015625,0.09000003337860107,0.0001,,
2000,70.22250270843506,7.703219652175903,23.485,28.0,0.6216517857142857,0.2846574715299687,0.19545775464682785,-3057.3530102111968,-3057.353010211196,-2355.490891829635,-2355.490891829634,264.1583557128906,80.17533111572266,91.83430480957031,0.18000000715255737,0.0001,2227.9242011479873,-2227.924201147986
3000,85.81011605262756,2.242502212524414,22.225,27.73,0.6863839285714286,0.2701676455931775,0.23505244755244759,-3016.6102204581343,-2568.352256877322,-2352.4268684442063,-2312.637472879425,358.95751953125,55.137107849121094,80.98220825195312,0.2699999213218689,0.0001,,
4000,95.93748307228088,7.0455381870269775,19.42,22.58,0.6037946428571428,0.35582182088960107,0.3647857763292108,-2518.108258095663,-2417.301994551977,-2308.0394840792346,-2287.3142819630084,307.1753234863281,36.613685607910156,59.4798469543457,0.35999995470046997,0.0001,2219.4168848775334,-2211.423963855305
5000,110.85326838493347,2.0870935916900635,19.035,23.065,0.6473214285714286,0.1827879861817458,0.2216577529017939,-2524.941225016699,-2403.5623724586007,-2308.7661613098476,-2293.0414653023317,196.33143615722656,35.62228775024414,49.779518127441406,0.44999998807907104,0.0001,,
6000,120.97665476799011,7.132503986358643,18.475,23.255,0.7232142857142857,0.2605068997009786,0.30541718880534674,-2556.564530210081,-2373.9680254553077,-2315.4916675411455,-2278.9684808914612,142.73342895507812,26.76604461669922,35.65628433227539,0.5399999618530273,0.0001,2219.4933992884644,-2209.3440915893802
7000,135.67924880981445,2.1588997840881348,20.575,25.785,0.6785714285714286,0.17334385938612198,0.20777210992456985,-2709.219590085449,-2617.852663062734,-2330.9875968243673,-2324.08153397634,80.65491485595703,22.813690185546875,31.586044311523438,0.6299999952316284,0.0001,,
8000,145.76564121246338,7.42548131942749,21.455,25.74,0.6930803571428571,0.20377323672844183,0.24179375996810207,-2742.305562039943,-2569.086147415339,-2333.6252978675097,-2309.2004877664817,50.31065368652344,19.18396759033203,21.96474838256836,0.7199999094009399,0.0001,2225.5468226725293,-2216.227107671398
9000,160.7863781452179,2.19242787361145,21.895,26.86,0.6953125,0.3003962319458301,0.2102377155008734,-2821.5079916284,-2620.9508902786456,-2347.6659945724177,-2320.0832926092958,40.469017028808594,19.7864933013916,22.553508758544922,0.809999942779541,0.0001,,
10000,170.88728189468384,7.418757915496826,22.92,26.045,0.5658482142857142,0.2521672245453205,0.16057661701044054,-2734.346798641196,-2725.7807568200533,-2338.5677254370794,-2337.9141347004092,39.75379180908203,19.18830108642578,21.284326553344727,0.8999999761581421,0.0001,2221.563285453807,-2221.1831669419944
11000,186.06580758094788,2.1098427772521973,21.695,24.795,0.6116071428571429,0.23218429137143992,0.20033870155487762,-2644.030846472094,-2565.9098266857704,-2330.484993063645,-2323.178899620532,43.54159164428711,20.378005981445312,24.022197723388672,0.8999999761581421,0.0001,,
12000,195.57284784317017,6.8914079666137695,18.265,21.49,0.6875,0.3146614837404311,0.2520234151813099,-2483.495520484237,-2429.9264992821118,-2311.846390149216,-2302.9072123075744,33.2585334777832,17.237394332885742,17.773822784423828,0.8999999761581421,0.0001,2222.519885075984,-2212.327340241934
13000,209.92294073104858,2.044051170349121,18.8,22.015,0.6294642857142857,0.33020168573936953,0.18153718558130325,-2511.709836688784,-2447.9376926598525,-2328.7071264535643,-2313.1722949441355,35.01218795776367,16.41072654724121,17.051502227783203,0.8999999761581421,0.0001,,
14000,220.0437788963318,6.721143484115601,16.52,20.235,0.7354910714285714,0.3116230487190155,0.2994812753036437,-2427.8090754837067,-2370.5251160159996,-2311.1373382508064,-2284.5592344764314,38.703041076660156,14.260259628295898,16.39519500732422,0.8999999761581421,0.0001,2226.186468379266,-2213.51220160201
15000,234.6068856716156,1.9943318367004395,18.475,21.29,0.6305803571428572,0.1525649513980716,0.16940002096252094,-2468.3447014683693,-2391.2494630213923,-2332.9240785172274,-2308.9645757854883,39.36664962768555,14.546249389648438,19.658838272094727,0.8999999761581421,0.0001,,
16000,244.56667375564575,6.873137712478638,16.815,19.7,0.6785714285714286,0.238617683441053,0.1998817155067155,-2429.559478644517,-2349.69979212275,-2307.8360311261536,-2280.236057671601,41.790679931640625,13.93228816986084,18.67007064819336,0.8999999761581421,0.0001,2230.798031361187,-2212.0559823116055
17000,258.94087266921997,1.9431707859039307,16.385,19.15,0.6964285714285714,0.24852430463902253,0.20690852490421455,-2408.1598521110923,-2349.381055284063,-2296.4601431522524,-2276.584055388891,42.61408996582031,14.021860122680664,16.848825454711914,0.8999999761581421,0.0001,,
18000,268.75834584236145,6.494343280792236,16.625,17.78,0.6852678571428571,0.23495154962644882,0.19196225649350648,-2376.3221887792943,-2331.838149410792,-2285.4429907922613,-2276.481342344361,41.65360641479492,12.075949668884277,14.64448356628418,0.8999999761581421,0.0001,2213.7757460652083,-2209.0301947302128
19000,282.9090530872345,1.9186255931854248,15.37,17.24,0.6238839285714286,0.15943091995723574,0.17664462730252203,-2376.715215031578,-2334.896386010989,-2286.804505753339,-2272.8165835932205,42.86725616455078,10.60610294342041,13.349571228027344,0.8999999761581421,0.0001,,
