episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,8.7,7.5,3.0,-2303.249201966438,-2290.8691818601865,-2288.5209326782183,-2280.5729033635143
20,8.65,6.95,3.0,-2304.215839486175,-2290.8691818601865,-2288.1568324663263,-2280.5729033635143
30,8.5,6.766666666666667,3.0,-2302.471912173856,-2290.8691818601865,-2287.3444444226234,-2280.5729033635143
40,8.7,7.75,3.0,-2303.6956410052817,-2290.8691818601865,-2287.6663769264524,-2280.5729033635143
50,8.76,7.88,3.0,-2303.95446542136,-2290.8691818601865,-2288.1903118910477,-2280.5729033635143
60,8.65,7.516666666666667,3.0,-2302.7869360199957,-2290.8691818601865,-2287.563645856392,-2280.5729033635143
70,8.7,7.5285714285714285,3.0,-2303.433113671844,-2290.8691818601865,-2287.9147272406094,-2280.5729033635143
80,8.7625,7.6875,3.0,-2303.614418018584,-2290.8691818601865,-2287.967764092703,-2280.5729033635143
90,8.666666666666666,7.4222222222222225,1.0,-2302.8752584627327,-2290.8691818601865,-2287.6157278148276,-2280.5729033635143
100,8.73,7.67,1.0,-2303.2298084091344,-2290.8691818601865,-2287.6413225955675,-2280.5729033635143
