episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,29.2,22.8,16.0,-13196.430091491939,-12979.90708401045,-13100.784509077479,-12974.243867385982
20,29.25,23.25,16.0,-13188.295819647185,-12979.90708401045,-13093.95611247851,-12974.243867385982
30,29.066666666666666,22.333333333333332,13.0,-13168.547267096172,-12979.90708401045,-13078.416942857142,-12974.243867385982
40,29.175,22.325,13.0,-13168.802582640772,-12979.90708401045,-13073.82603614773,-12974.243867385982
50,29.18,22.34,13.0,-13173.45958787386,-12979.90708401045,-13074.283043630587,-12974.24386738598
60,29.133333333333333,22.133333333333333,13.0,-13176.33675843459,-12979.90708401045,-13077.133891110596,-12974.24386738598
70,29.1,22.214285714285715,13.0,-13172.051689069353,-12979.90708401045,-13075.350329251178,-12948.077206053882
80,29.0875,22.1375,13.0,-13169.176956399451,-12979.90708401045,-13074.246376540825,-12948.077206053882
90,29.033333333333335,21.988888888888887,13.0,-13168.00400285079,-12979.90708401045,-13075.376233349942,-12948.077206053882
100,29.03,21.93,13.0,-13166.640208441991,-12979.90708401045,-13074.05649842929,-12948.077206053882
