iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,18.29879379272461,11.05878758430481,25.54,0.765,0.64368,0.13424641148325359,0.10830143540669857,-17252.8678090101,-16582.896554146675,-17264.89028404171,-16592.01809345711,672.9036254882812,672.9036254882812,672.9036254882812,0.0,0.0001,17131.16307752475,-16363.533270426695
1,25.84122109413147,3.4462902545928955,25.685,0.84,0.46965333333333337,0.05620370370370371,0.061070853462157806,-17250.714082313632,-16500.463371750757,-17262.56263592638,-16515.220276190375,755.17626953125,714.0399169921875,681.130859375,9.000301361083984e-05,0.0001,,
10,31.33210277557373,3.7513644695281982,27.22,2.865,0.5628266666666666,0.07837669066605893,0.0760697606059643,-17201.789106823955,-16283.235573929684,-17214.1292556329,-16319.928699803504,599.6725463867188,671.2864379882812,664.485107421875,0.000899970531463623,0.0001,,
50,41.549479961395264,8.23751163482666,56.775,48.065,0.8006933333333333,0.2131626800545932,0.232270033342458,-24721.271047115857,-14973.494918606882,-17503.143736371938,-15055.266252060808,582.58349609375,637.23095703125,606.11474609375,0.004499971866607666,0.0001,,
100,53.81932091712952,6.869938135147095,57.58,52.79,0.84768,0.3153924398308313,0.3262393178061347,-28761.906864093886,-16436.835832432385,-17226.693023028547,-15620.886118829603,641.4141235351562,618.7969360351562,599.44677734375,0.009000003337860107,0.0001,,
500,70.97194051742554,6.940013408660889,61.44,61.4,0.8232533333333333,0.2490654950696412,0.2712034123768149,-29417.68544897713,-23391.813943743353,-17678.630414983032,-16054.505354439125,311.0400085449219,406.572998046875,381.27069091796875,0.04500001668930054,0.0001,,
1000,84.52787661552429,7.543069839477539,67.205,68.375,0.7605333333333333,0.26402115863951514,0.2711719310775033,-28820.74354134827,-25049.156980575055,-18010.28537870335,-16468.101719121492,460.99737548828125,302.7643737792969,302.6747741699219,0.09000003337860107,0.0001,,
2000,105.40949273109436,24.742111444473267,83.35,82.13,0.5897600000000001,0.16117339507826328,0.13612961566085965,-28036.752171226683,-24856.995816316787,-18446.56318944934,-16101.29314213604,486.4046325683594,232.93716430664062,252.92135620117188,0.18000000715255737,0.0001,13917.701336002085,-13117.27344002723
3000,139.93900227546692,7.323665618896484,90.24,89.21,0.6021866666666666,0.17932014353015746,0.14535180846683032,-26541.132787097315,-25185.624558092375,-18852.367991020976,-17641.662985553052,502.6390380859375,211.05575561523438,232.6462860107422,0.2699999213218689,0.0001,,
4000,158.8080403804779,23.656233310699463,92.26,92.695,0.59008,0.2146610882945032,0.12341696496444383,-27137.284428761795,-26181.768649530375,-19188.964156098868,-18237.45036504821,472.2796936035156,194.7458038330078,217.5543670654297,0.35999995470046997,0.0001,14227.906123854495,-13897.907430140258
