iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,18.079951524734497,11.652785301208496,17.56,0.975,0.5002828054298643,0.1324000688142417,0.14745758455503247,-93701.62162677445,-88108.73958167524,-93706.41409732222,-88108.79337961429,4600.68212890625,4600.68212890625,4600.68212890625,0.0,0.0001,93597.45806882765,-87840.12007268997
1,26.488290071487427,4.17387843132019,17.67,1.225,0.5421380090497738,0.205334872639791,0.17863946905425937,-93515.83963216191,-83430.34287447759,-93520.1159725679,-83403.66000997437,4368.80615234375,4484.744140625,4577.494140625,9.000301361083984e-05,0.0001,,
10,35.092368364334106,6.961708068847656,19.32,6.24,0.7449095022624433,0.5002566018717762,0.49251625771115726,-92745.08360898134,-78631.4485117777,-90967.34929858884,-78564.93398345503,4539.6162109375,4619.1865234375,4598.5654296875,0.000899970531463623,0.0001,,
50,48.14566159248352,12.226974487304688,36.135,41.49,0.5608031674208145,0.15270026909014522,0.16669312125850208,-157260.20191424736,-74759.65857912212,-84120.70772655847,-74274.22867202215,4345.8759765625,4490.70849609375,4415.40185546875,0.004499971866607666,0.0001,,
100,58.87579965591431,9.852458477020264,37.275,44.955,0.5967194570135747,0.20536086548898203,0.22480629270545627,-176726.92900035612,-144576.93459017528,-84918.35033071536,-80320.25392220086,4235.3857421875,4314.8876953125,4060.769775390625,0.009000003337860107,0.0001,,
500,75.7918210029602,10.509027242660522,40.375,48.35,0.6439479638009049,0.24024262772641525,0.2652402351041613,-154258.95647141468,-147612.3899179821,-87632.17200997673,-85350.83323241344,2831.5263671875,3066.88427734375,2859.705078125,0.04500001668930054,0.0001,,
1000,102.60614776611328,8.923249244689941,43.16,48.145,0.46351809954751133,0.13118406781814324,0.14579509593910506,-150674.11288542463,-138992.47337737636,-87189.60401370942,-84824.24424604508,2456.32080078125,2449.7724609375,2316.93212890625,0.09000003337860107,0.0001,,
2000,125.23183703422546,20.483010292053223,41.74,48.04,0.6069004524886877,0.157949068698145,0.17117020619727105,-149631.51000045735,-138249.2683091883,-86969.6427952039,-84638.61695685759,2754.545166015625,2052.263671875,2079.053955078125,0.18000000715255737,0.0001,74859.69473140904,-73484.90847472654
3000,160.3339307308197,8.3828763961792,42.485,48.985,0.4643665158371041,0.11922766708580022,0.1305449279326253,-160462.7703233178,-147868.5512424587,-87888.3397756931,-86005.59449225974,2692.89501953125,1733.3719482421875,1794.5440673828125,0.2699999213218689,0.0001,,
4000,180.40181636810303,18.595644235610962,32.84,42.595,0.716346153846154,0.2470484601741402,0.2643295507014651,-97320.00770324103,-90056.56833236733,-80876.10727541782,-79207.36862339228,2845.84716796875,1557.0208740234375,1682.561767578125,0.35999995470046997,0.0001,72921.88862563558,-72529.39220036338
