episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,18.5,20.1,12.0,-73294.73390441752,-72742.79918258061,-72851.9127372714,-72553.14585308012
20,18.75,21.95,12.0,-73314.83791591316,-72742.79918258061,-72847.3434452199,-72553.14585308012
30,18.9,22.033333333333335,12.0,-73318.1064394443,-72742.79918258061,-72835.39157369305,-72553.14585308012
40,19.0,22.2,9.0,-73334.41761007378,-72742.79918258061,-72838.64391420977,-72553.14585308012
50,18.94,21.9,9.0,-73291.30161678036,-72742.79918258061,-72818.9008258251,-72553.14585308012
60,18.833333333333332,21.333333333333332,9.0,-73261.18743409208,-72742.79918258061,-72804.55360707986,-72553.14585308012
70,18.84285714285714,21.214285714285715,9.0,-73270.9644945863,-72742.79918258061,-72809.83297029292,-72553.14585308012
80,18.875,21.275,9.0,-73271.81623376219,-72742.79918258061,-72809.02490927179,-72553.14585308012
90,18.81111111111111,21.033333333333335,9.0,-73254.16953185904,-72742.79918258061,-72800.13047740316,-72553.14585308012
100,18.72,20.7,9.0,-73224.08267490714,-72742.79918258061,-72785.42075412933,-72553.14585308012
