iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,20.25978374481201,13.478467226028442,17.63,1.2,0.5098981900452488,0.15542938532524797,0.16043127588863587,-92958.1869454651,-86497.51843685446,-92962.84414511455,-86489.83979684598,4216.78955078125,4216.78955078125,4216.78955078125,0.0,0.0001,92847.41143925748,-86262.31868809286
1,27.281922340393066,2.6602413654327393,17.71,1.38,0.47228506787330315,0.14235999586266965,0.14739955558137377,-92841.29950112828,-84518.26909924626,-92846.2014408397,-84503.74415487917,4552.86767578125,4384.82861328125,4250.3974609375,9.000301361083984e-05,0.0001,,
10,36.074803590774536,5.529637336730957,19.81,6.585,0.7372737556561086,0.36169566142875365,0.3697846913374463,-93782.29698304877,-79908.81130030731,-90532.87904618932,-79083.5917811364,4507.759765625,4490.79296875,4415.9736328125,0.000899970531463623,0.0001,,
50,48.00282001495361,11.242510557174683,35.525,38.39,0.6148190045248869,0.16841965468820067,0.18933285773490321,-147267.47887240813,-79487.22214926862,-85534.51317732988,-77975.22074581179,3833.6181640625,4254.64892578125,4149.349609375,0.004499971866607666,0.0001,,
100,58.63076305389404,9.755022048950195,36.65,40.45,0.5746606334841629,0.1551449830401543,0.17598207715301956,-162541.43900524906,-93720.62746795859,-84197.13324743793,-79338.36511188798,3849.765625,4107.39697265625,3864.544677734375,0.009000003337860107,0.0001,,
500,75.44846367835999,10.304981708526611,43.83,47.61,0.4391968325791855,0.11422551434936497,0.12311881845184715,-163616.82271936393,-141647.65708436497,-88101.3020448423,-82964.26760089684,2741.894775390625,3111.534423828125,2962.986083984375,0.04500001668930054,0.0001,,
1000,103.44233202934265,9.187727212905884,44.065,47.99,0.4683257918552036,0.12588129634140238,0.14253034507952106,-150165.2005048622,-138310.62955875424,-88892.8438977554,-85054.3426446277,2569.717529296875,2515.1875,2523.4619140625,0.09000003337860107,0.0001,,
2000,126.28442740440369,20.65724754333496,45.75,47.98,0.3891402714932126,0.10596956907577444,0.1142006682891712,-148878.981903414,-137892.91007694777,-88350.61783129576,-84979.55854935704,2783.980712890625,2096.581298828125,2108.2255859375,0.18000000715255737,0.0001,75452.57535122818,-73604.29611402449
3000,160.8955535888672,7.409592151641846,43.48,48.025,0.5313914027149321,0.13308337915710364,0.14279957056209602,-150229.792052381,-138622.5879298844,-88717.90163563982,-85629.4005364047,2665.7490234375,1857.96240234375,1887.7918701171875,0.2699999213218689,0.0001,,
4000,181.3347988128662,19.76908016204834,42.235,47.37,0.5839932126696832,0.15235265868863596,0.16496329493711764,-141299.4476334065,-106137.78233855846,-86827.75753658918,-82084.50355708825,2861.87646484375,1742.6630859375,1812.706787109375,0.35999995470046997,0.0001,75405.7917303597,-73423.54832674062
