shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
16.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550412,71742.95733550412,1
8.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550412,71742.95733550412,2
6.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550412,71742.95733550412,3
18.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550412,71742.95733550412,4
10.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,5
10.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550412,71742.95733550412,6
8.0,17.0,-72480.0180007091,-72294.7789758304,-71742.9573355041,71742.9573355041,7
16.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550412,71742.95733550412,8
10.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550412,71742.95733550412,9
10.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,10
12.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,11
14.0,17.0,-72480.0180007091,-72294.77897583036,-71742.95733550412,71742.95733550412,12
19.0,18.0,-72641.31080517634,-72372.93716063826,-71744.57322454889,71744.57322454889,13
