episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,18.9,17.7,13.0,-72956.77466939748,-72683.42383603474,-72553.31897390216,-72416.13867175161
20,19.1,19.3,13.0,-73089.0021470295,-72683.42383603472,-72625.57385481628,-72416.13867175161
30,19.2,19.266666666666666,11.0,-73106.41511378683,-72679.98126743133,-72626.75091809373,-72416.13867175161
40,19.125,19.175,11.0,-73077.42274137346,-72679.98126743133,-72608.40456898142,-72416.13867175161
50,19.04,19.28,11.0,-73048.383732019,-72674.70681602156,-72593.82221594387,-72416.13867175161
60,18.95,19.216666666666665,11.0,-73017.55612617084,-72674.70681602156,-72577.87826809482,-72416.13867175161
70,18.928571428571427,19.014285714285716,7.0,-73006.83518889529,-72674.70681602156,-72572.86273215899,-72416.13867175161
80,18.925,18.7,7.0,-73013.00958381567,-72674.70681602156,-72577.51599041275,-72416.13867175161
90,18.88888888888889,18.6,5.0,-72999.64485654276,-72674.70681602156,-72572.33722505828,-72416.13867175161
100,18.92,18.62,5.0,-73021.00734056521,-72525.31790448361,-72582.42051900795,-72344.77840564544
