episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,52.2,93.6,89.0,-12317.904462031565,-12245.63775965608,-11660.234748922405,-11574.834076356294
20,52.15,93.15,89.0,-12344.824664631156,-12175.332263727441,-11669.335740702689,-11512.45598115972
30,51.8,93.2,89.0,-12328.21841641298,-12175.332263727441,-11663.225513502755,-11512.45598115972
40,52.125,93.575,89.0,-12342.85010590266,-12175.332263727441,-11664.041587845171,-11512.45598115972
50,52.3,93.78,89.0,-12343.837902737767,-12175.332263727441,-11662.260863786993,-11512.45598115972
60,52.28333333333333,93.75,89.0,-12345.68802577194,-12175.332263727441,-11664.836946120358,-11512.45598115972
70,52.41428571428571,93.87142857142857,89.0,-12351.528657305384,-12175.332263727441,-11665.565921948517,-11512.45598115972
80,52.4875,93.8625,89.0,-12350.270539666843,-12175.332263727441,-11664.053185931083,-11512.45598115972
90,52.46666666666667,93.91111111111111,89.0,-12346.681521002658,-12175.332263727441,-11663.222722435345,-11512.45598115972
100,52.36,93.86,89.0,-12343.044763007569,-12127.510702692573,-11662.21574708265,-11512.45598115972
110,52.345454545454544,93.81818181818181,89.0,-12344.685575942922,-12127.510702692573,-11661.519647569225,-11512.45598115972
120,52.266666666666666,93.73333333333333,89.0,-12342.756745833654,-12127.510702692573,-11660.077680000717,-11512.45598115972
130,52.276923076923076,93.72307692307692,89.0,-12344.441548160747,-12127.510702692573,-11663.13959362912,-11512.45598115972
140,52.25714285714286,93.75714285714285,89.0,-12345.457212337047,-12127.510702692573,-11665.668335305925,-11512.45598115972
150,52.16,93.65333333333334,89.0,-12340.753351872676,-12127.510702692573,-11662.874679069888,-11512.45598115972
160,52.15,93.6375,89.0,-12339.715894386596,-12127.510702692573,-11662.112782795506,-11512.45598115972
170,52.15294117647059,93.69411764705882,89.0,-12339.197095099094,-12127.510702692573,-11661.057392403509,-11512.45598115972
180,52.21666666666667,93.72777777777777,89.0,-12341.4548995061,-12127.510702692573,-11661.767555767425,-11512.45598115972
190,52.22105263157895,93.73684210526316,89.0,-12341.998468282014,-12127.510702692573,-11661.531417606453,-11512.45598115972
200,52.22,93.78,89.0,-12341.419140508215,-12127.510702692573,-11661.59450073597,-11512.45598115972
210,52.22380952380952,93.77619047619048,89.0,-12339.862109504913,-12127.510702692573,-11659.938520305335,-11512.45598115972
220,52.231818181818184,93.81363636363636,89.0,-12340.431479541929,-12127.510702692573,-11660.352732750966,-11512.45598115972
230,52.2304347826087,93.79565217391304,89.0,-12338.421695272462,-12127.510702692573,-11659.42664437541,-11512.45598115972
240,52.208333333333336,93.83333333333333,89.0,-12335.943437922122,-12127.510702692573,-11658.287378307466,-11512.45598115972
250,52.224,93.848,89.0,-12336.34464343771,-12127.510702692573,-11659.719437436592,-11512.45598115972
260,52.223076923076924,93.86923076923077,89.0,-12335.961811850657,-12127.510702692573,-11659.425631464142,-11512.45598115972
270,52.237037037037034,93.88888888888889,89.0,-12336.090651807814,-12127.510702692573,-11660.001398437691,-11512.45598115972
280,52.246428571428574,93.875,89.0,-12337.55688393405,-12127.510702692573,-11660.958241156171,-11512.45598115972
290,52.265517241379314,93.87931034482759,89.0,-12337.259780745942,-12127.510702692573,-11661.447014849198,-11512.45598115972
300,52.26,93.84666666666666,89.0,-12336.204045990771,-12127.510702692573,-11660.912801391054,-11512.45598115972
310,52.26129032258064,93.85483870967742,89.0,-12336.131586849835,-12127.510702692573,-11660.875414797738,-11512.45598115972
320,52.26875,93.83125,89.0,-12337.550219403398,-12127.510702692573,-11661.482808569686,-11512.45598115972
330,52.263636363636365,93.83939393939394,89.0,-12338.308127279255,-12127.510702692573,-11661.513301054118,-11512.45598115972
340,52.26176470588236,93.81470588235294,89.0,-12338.224086861146,-12127.510702692573,-11661.430240659925,-11512.45598115972
350,52.27428571428572,93.82857142857142,89.0,-12340.195099930019,-12127.510702692573,-11662.035415748915,-11512.45598115972
360,52.27777777777778,93.82777777777778,89.0,-12340.212314699223,-12127.510702692573,-11661.59202042483,-11512.45598115972
370,52.27837837837838,93.82432432432432,89.0,-12340.367409434375,-12127.510702692573,-11661.732100659905,-11512.45598115972
380,52.27368421052632,93.80526315789474,89.0,-12339.977312577395,-12127.510702692573,-11661.971989101017,-11512.45598115972
390,52.253846153846155,93.78205128205128,89.0,-12338.646140368577,-12127.510702692573,-11661.48587086074,-11512.45598115972
400,52.2425,93.7775,89.0,-12337.672851961437,-12127.510702692573,-11660.791336733797,-11512.45598115972
