iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,23.553488731384277,17.7298481464386,46.95,1.04,0.4809967465246968,0.02760069651961544,0.03269370748806707,-21091.660501676615,-20412.57941182317,-21100.007778485855,-20379.50971116225,708.0921630859375,708.0921630859375,708.0921630859375,0.0,0.0001,20874.73669142929,-20060.047277802503
1,34.08511233329773,3.2154321670532227,46.775,0.91,0.5597867166190147,0.06526600302521365,0.04144419701376915,-21095.110475817797,-20596.93571809514,-21103.863835794888,-20597.428299625724,811.6213989257812,759.8568115234375,718.445068359375,4.500150680541992e-05,0.0001,,
10,41.52591300010681,5.32663893699646,48.825,3.14,0.47849091327352195,0.02964515201771859,0.03220424947720322,-21051.785098794844,-19792.924875925284,-21041.558534324555,-19712.178430857653,705.9694213867188,749.6434936523438,734.0628662109375,0.0004500150680541992,0.0001,,
50,56.419398069381714,10.72178864479065,94.715,53.415,0.4153110519570147,0.026723691082991132,0.02856284775804692,-27095.98334365665,-18717.329002319613,-20407.872860416046,-18084.225898295095,672.6929931640625,738.8340454101562,719.5557250976562,0.0022500157356262207,0.0001,,
100,65.09505105018616,7.863209962844849,87.255,46.175,0.47062013211081544,0.0520590968818444,0.05371555974766446,-26718.283642276187,-21119.130784332046,-20365.162650443,-17204.397843915485,744.6394653320312,725.2500610351562,715.8403930664062,0.004499971866607666,0.0001,,
500,79.40100526809692,8.434804916381836,93.945,53.52,0.4357192152223208,0.050741432393424934,0.05266164781287356,-28686.80832707478,-21126.328835480927,-19679.256511836433,-15108.164008623948,549.3450927734375,626.0389404296875,589.3739013671875,0.02249997854232788,0.0001,,
1000,117.25921559333801,18.823739051818848,177.1,146.495,0.4706201321108154,0.051648979084181604,0.048531497414590855,-42488.467011213805,-36904.62336873795,-16848.85124148326,-14727.67203580284,677.1669311523438,489.20562744140625,484.9864196777344,0.04500001668930054,0.0001,,
2000,148.912615776062,44.92899942398071,183.17,152.04,0.5172943573564691,0.057352842661576676,0.05445037371040263,-47023.397269801775,-39477.440542144876,-15589.002306213677,-14248.686531652133,551.7095947265625,304.55316162109375,304.7530822753906,0.09000003337860107,0.0001,12829.803015660313,-12025.83551496966
3000,209.5628571510315,17.361650228500366,190.985,161.23,0.5217309145880574,0.049580017657548506,0.045682189935265315,-42735.78875332955,-35714.31163526634,-16996.158127984396,-15062.210271666241,676.601318359375,220.93557739257812,251.44406127929688,0.13499999046325684,0.0001,,
4000,240.62566256523132,45.15219187736511,183.54,154.495,0.49981103552532125,0.05043061366225687,0.05859447792911458,-45539.57526391316,-39088.97991019747,-15911.588578406312,-14976.24884076115,628.3300170898438,173.05430603027344,210.7355499267578,0.18000000715255737,0.0001,13360.871420983029,-12463.80941942764
5000,302.0838944911957,17.255095720291138,210.44,179.5,0.4668408426172401,0.029779744166199388,0.03134149655485802,-39522.300061987036,-37038.87052267056,-17999.863899914875,-16721.915736257255,653.47216796875,151.52880859375,192.57467651367188,0.2250000238418579,0.0001,,
6000,333.86723160743713,47.855713844299316,205.38,178.855,0.5161112754280456,0.035669289229030066,0.03742198325919997,-41427.16564259413,-39271.46561344572,-17047.42659931742,-15944.62287370992,674.0408935546875,139.50732421875,178.27073669433594,0.2699999213218689,0.0001,13724.050475021586,-13234.017347562312
7000,395.9729962348938,16.438807010650635,205.445,177.66,0.5019389398271386,0.04748712251535463,0.039039785445154546,-40954.10805524005,-38541.37581706605,-17098.42766802365,-16121.202519469338,641.9560546875,137.965576171875,185.6797332763672,0.3149999976158142,0.0001,,
8000,427.74892950057983,48.3000373840332,210.53,183.3,0.5110338821518945,0.059610010298075514,0.042520706411691526,-39963.789843020364,-37971.47912897539,-17750.204798910436,-16279.961070080128,672.2725830078125,132.96981811523438,188.09925842285156,0.35999995470046997,0.0001,14305.915882273692,-13074.723146800206
9000,491.9049847126007,17.61428141593933,213.12,186.585,0.4885635413585724,0.03447582093955111,0.03673831596696671,-40470.029099364605,-37206.74675236876,-17255.654532624994,-16175.794553866353,615.4229736328125,131.93724060058594,173.01202392578125,0.4049999713897705,0.0001,,
