shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
88.0,48.0,-12193.045824678933,-11545.016663631612,-10888.141932899016,10888.141932899016,1
90.0,48.0,-12205.76866793813,-11567.344339297468,-10898.457210544553,10898.457210544553,2
88.0,50.0,-12303.661462142783,-11611.13496565565,-10906.842639253759,10906.842639253759,3
93.0,53.0,-12441.262370210641,-11578.508187993002,-10885.48529837106,10885.48529837106,4
88.0,52.0,-12445.97813046801,-11662.275802074573,-10930.544153550389,10930.544153550389,5
87.0,51.0,-12452.270241336184,-11668.981322000263,-10937.797019678515,10937.797019678515,6
89.0,53.0,-12476.229149723531,-11675.342423016356,-10931.513850774263,10931.513850774263,7
90.0,54.0,-12586.423247595358,-11734.68839887317,-11022.20905738668,11022.20905738668,8
90.0,54.0,-12565.82323273538,-11817.091593621522,-11102.26283391303,11102.26283391303,9
90.0,54.0,-12578.195616391295,-11822.174070645058,-11103.538629368524,11103.538629368524,10
91.0,57.0,-12727.28990431473,-11813.873321838995,-11041.8794609653,11041.8794609653,11
90.0,54.0,-12599.950046892794,-11846.11830055004,-11127.005414466632,11127.005414466632,12
92.0,56.0,-12737.35536338662,-11847.71435443547,-11088.185744338783,11088.185744338783,13
91.0,55.0,-12745.164314191616,-11908.134014756157,-11129.409321037534,11129.409321037534,14
90.0,56.0,-12760.017252670823,-11928.580295152116,-11146.320144313597,11146.320144313597,15
94.0,52.0,-12643.784645780685,-11977.65522182297,-11229.020677800101,11229.020677800101,16
90.0,56.0,-12838.85937134029,-11964.930061864492,-11177.37906600181,11177.37906600181,17
95.0,61.0,-13116.2981883159,-12080.670911782814,-11207.798024962183,11207.798024962183,18
