episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,53.0,97.0,95.0,-12232.604488982495,-12160.215497834508,-11471.799754931259,-11397.753502948817
20,52.05,94.95,86.0,-12206.826956237015,-12045.114755561764,-11479.01522414685,-11397.753502948817
30,51.7,94.63333333333334,86.0,-12205.005011979481,-11979.83539358237,-11480.66947234862,-11379.035975629564
40,51.725,94.725,86.0,-12197.433883533009,-11974.279090225658,-11478.35668478409,-11370.885446863327
50,51.68,94.76,86.0,-12188.488551520477,-11943.460753757996,-11476.332270794077,-11370.885446863327
60,51.78333333333333,94.91666666666667,86.0,-12195.286337871103,-11943.460753757996,-11477.44145146378,-11370.885446863327
70,51.714285714285715,94.88571428571429,86.0,-12191.67580735515,-11943.460753757996,-11475.17907945608,-11370.885446863327
80,51.6,94.825,86.0,-12189.592167093686,-11943.460753757996,-11473.703021283081,-11370.885446863327
90,51.544444444444444,94.7,86.0,-12190.1288641098,-11943.460753757996,-11473.962970591394,-11304.426933653558
100,51.54,94.72,86.0,-12191.387310464057,-11943.460753757996,-11473.796903026872,-11304.426933653558
110,51.54545454545455,94.65454545454546,86.0,-12190.877313062887,-11943.460753757996,-11472.58988353473,-11304.426933653558
120,51.525,94.65833333333333,86.0,-12193.38065453662,-11943.460753757996,-11474.535658900133,-11304.426933653558
130,51.49230769230769,94.6923076923077,86.0,-12191.11465585193,-11943.460753757996,-11474.020877345243,-11304.426933653558
140,51.49285714285714,94.73571428571428,86.0,-12187.507468732209,-11943.460753757996,-11473.277701993828,-11304.426933653558
150,51.57333333333333,94.81333333333333,86.0,-12188.226337341051,-11943.460753757996,-11474.407031342766,-11304.426933653558
160,51.56875,94.80625,86.0,-12187.381606941593,-11943.460753757996,-11475.251538328384,-11304.426933653558
170,51.48823529411764,94.75882352941177,86.0,-12183.030223020998,-11943.460753757996,-11473.360554245048,-11304.426933653558
180,51.49444444444445,94.79444444444445,86.0,-12183.486525045511,-11943.460753757996,-11474.314657542394,-11304.426933653558
190,51.54736842105263,94.84210526315789,86.0,-12183.886732853316,-11943.460753757996,-11473.794411508576,-11304.426933653558
200,51.555,94.895,86.0,-12184.861976364238,-11943.460753757996,-11473.825656100118,-11304.426933653558
210,51.523809523809526,94.88571428571429,86.0,-12184.580455445654,-11943.460753757996,-11472.857447512,-11304.426933653558
220,51.55909090909091,94.89545454545454,86.0,-12186.04575476826,-11943.460753757996,-11472.856366830572,-11304.426933653558
230,51.52173913043478,94.88695652173914,86.0,-12184.697295961234,-11920.631370842757,-11472.10352003032,-11304.426933653558
240,51.49166666666667,94.85833333333333,86.0,-12182.468932007925,-11920.631370842757,-11471.402721049368,-11304.426933653558
250,51.512,94.88,86.0,-12181.774388961867,-11920.631370842757,-11471.808288897171,-11304.426933653558
260,51.47692307692308,94.85384615384615,86.0,-12178.531569989975,-11920.631370842757,-11469.96259284153,-11304.426933653558
270,51.474074074074075,94.85185185185185,86.0,-12179.44810455294,-11920.631370842757,-11470.702080026023,-11304.426933653558
280,51.44285714285714,94.80714285714286,86.0,-12177.436731418058,-11920.631370842757,-11470.620692177561,-11304.426933653558
290,51.45862068965517,94.82413793103449,86.0,-12179.474047952821,-11920.631370842757,-11471.594984303993,-11304.426933653558
300,51.5,94.84666666666666,86.0,-12180.050486059628,-11920.631370842757,-11471.500579134428,-11304.426933653558
310,51.5,94.82903225806452,86.0,-12179.722589057345,-11920.631370842757,-11471.721517658452,-11304.426933653558
320,51.525,94.85625,86.0,-12179.482873458453,-11920.631370842757,-11471.612411506143,-11304.426933653558
330,51.54848484848485,94.88181818181818,86.0,-12179.625028533907,-11920.631370842757,-11471.54499204508,-11304.426933653558
340,51.54705882352941,94.86470588235294,86.0,-12179.847337777841,-11920.631370842757,-11471.636240466645,-11304.426933653558
350,51.534285714285716,94.83142857142857,86.0,-12179.514801658328,-11920.631370842757,-11471.548368745423,-11304.426933653558
360,51.513888888888886,94.80277777777778,86.0,-12178.589683037844,-11920.631370842757,-11470.899962797088,-11304.426933653558
370,51.51891891891892,94.80540540540541,86.0,-12179.49914805359,-11920.631370842757,-11471.262167510999,-11304.426933653558
380,51.52894736842105,94.80263157894737,86.0,-12180.199288800244,-11920.631370842757,-11471.386889034666,-11304.426933653558
390,51.5,94.78717948717949,86.0,-12179.023150406898,-11920.631370842757,-11470.25412621353,-11304.426933653558
400,51.505,94.805,86.0,-12179.049114733316,-11920.631370842757,-11470.271063525386,-11304.426933653558
