iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,20.28794002532959,13.863471984863281,46.5,0.565,0.4931561996779389,0.029723585672057507,0.03323831315638645,-20829.114509890187,-20395.081056820683,-20837.936905372608,-20396.851134498695,707.6312255859375,707.6312255859375,707.6312255859375,0.0,0.0001,20629.193279026713,-20168.341095903394
1,32.34624671936035,4.869831562042236,46.5,0.555,0.4946186203950179,0.030268000879388975,0.0333093238356036,-20836.119412706317,-20440.25433011584,-20844.94569182412,-20446.64945555043,724.65625,716.1437377929688,709.333740234375,4.500150680541992e-05,0.0001,,
10,39.822908878326416,3.318735361099243,47.335,1.435,0.47973150612902166,0.02780986517630138,0.032616696985565345,-20803.77600005019,-19745.791740072593,-20810.446549768923,-19736.070733929093,660.7230224609375,743.9175415039062,730.8523559570312,0.0004500150680541992,0.0001,,
50,54.17352318763733,8.65781545639038,76.98,34.24,0.4397778435045516,0.03183189078067479,0.03732528788303538,-23678.416162791524,-18433.03105245519,-20428.518303440134,-17805.254912842825,676.4177856445312,739.15576171875,729.0314331054688,0.0022500157356262207,0.0001,,
100,63.325401067733765,8.3346848487854,92.32,51.34,0.42952446679154754,0.02912201464693962,0.03119722301045986,-27308.071999199175,-18363.042525177436,-19969.627166607952,-17691.875412486115,778.0231323242188,731.672119140625,704.6400146484375,0.004499971866607666,0.0001,,
500,80.21622943878174,5.183463096618652,65.605,21.48,0.46249465969962866,0.030178507328675712,0.03373717943717143,-24309.945653825318,-20857.712747733396,-20242.138625964722,-15108.282337627355,563.7144775390625,632.3042602539062,591.7197265625,0.02249997854232788,0.0001,,
1000,105.80696272850037,11.772478342056274,126.525,90.955,0.5278106411646785,0.03576114850722214,0.038389354589412616,-43401.78169145467,-20857.712747733396,-16177.088634579253,-13068.95651394417,664.8985595703125,488.81671142578125,484.4715576171875,0.04500001668930054,0.0001,,
2000,135.52027130126953,41.30662822723389,164.77,131.465,0.45860856419862633,0.042520479198830646,0.035671950322181116,-51935.90345769156,-38791.495152296666,-15575.977174416115,-14105.512533073193,742.8875122070312,279.1791687011719,311.0556640625,0.09000003337860107,0.0001,12867.838514962375,-12132.811801220272
3000,193.89913296699524,16.62458896636963,180.19,147.505,0.41247658483683325,0.02704446700214857,0.03067367797313749,-43618.20172036299,-20853.597823817563,-16974.726644478782,-14532.220057157156,745.3402099609375,204.64146423339844,251.5648193359375,0.13499999046325684,0.0001,,
4000,220.3486726284027,32.47239279747009,134.35,98.565,0.46688192185086597,0.03120816776703454,0.03366429161314343,-33940.3286057839,-20853.597823817563,-18019.346311387388,-15329.630252145544,736.500244140625,165.28173828125,212.42138671875,0.18000000715255737,0.0001,16228.827654210916,-12643.363932209153
5000,271.79781198501587,15.488792181015015,179.005,150.34,0.5090785106313056,0.03554909497257308,0.03762495314467729,-40710.75348647407,-20853.597823817563,-16581.756258481146,-14712.86342432261,772.814453125,148.26901245117188,204.37188720703125,0.2250000238418579,0.0001,,
6000,301.76453733444214,43.338457345962524,185.555,158.035,0.48153899240855763,0.034459303439530464,0.0375797327115046,-39656.47337899283,-20853.798097594285,-16855.26289627006,-15647.518855725091,805.6573486328125,140.0059814453125,195.9288330078125,0.2699999213218689,0.0001,13947.779094345657,-12527.748273420326
7000,361.3222391605377,16.441208839416504,206.475,179.275,0.49030530086430707,0.03408201876852544,0.03635576012340683,-39157.58818377746,-36986.75380129155,-17487.25129398803,-16469.70198068,846.6903686523438,133.08035278320312,197.20831298828125,0.3149999976158142,0.0001,,
8000,392.38697719573975,47.81568169593811,210.715,184.31,0.47009431792040485,0.04343859941086102,0.03603413525389534,-39996.494608931665,-37034.78117486908,-17138.213899187533,-15970.756438797267,771.3534545898438,127.94113159179688,179.9158477783203,0.35999995470046997,0.0001,13842.139740115696,-13268.241527214284
9000,456.46164321899414,17.260618925094604,221.09,197.87,0.5010844917677216,0.035557894268282084,0.03844382365960122,-40486.0138375971,-37806.05194728941,-16917.176542622154,-16113.939971775208,728.2295532226562,126.52079010009766,172.53636169433594,0.4049999713897705,0.0001,,
10000,489.46837544441223,50.28202748298645,220.935,195.505,0.5175654802983995,0.034119815886383895,0.03508862698721312,-40725.267803783216,-38333.72144994113,-16640.83402773072,-15841.631980410271,621.3467407226562,126.6696548461914,166.09100341796875,0.44999998807907104,0.0001,13225.329280968168,-12723.784412461111
11000,554.9267840385437,17.77085542678833,223.6,196.965,0.4869943146340661,0.03358203750819773,0.03658801753612175,-40604.059240153,-36210.227766735494,-16316.044120068605,-15173.280869830263,609.0785522460938,124.02120208740234,167.27816772460938,0.4950000047683716,0.0001,,
12000,587.7957928180695,51.36786222457886,228.095,202.915,0.49670544546320944,0.03285015591745298,0.03404416946868223,-39981.985586474075,-37518.45640389659,-16886.41252880149,-16294.145578801432,545.2156372070312,130.94512939453125,162.63531494140625,0.5399999618530273,0.0001,13388.629030791568,-12975.46402024028
13000,654.0597302913666,17.633625030517578,230.7,203.13,0.4270186335403726,0.026841104556155782,0.03096549810580833,-38542.027339220214,-36967.616894957304,-17380.00585441531,-16194.954351426304,406.0647277832031,134.3002471923828,157.84283447265625,0.5849999189376831,0.0001,,
14000,699.9703006744385,52.10329270362854,240.47,212.945,0.4694699135692925,0.029640347341733247,0.031170477123087622,-39935.45342408114,-38441.24626842965,-16691.751879274037,-15851.011254801999,486.60693359375,129.26788330078125,162.91632080078125,0.6299999952316284,0.0001,13471.544014796167,-12880.480019198938
15000,765.8923211097717,16.451566696166992,235.645,209.075,0.43908771237963795,0.03883590646544558,0.03188828942766995,-39806.75459307297,-38464.24928170138,-16835.942519804266,-16229.14923635667,259.6765441894531,125.53157043457031,136.0277557373047,0.6749999523162842,0.0001,,
16000,797.5589506626129,49.80943512916565,236.745,210.865,0.4631108482040159,0.05152776655936398,0.03361120632350878,-38823.183923722645,-35082.201764135505,-17178.99110783362,-16305.797002247757,293.9195556640625,120.06028747558594,135.32948303222656,0.7199999094009399,0.0001,13794.691139619556,-13318.040610863174
17000,864.090850353241,17.1376793384552,232.6,207.885,0.4680732196260146,0.041479085150535534,0.033659178539947474,-37902.924306907895,-25792.49657597408,-16532.273249948466,-15678.550505000007,254.0623321533203,121.17325592041016,140.14488220214844,0.7649999260902405,0.0001,,
18000,895.3078684806824,48.07911419868469,221.875,197.91,0.47564823030661535,0.04138145853466381,0.033107196361210275,-33146.079037924144,-21746.13055679713,-15793.397431538666,-14950.365212596804,184.5120086669922,118.54216766357422,119.5823974609375,0.809999942779541,0.0001,12879.377052082522,-12576.856802348124
19000,957.1591157913208,14.141905546188354,200.49,173.9,0.49409280620460744,0.03289260107504497,0.03424251672166495,-25222.916062060056,-19547.968787272635,-15967.18825257366,-15018.401539508677,149.996337890625,105.94615173339844,111.27513122558594,0.8549999594688416,0.0001,,
20000,987.4298212528229,46.14513373374939,212.025,184.59,0.4876680140655296,0.04170216560254984,0.0321928534298273,-25615.947155102254,-21980.29832396575,-16013.86289896648,-15503.5830358519,155.3076934814453,104.92161560058594,109.25446319580078,0.8999999761581421,0.0001,13490.712358517589,-13073.69708303851
21000,1048.0025317668915,13.733161211013794,196.145,169.64,0.48842387196424464,0.054363778194504685,0.03566542564113258,-22387.215052918287,-19055.69471621701,-15898.45387900219,-15177.745102334573,148.47950744628906,97.64601135253906,99.13973999023438,0.8999999761581421,0.0001,,
22000,1076.3865857124329,42.74874305725098,188.6,163.41,0.522766111275428,0.08097198246208259,0.0404515454332328,-22470.1353890748,-20187.011871811497,-16002.331680258703,-15459.09578884026,130.0396728515625,95.44779205322266,107.00505065917969,0.8999999761581421,0.0001,13730.587685352397,-13421.169037097916
23000,1134.6597003936768,13.21410059928894,189.27,166.99,0.5159387426468173,0.05908355479223437,0.0386687974277015,-20998.993359345564,-19653.642983063935,-15432.031999579905,-14950.227206550018,109.84539031982422,83.94807434082031,80.76727294921875,0.8999999761581421,0.0001,,
24000,1163.261441230774,43.43900108337402,194.23,168.875,0.47610010187649937,0.0739705500863306,0.03577261488106885,-21888.6137794891,-20196.395690638597,-15495.91679056643,-14774.35206264229,115.22968292236328,93.4612808227539,94.61582946777344,0.8999999761581421,0.0001,13217.144512675852,-12643.500459601895
25000,1221.062218427658,12.50655460357666,182.305,157.67,0.4886210522856485,0.05382831809664325,0.03507408100183869,-19635.592639227776,-18693.66938013252,-15051.766521445075,-14485.39911156226,117.02045440673828,82.20710754394531,91.73500061035156,0.8999999761581421,0.0001,,
26000,1247.9368348121643,39.83693981170654,176.665,149.735,0.5185678135988695,0.10134213302579939,0.0383655993480898,-18592.68970061182,-18054.04549371781,-14934.09471432867,-14674.556280628738,100.58563995361328,78.94029235839844,98.1830062866211,0.8999999761581421,0.0001,13030.09417514474,-12799.710168421127
27000,1301.8521990776062,11.812000751495361,176.22,150.225,0.5038121528804759,0.09841307050257764,0.03740971024215705,-18333.066410693966,-17876.77995351704,-14795.821860723408,-14456.993299744616,116.63154602050781,78.25968933105469,86.60870361328125,0.8999999761581421,0.0001,,
28000,1328.1108920574188,39.41066098213196,169.79,144.9,0.5101383548588517,0.09950805404915314,0.037331132289099025,-17654.13759514046,-17311.242672526903,-14653.908708274525,-14463.46197870357,96.77012634277344,76.49591827392578,81.168212890625,0.8999999761581421,0.0001,12949.379681664863,-12795.485621405694
