shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
3.0,7.0,-2314.823307264869,-2305.59075057018,-2263.3538245062887,2263.3538245062887,1
3.0,7.0,-2314.823307264869,-2305.5907505701807,-2263.353824506288,2263.353824506288,2
1.0,7.0,-2314.8233072648695,-2305.59075057018,-2263.3538245062887,2263.3538245062887,3
6.0,8.0,-2317.995413346987,-2307.011939945631,-2265.306871625747,2265.306871625747,4
6.0,8.0,-2319.2917060246596,-2308.6550015974804,-2266.2967421889325,2266.2967421889325,5
6.0,8.0,-2321.3132496655153,-2311.2875638213227,-2263.153139750859,2263.153139750859,6
8.0,8.0,-2321.3132496655153,-2311.287563821322,-2263.153139750859,2263.153139750859,7
8.0,8.0,-2322.3899864685395,-2312.2669625313347,-2264.3829247068684,2264.3829247068684,8
11.0,9.0,-2325.119759606106,-2313.7164103853634,-2265.263684769769,2265.263684769769,9
8.0,8.0,-2326.2708259121364,-2316.1720449110508,-2269.195956248123,2269.195956248123,10
