iteration,training_time_seconds_mean,training_time_seconds_std,history_eval_time_seconds_mean,history_eval_time_seconds_std,expected_shd_mean,expected_shd_std,expected_edges_mean,expected_edges_std,roc_auc_mean,roc_auc_std,prc_auc_mean,prc_auc_std,ave_prec_mean,ave_prec_std,bic_mean_mean,bic_mean_std,bic_max_mean,bic_max_std,bdeu_mean_mean,bdeu_mean_std,bdeu_max_mean,bdeu_max_std,loss_mean,loss_std,avg_loss_mean,avg_loss_std,smooth_loss_mean,smooth_loss_std,epsilon_mean,epsilon_std,learning_rate_mean,learning_rate_std,neg_avg_predictive_log_likelihood_mean,neg_avg_predictive_log_likelihood_std,predictive_log_likelihood_best_mean,predictive_log_likelihood_best_std
0,17.14359049797058,0.9727572026129825,8.183121252059937,0.9870912076163605,8.620000000000001,0.24515301344262505,1.09,0.45884365529012167,0.5879464285714286,0.15237420385040043,0.16756770187549708,0.07471410604869123,0.1945001115409649,0.07642753155766153,-2907.595839254735,43.70520063893797,-2529.0560806276785,94.58653963446831,-2908.0591040804366,43.78426083437787,-2522.081704370004,96.17127639997278,353.45607299804686,29.73367768474702,353.45607299804686,29.73367768474702,353.45607299804686,29.73367768474702,0.0,0.0,0.0001,0.0,2881.8632895505934,42.119985465519356,-2483.5827617268365,102.30132210085141
1,20.749654150009157,0.886135359416103,1.6974822521209716,0.7939769520272978,8.716,0.2929675749976437,1.3649999999999998,0.6177782773778955,0.6674107142857143,0.11081189893307065,0.25873885327559354,0.137328707822069,0.26933425117981385,0.10950853672980013,-2899.6008932244604,43.07189002411684,-2471.999058720202,70.93710546601774,-2899.3353463113817,43.677569413332996,-2452.204998940805,96.18146796135875,359.24024658203126,26.73086977417212,356.34816284179686,27.373472786613547,354.03448486328125,29.13989111310825,9.000301361083984e-05,0.0,0.0001,0.0,,,,
10,26.91176781654358,2.0044294029882352,3.8506610870361326,0.9916845846765849,12.147,1.9152467203992283,7.840000000000001,3.0990825255226753,0.6671875,0.04611414824505976,0.24453637563542857,0.12499532089586254,0.26967322778812364,0.0972289428945931,-2835.696503673001,37.01789801873745,-2351.3017242742835,27.665516369475522,-2731.7221733116585,43.38829873949027,-2307.121309453477,12.392523368604516,312.94249267578124,30.45868334054711,339.6407836914062,22.86789500810523,341.3853332519531,23.888650519876727,0.0008999705314636,0.0,0.0001,0.0,,,,
50,33.97953386306763,0.5916302963996187,2.5535916805267336,0.6350142272991411,21.895000000000003,1.4430349961106275,25.479,1.7926216834569424,0.6524553571428573,0.07282569185043763,0.24342785366933675,0.09697738480596618,0.27962323791012855,0.08730746869192345,-3047.393963358576,21.94906279423242,-2412.375207609758,136.07635972588008,-2427.1768910407036,50.1059515750834,-2314.0190754226755,25.837094554055916,241.90025939941407,33.86587163304286,286.4473571777344,14.940178408863783,251.48874206542968,11.210905638439325,0.0044999718666076,0.0,0.0001,0.0,,,,
100,41.406519651412964,3.442806742474429,2.3007386684417725,0.07303441986968397,23.092000000000002,0.6178450452985765,27.18,0.5907093193779828,0.6604910714285713,0.08925571482625305,0.2270754188590451,0.092311895755707,0.26089149267889067,0.09468549673110584,-3075.888299576637,15.701939673113495,-2841.5225936601814,256.06121401533505,-2402.431785794972,35.14721727938096,-2371.8841255335274,37.426062561424914,190.23785400390625,9.717003570633365,250.7777099609375,9.622748935094931,198.82588806152344,4.3695053744483605,0.0090000033378601,0.0,0.0001,0.0,,,,
500,52.44238715171814,0.5492105673672792,2.279689407348633,0.02932908357354196,23.619,0.700012499888395,28.0,0.0,0.6417410714285715,0.08145027808267384,0.19876518405568144,0.0774540040007072,0.22117604555056108,0.08512676386903635,-3080.729444374226,18.172756655479702,-3080.7294443742257,18.172756655479997,-2385.8724493134678,24.248793286977318,-2385.872449313463,24.248793286977246,107.38701629638672,7.4562108512888585,131.0467071533203,6.370983140424621,119.31597747802735,8.627382116869269,0.0450000166893005,0.0,0.0001,0.0,,,,
1000,58.83122315406799,0.5935340136217262,2.253747749328613,0.01652955850326495,24.053,0.30217130902850375,28.0,0.0,0.5700892857142856,0.0303952786984362,0.1761818700628741,0.04082629759733936,0.16849720175800592,0.01640023658232085,-3080.7294443742267,18.172756655479684,-3080.7294443742257,18.172756655480175,-2385.8724493134673,24.248793286977016,-2385.872449313463,24.24879328697678,220.56637268066407,15.916387017623185,101.52106628417968,2.9882256517037677,110.34467010498047,5.589287729752919,0.090000033378601,0.0,0.0001,0.0,,,,
2000,69.06982803344727,0.6931089540341709,7.705121231079102,0.05648726790021956,22.987,0.5067124431075283,27.799,0.2708412819346416,0.634375,0.0530315993172746,0.29515554972527963,0.046644794385314686,0.20109931669256928,0.019807070825074526,-3046.8340786315703,52.391479607862784,-2848.9056659515886,239.03996011809366,-2384.13537102897,24.655640815077174,-2368.1626145766336,34.02909231167401,273.2388214111328,21.152416679001444,81.64444427490234,1.266504740895372,96.75020294189453,2.992036411802543,0.1800000071525573,0.0,0.0001,0.0,2249.664149365683,28.459165407488953,-2245.8371709600005,29.92405234278048
3000,84.24705934524536,0.8838302311413936,2.1458242416381834,0.09645406691131306,20.098,1.9471087540247984,24.641,2.765674420462395,0.6917410714285714,0.06394514668151056,0.3129017984754424,0.04831503253480784,0.2860895080214839,0.05803120592027418,-2714.9100251101036,215.53963633556978,-2502.552248215145,80.49314601951338,-2354.0458517163047,25.6123917087452,-2324.2953836777474,20.1895620061643,335.56025390625,29.657477747916364,60.90214309692383,4.016741919819699,82.95549163818359,5.315256065183437,0.2699999213218689,0.0,0.0001,0.0,,,,
4000,94.23522734642029,0.9680130954396232,7.141043043136596,0.2561358621064403,19.2,1.6638509548634466,23.410000000000004,1.9593270528423778,0.7174107142857143,0.07454488294111196,0.36549308485832305,0.09041144307177382,0.3609652952833691,0.09450259036721308,-2594.647194606839,132.17745355090457,-2434.5043699517796,17.39489393934642,-2346.46260064122,27.629244723582577,-2315.3750145238614,21.126327643564583,308.8634399414062,19.552885212338833,38.79970169067383,2.3862872086587714,62.111865234375,3.0784326113390255,0.3599999547004699,0.0,0.0001,0.0,2239.9783787070314,24.407716171388824,-2231.9463440400746,22.24138477711253
