iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.1436 ± 0.9728,8.1831 ± 0.9871,8.6200 ± 0.2452,1.0900 ± 0.4588,0.5879 ± 0.1524,0.1676 ± 0.0747,0.1945 ± 0.0764,-2907.5958 ± 43.7052,-2529.0561 ± 94.5865,-2908.0591 ± 43.7843,-2522.0817 ± 96.1713,353.4561 ± 29.7337,353.4561 ± 29.7337,353.4561 ± 29.7337,0.0000 ± 0.0000,0.0001 ± 0.0000,2881.8633 ± 42.1200,-2483.5828 ± 102.3013
1,20.7497 ± 0.8861,1.6975 ± 0.7940,8.7160 ± 0.2930,1.3650 ± 0.6178,0.6674 ± 0.1108,0.2587 ± 0.1373,0.2693 ± 0.1095,-2899.6009 ± 43.0719,-2471.9991 ± 70.9371,-2899.3353 ± 43.6776,-2452.2050 ± 96.1815,359.2402 ± 26.7309,356.3482 ± 27.3735,354.0345 ± 29.1399,0.0001 ± 0.0000,0.0001 ± 0.0000,,
10,26.9118 ± 2.0044,3.8507 ± 0.9917,12.1470 ± 1.9152,7.8400 ± 3.0991,0.6672 ± 0.0461,0.2445 ± 0.1250,0.2697 ± 0.0972,-2835.6965 ± 37.0179,-2351.3017 ± 27.6655,-2731.7222 ± 43.3883,-2307.1213 ± 12.3925,312.9425 ± 30.4587,339.6408 ± 22.8679,341.3853 ± 23.8887,0.0009 ± 0.0000,0.0001 ± 0.0000,,
50,33.9795 ± 0.5916,2.5536 ± 0.6350,21.8950 ± 1.4430,25.4790 ± 1.7926,0.6525 ± 0.0728,0.2434 ± 0.0970,0.2796 ± 0.0873,-3047.3940 ± 21.9491,-2412.3752 ± 136.0764,-2427.1769 ± 50.1060,-2314.0191 ± 25.8371,241.9003 ± 33.8659,286.4474 ± 14.9402,251.4887 ± 11.2109,0.0045 ± 0.0000,0.0001 ± 0.0000,,
100,41.4065 ± 3.4428,2.3007 ± 0.0730,23.0920 ± 0.6178,27.1800 ± 0.5907,0.6605 ± 0.0893,0.2271 ± 0.0923,0.2609 ± 0.0947,-3075.8883 ± 15.7019,-2841.5226 ± 256.0612,-2402.4318 ± 35.1472,-2371.8841 ± 37.4261,190.2379 ± 9.7170,250.7777 ± 9.6227,198.8259 ± 4.3695,0.0090 ± 0.0000,0.0001 ± 0.0000,,
500,52.4424 ± 0.5492,2.2797 ± 0.0293,23.6190 ± 0.7000,28.0000 ± 0.0000,0.6417 ± 0.0815,0.1988 ± 0.0775,0.2212 ± 0.0851,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,107.3870 ± 7.4562,131.0467 ± 6.3710,119.3160 ± 8.6274,0.0450 ± 0.0000,0.0001 ± 0.0000,,
1000,58.8312 ± 0.5935,2.2537 ± 0.0165,24.0530 ± 0.3022,28.0000 ± 0.0000,0.5701 ± 0.0304,0.1762 ± 0.0408,0.1685 ± 0.0164,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,220.5664 ± 15.9164,101.5211 ± 2.9882,110.3447 ± 5.5893,0.0900 ± 0.0000,0.0001 ± 0.0000,,
2000,69.0698 ± 0.6931,7.7051 ± 0.0565,22.9870 ± 0.5067,27.7990 ± 0.2708,0.6344 ± 0.0530,0.2952 ± 0.0466,0.2011 ± 0.0198,-3046.8341 ± 52.3915,-2848.9057 ± 239.0400,-2384.1354 ± 24.6556,-2368.1626 ± 34.0291,273.2388 ± 21.1524,81.6444 ± 1.2665,96.7502 ± 2.9920,0.1800 ± 0.0000,0.0001 ± 0.0000,2249.6641 ± 28.4592,-2245.8372 ± 29.9241
3000,84.2471 ± 0.8838,2.1458 ± 0.0965,20.0980 ± 1.9471,24.6410 ± 2.7657,0.6917 ± 0.0639,0.3129 ± 0.0483,0.2861 ± 0.0580,-2714.9100 ± 215.5396,-2502.5522 ± 80.4931,-2354.0459 ± 25.6124,-2324.2954 ± 20.1896,335.5603 ± 29.6575,60.9021 ± 4.0167,82.9555 ± 5.3153,0.2700 ± 0.0000,0.0001 ± 0.0000,,
4000,94.2352 ± 0.9680,7.1410 ± 0.2561,19.2000 ± 1.6639,23.4100 ± 1.9593,0.7174 ± 0.0745,0.3655 ± 0.0904,0.3610 ± 0.0945,-2594.6472 ± 132.1775,-2434.5044 ± 17.3949,-2346.4626 ± 27.6292,-2315.3750 ± 21.1263,308.8634 ± 19.5529,38.7997 ± 2.3863,62.1119 ± 3.0784,0.3600 ± 0.0000,0.0001 ± 0.0000,2239.9784 ± 24.4077,-2231.9463 ± 22.2414
5000,108.9733 ± 1.0819,2.0534 ± 0.0272,18.8180 ± 0.8271,22.1420 ± 0.8606,0.6281 ± 0.0995,0.2273 ± 0.1086,0.2463 ± 0.0944,-2510.7198 ± 23.3440,-2424.8290 ± 21.4176,-2332.1578 ± 24.9592,-2312.7801 ± 19.7622,217.2393 ± 14.0186,35.4534 ± 0.8469,51.4895 ± 1.4881,0.4500 ± 0.0000,0.0001 ± 0.0000,,
6000,119.0230 ± 1.1208,7.1020 ± 0.3114,19.0730 ± 1.3966,23.1650 ± 2.4065,0.7025 ± 0.0807,0.2886 ± 0.1948,0.3246 ± 0.1839,-2598.7763 ± 180.0705,-2429.5010 ± 65.3734,-2347.3659 ± 26.0304,-2313.4875 ± 26.5954,133.8669 ± 11.4053,29.1025 ± 1.5632,38.0529 ± 2.7044,0.5400 ± 0.0000,0.0001 ± 0.0000,2241.5102 ± 27.6613,-2233.4071 ± 24.8741
7000,133.6826 ± 1.1819,2.0964 ± 0.0722,19.2230 ± 2.1772,23.5750 ± 2.3245,0.6714 ± 0.0290,0.2177 ± 0.0477,0.2113 ± 0.0370,-2622.8561 ± 131.0354,-2518.7387 ± 161.0605,-2347.6562 ± 23.4191,-2331.4026 ± 28.1347,85.8234 ± 7.6630,22.0019 ± 0.9929,28.1105 ± 2.1389,0.6300 ± 0.0000,0.0001 ± 0.0000,,
8000,143.7176 ± 1.2839,7.2728 ± 0.2694,21.3240 ± 1.4197,24.3800 ± 1.8075,0.6183 ± 0.0788,0.2855 ± 0.0625,0.1868 ± 0.0363,-2693.6706 ± 166.8678,-2603.0372 ± 182.6208,-2360.1880 ± 21.4995,-2345.6243 ± 28.4227,46.8238 ± 5.5970,19.4402 ± 0.1930,22.1189 ± 1.0142,0.7200 ± 0.0000,0.0001 ± 0.0000,2245.9002 ± 28.1106,-2240.9782 ± 26.9720
9000,158.6034 ± 1.4781,2.1104 ± 0.0555,20.6910 ± 0.9076,23.8440 ± 1.9911,0.6509 ± 0.1013,0.3016 ± 0.0679,0.2029 ± 0.0555,-2611.8244 ± 133.4043,-2529.1206 ± 96.0400,-2356.4759 ± 20.9578,-2341.5210 ± 28.1043,41.6166 ± 2.7853,19.4950 ± 0.5142,22.2807 ± 1.7991,0.8100 ± 0.0000,0.0001 ± 0.0000,,
10000,168.6544 ± 1.4938,7.0907 ± 0.1959,19.9970 ± 1.6941,23.2480 ± 1.6342,0.6319 ± 0.0995,0.3582 ± 0.1133,0.2024 ± 0.0444,-2569.7246 ± 92.1678,-2540.2321 ± 105.5553,-2350.5054 ± 20.1483,-2342.0120 ± 14.1747,38.6424 ± 3.6897,19.1328 ± 0.8291,20.4762 ± 0.7704,0.9000 ± 0.0000,0.0001 ± 0.0000,2243.0208 ± 27.8256,-2240.2703 ± 24.0722
