iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,16.997138500213623,8.387813329696655,8.415,0.6,0.359375,0.08662280701754385,0.10784313725490197,-2918.4579105478174,-2617.4689231663565,-2919.645757940536,-2614.4286256702935,324.1517639160156,324.1517639160156,324.1517639160156,0.0,0.0001,2894.496140541278,-2585.5642304468815
1,19.547605991363525,0.7638723850250244,8.505,0.8,0.4508928571428571,0.10023065476190476,0.1286235119047619,-2909.780815781438,-2548.1472219214943,-2910.7136357663667,-2548.9340547458382,329.141845703125,326.64678955078125,324.6507568359375,9.000301361083984e-05,0.0001,,
10,30.504104614257812,4.4702370166778564,12.85,9.095,0.6953125,0.3068978282441771,0.3243687727080222,-2842.5794359199795,-2327.204182822721,-2712.7242773519724,-2292.67995223155,286.6896057128906,319.765869140625,317.0113525390625,0.000899970531463623,0.0001,,
50,33.10858345031738,2.217561960220337,22.835,26.445,0.5848214285714286,0.2787983397441815,0.2977552633523807,-3058.909639615506,-2379.783420125046,-2401.2972427527893,-2329.492257110947,264.84674072265625,295.6733703613281,272.1759948730469,0.004499971866607666,0.0001,,
100,35.66820049285889,2.2307677268981934,23.105,27.055,0.640625,0.36844386158397474,0.384657326287489,-3067.312485315164,-2933.858458443487,-2390.3995705732973,-2370.6202268847264,229.38381958007812,268.97265625,230.66549682617188,0.009000003337860107,0.0001,,
500,51.21521019935608,2.220515012741089,24.145,28.0,0.5591517857142857,0.2598703287860847,0.2762470966257783,-3072.1527868079193,-3072.1527868079183,-2370.620226884731,-2370.6202268847273,133.9433135986328,146.51007080078125,137.20913696289062,0.04500001668930054,0.0001,,
1000,57.424445152282715,2.2498605251312256,23.295,28.0,0.6261160714285714,0.22910488177757912,0.19814690974230448,-3072.1527868079183,-3072.1527868079183,-2370.620226884732,-2370.620226884729,194.75930786132812,107.9984130859375,108.0887451171875,0.09000003337860107,0.0001,,
2000,67.24880194664001,6.98091197013855,19.045,22.845,0.5993303571428572,0.21506521958319086,0.17789057773744707,-2531.3065175131574,-2441.4764577314854,-2328.0087908948253,-2310.5755874116235,281.8100891113281,81.28175354003906,99.55345916748047,0.18000000715255737,0.0001,2210.6391380551568,-2209.658396213814
3000,81.72170376777649,2.2323386669158936,23.76,27.55,0.5256696428571429,0.19156961270731687,0.14617153679653677,-2977.6897123456456,-2740.5805334167762,-2368.697808089391,-2355.2237864586305,344.954345703125,56.42259979248047,80.62165832519531,0.2699999213218689,0.0001,,
4000,91.05475068092346,6.761240243911743,17.095,21.38,0.6930803571428572,0.24976771964302646,0.21960227272727273,-2459.0518801871413,-2414.930800662619,-2316.409417308863,-2307.1399412579863,278.214599609375,38.718421936035156,59.29620361328125,0.35999995470046997,0.0001,2213.697209089893,-2210.209501175306
5000,105.09689927101135,2.0041017532348633,18.16,22.395,0.6305803571428572,0.16225765543526874,0.1836631274131274,-2506.5770327752894,-2386.8364842154365,-2327.7485832309594,-2307.181645701636,200.42697143554688,37.24040222167969,49.45893478393555,0.44999998807907104,0.0001,,
6000,114.51766967773438,6.520833492279053,16.185,19.505,0.6439732142857143,0.16990132114202477,0.2061695816630027,-2415.5834787579406,-2372.5162245399697,-2311.6409995738372,-2297.5963594967725,145.0739288330078,29.090700149536133,38.9467887878418,0.5399999618530273,0.0001,2213.8697971097736,-2210.3063879925244
7000,128.47867822647095,2.206254720687866,23.69,27.65,0.5602678571428572,0.19815129708052978,0.15668301791013461,-3009.8829239004244,-2741.358705732394,-2367.5285667394696,-2351.2893065082835,76.44192504882812,21.688549041748047,25.755138397216797,0.6299999952316284,0.0001,,
8000,137.9537901878357,7.106065511703491,21.105,24.075,0.5982142857142857,0.2776785290088309,0.18404781170841542,-2583.093524382504,-2575.102064288602,-2348.244579189003,-2347.684306879529,46.68212127685547,19.374732971191406,21.3150634765625,0.7199999094009399,0.0001,2216.801752496563,-2216.743619012801
9000,152.26613354682922,2.062127113342285,20.915,23.86,0.6060267857142857,0.32740748834498834,0.17716346153846155,-2602.841123661394,-2521.529952570231,-2348.884469308036,-2337.7821807777973,46.42357635498047,17.055986404418945,19.988292694091797,0.809999942779541,0.0001,,
10000,161.84688305854797,6.844012022018433,18.745,22.195,0.6573660714285715,0.41014384920634916,0.22445436507936506,-2559.454755890701,-2416.6976593554173,-2341.464074822164,-2325.112479393251,45.030765533447266,18.71942138671875,22.69493293762207,0.8999999761581421,0.0001,2221.166018560901,-2217.829079185938
11000,176.02762031555176,1.9574549198150635,17.545,20.375,0.6450892857142858,0.38657826203782086,0.28397817460317454,-2478.108929867384,-2412.6696262587666,-2333.5210895338787,-2308.4574120705665,39.5877685546875,16.87040901184082,18.80756187438965,0.8999999761581421,0.0001,,
12000,185.25968146324158,6.644675254821777,18.095,20.225,0.6361607142857143,0.46043526785714284,0.3521205357142857,-2447.2393472505164,-2404.312166568665,-2327.5472587000572,-2316.211995319036,36.7392463684082,17.759550094604492,18.61872100830078,0.8999999761581421,0.0001,2218.332113724979,-2213.5758080289534
13000,199.13996148109436,1.9277381896972656,17.31,19.425,0.6305803571428572,0.41942500790638837,0.26703629032258064,-2423.641000596372,-2373.5014056587515,-2314.714603759449,-2304.805128915401,42.64963912963867,16.21662139892578,17.434608459472656,0.8999999761581421,0.0001,,
14000,208.44327211380005,6.421507120132446,16.115,18.87,0.6674107142857142,0.41888607979664017,0.23978365384615385,-2403.7329899577408,-2381.7197616360627,-2311.7846241589928,-2301.6349762548807,43.2883415222168,15.398316383361816,17.287294387817383,0.8999999761581421,0.0001,2219.466109949453,-2217.076282278006
15000,222.18160104751587,1.8551340103149414,15.94,17.975,0.6484375,0.43413045101553166,0.28925851254480284,-2387.3776454921463,-2352.2211712470967,-2307.0605221865762,-2288.8184584642586,41.20703125,15.361618041992188,18.860708236694336,0.8999999761581421,0.0001,,
16000,231.44917941093445,7.191132068634033,17.775,20.61,0.59375,0.38716133004926107,0.20535714285714285,-2440.668007384487,-2361.5063713951054,-2325.4945929387773,-2310.2801072812717,41.607383728027344,13.896207809448242,17.69695281982422,0.8999999761581421,0.0001,2217.320921798629,-2216.290493266544
17000,245.79941725730896,1.882777452468872,16.015,18.875,0.6618303571428571,0.41136886211614476,0.22789506688963213,-2402.1639352062157,-2377.0572035766754,-2314.316321090778,-2311.462995621017,44.557655334472656,11.601069450378418,13.69604206085205,0.8999999761581421,0.0001,,
18000,255.0799367427826,6.483507394790649,16.08,18.915,0.6685267857142858,0.4408449074074074,0.29224537037037035,-2399.224695491959,-2367.028839782767,-2318.7651540283578,-2309.7821444625815,44.15700912475586,11.250289916992188,12.800069808959961,0.8999999761581421,0.0001,2220.4162502945637,-2216.6849035299224
19000,268.9142162799835,1.9642970561981201,17.41,20.14,0.6696428571428572,0.38813114669969506,0.28201804915514594,-2427.546879430998,-2382.7168413343443,-2326.2585795791233,-2309.3597351222616,45.723670959472656,11.263195991516113,12.952816009521484,0.8999999761581421,0.0001,,
