episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,7.8,5.2,3.0,-2320.32894330414,-2314.823307264869,-2309.4949048492617,-2305.59075057018
20,7.9,5.4,3.0,-2321.2787444241503,-2314.823307264869,-2310.714134849602,-2305.59075057018
30,8.066666666666666,5.666666666666667,3.0,-2322.5794561101093,-2314.823307264869,-2311.5003915567354,-2305.59075057018
40,7.975,5.475,3.0,-2322.4347801986946,-2314.823307264869,-2310.9947880894633,-2305.59075057018
50,7.94,5.42,3.0,-2321.9970410776004,-2314.823307264869,-2310.714959704316,-2305.59075057018
60,7.983333333333333,5.55,3.0,-2322.051264289601,-2314.823307264869,-2310.7734099048666,-2305.59075057018
70,7.9,5.3,3.0,-2321.4258159034875,-2314.823307264869,-2310.3790807328455,-2305.59075057018
80,7.925,5.325,3.0,-2321.697171039634,-2314.823307264869,-2310.5923541804705,-2305.59075057018
90,7.911111111111111,5.266666666666667,3.0,-2321.762383421027,-2314.823307264869,-2310.664943872839,-2305.59075057018
100,7.9,5.28,3.0,-2321.5863896220003,-2314.823307264869,-2310.5282485372218,-2305.59075057018
