episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,27.0,15.6,6.0,-13019.518472287022,-12876.057683878607,-13011.041131040813,-12908.802448747134
20,27.35,16.95,6.0,-13049.409061168939,-12876.057683878607,-13031.41368501992,-12908.802448747134
30,27.433333333333334,17.5,6.0,-13065.626072913255,-12876.057683878607,-13046.637080045146,-12908.802448747134
40,27.625,17.825,6.0,-13071.045495535256,-12876.057683878607,-13046.727657745389,-12908.802448747134
50,27.48,17.64,6.0,-13067.605112459241,-12876.057683878607,-13045.121567139551,-12908.802448747134
60,27.566666666666666,18.0,6.0,-13068.541196024922,-12876.057683878607,-13045.015211672346,-12908.802448747134
70,27.6,18.142857142857142,6.0,-13068.868036954796,-12876.057683878607,-13044.335961492656,-12908.802448747134
80,27.625,18.2,6.0,-13069.483572715728,-12876.057683878607,-13043.238193714282,-12908.802448747134
90,27.58888888888889,18.233333333333334,6.0,-13068.159587055095,-12876.057683878607,-13043.603563422608,-12908.802448747134
100,27.64,18.36,6.0,-13072.791797329437,-12876.057683878607,-13048.520041958938,-12908.802448747134
