iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,20.05183458328247,12.840205907821655,25.845,1.0,0.4541866666666667,0.0498337173579109,0.05790399385560676,-17207.880616622657,-16540.81937771346,-17219.96055952026,-16549.420257861362,750.6942138671875,750.6942138671875,750.6942138671875,0.0,0.0001,17072.035834881808,-16352.171537254075
1,26.071113348007202,1.86495041847229,25.985,1.195,0.5066666666666666,0.06240079365079365,0.07257101086048454,-17209.742040132664,-16749.760768593816,-17222.070860897766,-16767.49226787725,660.860107421875,705.7771606445312,741.7107543945312,9.000301361083984e-05,0.0001,,
10,33.63609957695007,5.6549763679504395,29.04,5.305,0.62656,0.16784421065740365,0.11992443810358544,-17175.71814580364,-16340.53190576058,-17155.65279855636,-16261.98640115915,693.028564453125,700.1511840820312,714.9495849609375,0.000899970531463623,0.0001,,
50,42.61449575424194,6.834641695022583,55.85,52.63,0.8443200000000001,0.26934924108181496,0.2869779104322724,-26476.728982896915,-15030.75600337075,-17304.292629675103,-15011.971381066096,602.1613159179688,660.824462890625,639.16259765625,0.004499971866607666,0.0001,,
100,55.51268672943115,7.126132011413574,62.2,60.47,0.8265066666666666,0.27918689779515604,0.2882913489748751,-27836.22139181674,-17258.32125138917,-17577.656955116465,-15522.152410255592,519.7540283203125,633.2294311523438,594.9911499023438,0.009000003337860107,0.0001,,
500,73.5622067451477,7.430413246154785,67.545,65.795,0.7936533333333333,0.20490554195457955,0.22743235836118555,-27729.30477524643,-23412.300261997025,-17901.032490259284,-16396.411136481882,431.22296142578125,421.12542724609375,384.359130859375,0.04500001668930054,0.0001,,
1000,88.28400588035583,8.7832350730896,66.48,66.625,0.7664,0.2754068669005826,0.2832193376114794,-27461.057970592563,-24217.346702890336,-17957.160746633996,-17131.799158160597,468.92437744140625,313.8527526855469,314.9204406738281,0.09000003337860107,0.0001,,
2000,106.61002898216248,22.006290197372437,83.285,79.835,0.6490133333333333,0.2168472022861452,0.1752039393070723,-26924.641361081296,-24697.429335791883,-18000.959060574947,-17193.489451162794,422.4049987792969,259.7815856933594,274.66046142578125,0.18000000715255737,0.0001,14352.645748453471,-14045.23916362845
3000,141.2858440876007,7.797375202178955,88.925,89.575,0.6685866666666667,0.24624954165984697,0.20597885210109296,-26662.356768417394,-25240.808945677913,-18557.64526492412,-17525.910823624203,422.96844482421875,220.45770263671875,237.56387329101562,0.2699999213218689,0.0001,,
4000,160.1723108291626,23.367984533309937,86.035,86.18,0.6509333333333334,0.29628488235183603,0.20302680217989225,-26180.05074324859,-24908.46529502975,-18470.75941238803,-17677.571645297023,445.81854248046875,205.04397583007812,223.66342163085938,0.35999995470046997,0.0001,14298.998913284357,-13993.662179147384
5000,195.3107395172119,7.591763496398926,92.915,91.91,0.63072,0.24620524656413903,0.2087703285772552,-25927.30076052492,-24526.336367467746,-19048.53576913169,-18290.804934032163,406.1729431152344,188.8050537109375,205.87353515625,0.44999998807907104,0.0001,,
6000,215.57441997528076,24.9359769821167,93.75,92.82,0.6097066666666666,0.12625587619277823,0.12080486864321184,-25472.235613882724,-17277.658274413196,-18163.334692985398,-16140.928760709347,400.6802062988281,171.62989807128906,186.58360290527344,0.5399999618530273,0.0001,13860.167453337433,-13304.293674542962
7000,249.15265202522278,5.916267395019531,70.63,63.905,0.60928,0.24468103086697318,0.14525742838849995,-16259.346134642303,-15223.128784316625,-15708.638168634188,-15084.968587366731,386.9154357910156,161.37747192382812,177.8746795654297,0.6299999952316284,0.0001,,
8000,264.7252676486969,16.948521852493286,46.72,46.235,0.6517333333333334,0.3882746108290092,0.3182825549913518,-14945.294321574038,-14562.97514786605,-14904.760537547767,-14563.291465138027,383.10882568359375,154.9349822998047,174.57447814941406,0.7199999094009399,0.0001,13473.796481794561,-13237.862417678572
9000,296.41671419143677,6.307581663131714,67.15,65.87,0.6949333333333334,0.30474780642005306,0.2670069002350093,-16213.930280897785,-15272.716138313228,-15773.264149727915,-15096.122759935944,335.17938232421875,149.02642822265625,166.59840393066406,0.809999942779541,0.0001,,
10000,312.3123891353607,18.89274287223816,63.495,60.565,0.66768,0.3213086942300911,0.2579288736390041,-15778.375575512759,-15074.694840273547,-15615.188165035126,-14953.197319277342,371.8236389160156,146.52235412597656,156.0844268798828,0.8999999761581421,0.0001,13819.439044323926,-13334.265312775535
11000,341.0648329257965,5.448636054992676,43.66,49.445,0.80592,0.45750643895775844,0.3956382492087226,-14578.052391912912,-14076.941266134389,-14591.107926617495,-14129.832183651004,289.52740478515625,137.70254516601562,151.2830047607422,0.8999999761581421,0.0001,,
