shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
78.0,72.0,-53605.00336761426,-52995.82691629393,-49356.35939431337,49356.35939431337,1
65.0,71.0,-53689.960997782524,-53099.30411542645,-49412.977744104086,49412.977744104086,2
88.0,76.0,-53896.724921759516,-53205.202707870674,-49346.183568280445,49346.183568280445,3
75.0,75.0,-53812.598305622385,-53187.10790915226,-49395.543455275765,49395.543455275765,4
75.0,69.0,-53755.695744642915,-53108.95539259658,-49429.263379519274,49429.263379519274,5
88.0,76.0,-53858.414477865044,-53169.169711301794,-49406.987363057015,49406.987363057015,6
85.0,77.0,-53889.49488410602,-53210.61269345278,-49400.265301497675,49400.265301497675,7
66.0,72.0,-53819.7422966739,-53184.964316077625,-49413.55019780056,49413.55019780056,8
73.0,73.0,-53862.00711505503,-53198.02067750673,-49431.49500883765,49431.49500883765,9
78.0,74.0,-53809.59287771506,-53175.341047169575,-49449.11003839014,49449.11003839014,10
81.0,75.0,-53881.053547909,-53175.940385271075,-49447.84919561184,49447.84919561184,11
69.0,71.0,-53792.867929898006,-53140.28109441268,-49458.477272991004,49458.477272991004,12
85.0,75.0,-53826.84052800063,-53197.40803537053,-49449.251837236014,49449.251837236014,13
71.0,71.0,-53788.598605902655,-53163.534939718884,-49486.868241953875,49486.868241953875,14
73.0,71.0,-53788.598605902655,-53163.53493971888,-49486.868241953875,49486.868241953875,15
65.0,71.0,-53868.34385246192,-53259.679105037736,-49478.96264985993,49478.96264985993,16
84.0,76.0,-53863.13442685803,-53227.629923143395,-49477.76217800467,49477.76217800467,17
77.0,73.0,-53818.32154686043,-53199.651226084476,-49488.2462262622,49488.2462262622,18
76.0,72.0,-53872.824842375005,-53280.32478967065,-49486.74154003936,49486.74154003936,19
81.0,73.0,-53969.376297938135,-53251.33879939162,-49531.40530867733,49531.40530867733,20
