episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,62.0,40.8,31.0,-53523.751181118845,-53460.95092257565,-53066.55567658219,-53006.143095124986
20,62.35,41.25,31.0,-53528.414103563,-53434.68461584355,-53067.51366928349,-52964.383628074735
30,62.43333333333333,41.166666666666664,31.0,-53515.41237176836,-53434.68461584355,-53057.380321325,-52964.383628074735
40,62.4,41.5,31.0,-53514.691844169865,-53434.68461584355,-53053.37222251401,-52964.383628074735
50,62.44,41.52,31.0,-53516.74445640185,-53418.943112353205,-53050.89620528576,-52945.34610441675
60,62.55,41.416666666666664,27.0,-53519.9864430168,-53418.943112353205,-53052.06496881807,-52945.34610441675
70,62.5,41.41428571428571,27.0,-53515.72039382746,-53418.943112353205,-53047.17247855585,-52945.34610441675
80,62.55,41.65,27.0,-53516.79197711686,-53418.943112353205,-53047.30236365147,-52945.34610441675
90,62.455555555555556,41.43333333333333,27.0,-53510.8344953414,-53418.943112353205,-53042.599807938685,-52945.34610441675
100,62.5,41.68,27.0,-53517.09810729534,-53418.943112353205,-53046.40955579266,-52945.34610441675
110,62.45454545454545,41.49090909090909,27.0,-53517.39009242486,-53418.943112353205,-53045.87258477711,-52945.34610441675
120,62.44166666666667,41.50833333333333,27.0,-53514.05116342315,-53404.476200791774,-53044.03582064896,-52919.07934846962
130,62.45384615384615,41.746153846153845,27.0,-53514.5380048116,-53403.13301975796,-53042.2692448277,-52919.07934846962
140,62.48571428571429,41.857142857142854,27.0,-53520.23536403569,-53403.13301975796,-53043.70256309712,-52919.07934846962
150,62.473333333333336,41.88666666666666,27.0,-53523.023120920625,-53403.13301975796,-53044.389746984656,-52919.07934846962
160,62.44375,41.93125,27.0,-53521.68464369136,-53403.13301975796,-53042.22822677009,-52919.07934846962
170,62.45882352941177,42.01176470588236,27.0,-53519.402714588075,-53403.13301975796,-53040.65102993552,-52919.07934846962
180,62.477777777777774,42.1,27.0,-53517.31466691829,-53393.20368459521,-53039.107963005,-52918.985350108385
190,62.45263157894737,41.90526315789474,27.0,-53522.17864557217,-53393.20368459521,-53040.091068689006,-52918.985350108385
200,62.445,41.845,27.0,-53523.88964054132,-53393.20368459521,-53041.01834521196,-52918.985350108385
210,62.41428571428571,41.72857142857143,23.0,-53521.28309370262,-53393.20368459521,-53039.913340103434,-52918.985350108385
220,62.42727272727273,41.79090909090909,23.0,-53519.43770162892,-53393.20368459521,-53039.48354460646,-52918.985350108385
230,62.42173913043478,41.84782608695652,23.0,-53520.44446205457,-53393.20368459521,-53038.90362234844,-52918.985350108385
240,62.420833333333334,41.8625,23.0,-53520.366660756925,-53393.20368459521,-53039.448348658196,-52918.985350108385
250,62.432,41.968,23.0,-53519.378856658295,-53393.20368459521,-53039.520791041716,-52918.985350108385
260,62.43076923076923,42.0,23.0,-53519.13322708027,-53391.31928720821,-53039.889737185316,-52905.2908226241
270,62.422222222222224,42.044444444444444,23.0,-53519.929955694526,-53391.31928720821,-53040.11391512711,-52905.2908226241
280,62.42857142857143,42.09285714285714,23.0,-53519.601394778234,-53391.31928720821,-53040.17654580104,-52905.2908226241
290,62.42068965517242,42.01379310344828,23.0,-53518.751596579976,-53391.31928720821,-53039.96428103526,-52905.2908226241
300,62.42666666666667,42.0,23.0,-53518.68695862679,-53391.202004424646,-53039.70302612239,-52905.2908226241
