episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,19.1,18.9,8.0,-73096.928899521,-72631.12723333317,-72578.15143447094,-72406.66584336867
20,19.0,18.1,8.0,-73064.81120137824,-72631.12723333317,-72563.21135567017,-72400.61186299413
30,19.0,17.8,8.0,-73065.42024835461,-72631.12723333317,-72566.67486756686,-72373.02829656142
40,19.1,18.6,8.0,-73073.97536081122,-72631.12723333317,-72576.16466875868,-72372.93716063825
50,19.12,18.76,5.0,-73086.73868501,-72631.12723333317,-72582.39936404438,-72372.93716063825
60,19.1,18.933333333333334,5.0,-73090.884969262,-72631.12723333317,-72583.68693603457,-72372.93716063825
70,19.114285714285714,18.771428571428572,5.0,-73088.69217070722,-72631.12723333317,-72581.23943039817,-72372.93716063825
80,19.15,19.025,5.0,-73104.64872390156,-72631.12723333317,-72586.77554634059,-72372.93716063825
90,19.155555555555555,19.155555555555555,5.0,-73101.60261674464,-72631.12723333317,-72584.56499434987,-72372.93716063825
100,19.17,19.27,5.0,-73109.95376904253,-72631.12723333317,-72589.17343543217,-72372.93716063825
