iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,18.019519567489624,11.591062545776367,17.555,0.97,0.5025452488687783,0.1327713016447233,0.14764320097027325,-93701.53998067694,-88108.73958167524,-93706.32324503962,-88108.79337961429,4600.6826171875,4600.6826171875,4600.6826171875,0.0,0.0001,93597.45576915903,-87840.12007268997
1,26.463840007781982,4.161525726318359,17.655,1.225,0.542420814479638,0.2055595964226261,0.20355514395643817,-93497.49518802937,-85615.61916975009,-93501.85637511904,-85620.10738324733,4368.8056640625,4484.744140625,4577.49462890625,4.500150680541992e-05,0.0001,,
10,34.877013206481934,6.776848077774048,19.1,5.975,0.7887443438914027,0.5283521338377868,0.5288453076485531,-92203.99645426795,-78622.95814670024,-91018.89542047557,-77814.26227993146,4539.6201171875,4619.18798828125,4598.5673828125,0.0004500150680541992,0.0001,,
50,47.44676375389099,11.717978715896606,35.72,39.89,0.5395927601809954,0.14184023527241107,0.1539819081287821,-155516.4771619233,-74807.66476969287,-84378.87589135494,-74212.92728296721,4345.97802734375,4490.708984375,4415.42626953125,0.0022500157356262207,0.0001,,
100,57.78398895263672,9.433465003967285,36.105,43.295,0.6069004524886878,0.16842392863809674,0.18340487164185865,-174089.40566890372,-94300.7649089891,-83181.64322097179,-80333.92092867215,4207.123046875,4311.740234375,4036.397705078125,0.004499971866607666,0.0001,,
500,74.70612525939941,10.37601613998413,43.36,48.305,0.4516402714932127,0.11886842122131497,0.12942309403035457,-156437.51402830728,-147641.20079196244,-87882.9561917241,-84167.87923263358,2614.003173828125,3095.64013671875,2906.81884765625,0.02249997854232788,0.0001,,
1000,96.92411804199219,9.266007900238037,43.04,48.495,0.4035633484162896,0.11242792646671348,0.11945881252279807,-154769.4136607044,-138800.034540097,-87722.86685099697,-85291.9838327261,2369.6220703125,2464.065185546875,2377.817138671875,0.04500001668930054,0.0001,,
2000,126.32780408859253,21.173333883285522,41.415,48.03,0.6445135746606335,0.18236835637982235,0.19747201344622523,-149531.2616551203,-138277.85668960278,-88015.20608498892,-85319.20636809981,2797.047119140625,1976.2933349609375,2030.1246337890625,0.09000003337860107,0.0001,75192.0673121124,-73743.5186729393
3000,161.57218146324158,8.305779933929443,38.435,48.99,0.7327488687782806,0.22953759127349332,0.24422252019258586,-160484.8966044457,-147663.29976884453,-88039.41388227638,-85654.44640301075,2615.732177734375,1630.4771728515625,1706.6104736328125,0.13499999046325684,0.0001,,
4000,183.05269932746887,20.391607522964478,40.26,49.0,0.6100113122171946,0.16133107199193425,0.1764533992934845,-160454.25927554842,-160336.24862343055,-89330.26140596735,-86895.32379862557,2996.281005859375,1511.943603515625,1615.4755859375,0.18000000715255737,0.0001,74317.51755062026,-73708.85762361737
5000,216.35870885849,7.419139862060547,39.41,49.0,0.6289592760180995,0.21044233635942686,0.2001221137569581,-160386.96859217767,-160336.24862343055,-89729.78065656518,-86353.42529431207,3069.768310546875,1447.51025390625,1579.70703125,0.2250000238418579,0.0001,,
6000,235.92628383636475,19.860835790634155,38.635,47.61,0.6012443438914028,0.22152305370500236,0.17460387246361259,-141987.648118174,-120655.9022449312,-88269.17363770012,-85403.36831817437,2763.264404296875,1376.1859130859375,1474.92138671875,0.2699999213218689,0.0001,73988.2165106971,-73360.20967597942
7000,267.34721517562866,7.060218095779419,35.28,44.36,0.6303733031674209,0.2735518288772508,0.24145867531835916,-106503.66744344537,-98775.92224806917,-83635.64284397235,-80139.90274407297,3084.474365234375,1327.12939453125,1481.669921875,0.3149999976158142,0.0001,,
8000,285.2384307384491,17.684853076934814,31.84,39.275,0.5842760180995474,0.22445526381406433,0.1785809442078989,-84991.22516848617,-84360.64596816257,-78345.99696958292,-77510.6461893429,3353.49072265625,1237.1024169921875,1427.947021484375,0.35999995470046997,0.0001,72511.49647491857,-72226.67477670018
9000,313.1529154777527,6.3205201625823975,31.905,37.975,0.6035067873303167,0.3042895213997935,0.18215919076674253,-82839.44939775854,-81470.69820107575,-77618.53175972503,-76996.48270821401,3067.921630859375,1180.3973388671875,1356.28466796875,0.4049999713897705,0.0001,,
10000,329.3702726364136,16.66859483718872,23.08,35.01,0.7296380090497738,0.37894198540760926,0.2670904659833598,-78634.05118419843,-78617.25259293646,-75822.70216195204,-75765.33417345767,3376.9794921875,1116.9095458984375,1321.720703125,0.44999998807907104,0.0001,72118.87274375279,-72114.91400559811
11000,355.7031602859497,6.038106679916382,24.0,35.0,0.7081447963800904,0.5054656573373151,0.25294812139731926,-78626.34788170016,-78626.34788170016,-75866.69746852806,-75866.69746852806,2944.3251953125,1047.2384033203125,1190.84619140625,0.4950000047683716,0.0001,,
12000,370.9234027862549,16.19899868965149,20.54,32.51,0.7468891402714932,0.4996468607031792,0.3167946348152002,-76494.5846598299,-76264.29170787294,-74985.9614591917,-74696.09189765564,2941.58544921875,1007.1508178710938,1220.5987548828125,0.5399999618530273,0.0001,72054.99291236242,-72047.21743681682
13000,396.34903359413147,5.719252586364746,19.06,30.03,0.7502828054298643,0.5177611011138348,0.3087431285292248,-75732.78368979663,-75689.40326833862,-74200.0673846119,-74153.74486757429,2958.17822265625,947.5939331054688,1134.268310546875,0.5849999189376831,0.0001,,
14000,410.8512713909149,15.94787883758545,21.59,29.9,0.744343891402715,0.4900037175784266,0.2918874812929547,-77373.86105320885,-75538.02127281946,-75868.67998661177,-74000.36286723468,2996.337646484375,908.5278930664062,1077.587646484375,0.6299999952316284,0.0001,73787.18900986109,-72052.81247689002
