iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,13.233824253082275,21.995988368988037,66.755,0.805,0.48972954298687194,0.016533195556703694,0.020791745927369796,-70231.51473803075,-68981.59889527583,-70292.4877110161,-68933.83415651401,,,,0.0,0.0001,69723.32750269827,-68269.27124976278
1,29.572164058685303,4.948593378067017,66.73,0.78,0.49022801302931596,0.016655694535878868,0.02079917010792587,-70230.79044157971,-68981.59889527583,-70291.59379056956,-68933.83415651401,,,,4.500150680541992e-05,0.0001,,
10,34.72533965110779,4.894193649291992,66.745,0.77,0.48281758957654725,0.013631494264372416,0.020826070327120746,-70233.07525460748,-68981.59889527583,-70293.7870850821,-68933.83415651401,,,,0.0004500150680541992,0.0001,,
50,57.293150663375854,4.757897615432739,66.16,0.17,0.5022011647418814,0.03264516033686202,0.021172673614900505,-70240.1371110792,-68929.00667040623,-70297.80435680025,-68826.02083180824,161.56138610839844,142.76707458496094,141.5282440185547,0.0022500157356262207,0.0001,,
100,74.20551919937134,4.734291315078735,66.005,0.005,0.4998371335504886,0.010522959183673469,0.021045918367346938,-70242.59313780733,-70232.01115118993,-70299.689813106,-70292.03676205366,136.3150177001953,149.44932556152344,161.0894317626953,0.004499971866607666,0.0001,,
500,86.7893226146698,5.275649070739746,69.265,3.39,0.5032992794393445,0.022110498153184062,0.02149619447197725,-70237.713672924,-69443.40867857936,-70303.05130783307,-69583.87550168572,79.78087615966797,104.26539611816406,103.26457977294922,0.02249997854232788,0.0001,,
1000,103.1900565624237,5.30665922164917,69.395,3.53,0.5047305300562629,0.022254887385880794,0.021308515091180594,-70246.39172304506,-69383.6341907044,-70308.16611821485,-69492.13860151089,110.24044036865234,100.31045532226562,114.31549072265625,0.04500001668930054,0.0001,,
2000,127.21433424949646,17.92025637626648,71.555,5.855,0.5066553153686704,0.022721629882043154,0.022331015172642625,-70262.36456026048,-68485.01790376655,-70294.0613190713,-68587.7391709459,55.10121154785156,103.21590423583984,92.52557373046875,0.09000003337860107,0.0001,69675.50163089842,-67566.84655238669
3000,163.3596532344818,6.059628963470459,76.595,10.96,0.5052314677721844,0.02190410459086541,0.021092838458132743,-70187.13513084855,-69427.30815817475,-70258.39404238001,-69520.54733617388,73.89812469482422,100.81021118164062,100.55877685546875,0.13499999046325684,0.0001,,
4000,187.91678500175476,21.664341688156128,81.32,15.95,0.495563123087553,0.01992418099430608,0.021432483839532435,-70145.64313596123,-69038.95278157968,-70220.2397895516,-69108.60949425049,148.02587890625,90.16246795654297,95.98440551757812,0.18000000715255737,0.0001,69539.0781055226,-68329.27375068661
5000,228.40341424942017,7.309926271438599,88.355,23.6,0.4995977692231764,0.020515035559678416,0.021333101422387136,-70235.55122763332,-69743.488588508,-70312.08230871178,-69833.08054012831,106.38541412353516,86.29277801513672,84.10880279541016,0.2250000238418579,0.0001,,
6000,253.88976287841797,28.41532015800476,100.085,36.005,0.49654772480505377,0.017780687245619955,0.021288208044160425,-70282.96241848684,-69751.1379693115,-70373.69628425417,-69862.60532350243,56.52434539794922,88.54931640625,78.39686584472656,0.2699999213218689,0.0001,69549.2584521212,-68829.9940400344
7000,301.7871537208557,10.826143026351929,117.23,57.655,0.5840267495804955,0.03635041594550849,0.030711635129609744,-65507.65676142599,-63391.68570741669,-65287.81513816714,-63012.582242232995,92.64570617675781,98.59590911865234,100.82046508789062,0.3149999976158142,0.0001,,
8000,329.38821601867676,36.00291442871094,121.425,61.27,0.5991239759155069,0.03892214092894057,0.03257075705973579,-65427.919920674525,-63442.81092755376,-65133.296019352936,-63111.65225881037,162.92454528808594,107.87891387939453,115.78291320800781,0.35999995470046997,0.0001,63181.92556047449,-60905.451898012514
9000,385.1335484981537,13.66266131401062,125.84,73.41,0.6233367880762017,0.057953081013601616,0.05309656737966312,-65315.2141840234,-62441.135431994364,-65173.8290742022,-62175.35015016678,92.86433410644531,126.53707885742188,122.90617370605469,0.4049999713897705,0.0001,,
10000,419.3947262763977,48.83578085899353,183.475,128.72,0.6027193761721449,0.03324307401461079,0.03363890006330674,-69447.4751841733,-64942.892732889704,-69524.11401841114,-64286.08640127998,162.95558166503906,140.1099853515625,142.6944122314453,0.44999998807907104,0.0001,63451.34065413468,-60592.92785284129
11000,484.1646137237549,13.9438796043396,172.39,115.31,0.598166518606258,0.04050116280273442,0.02828529559778587,-67470.74307511115,-64635.24176678473,-67076.55539988792,-63862.62966737688,173.4524383544922,146.53781127929688,150.81906127929688,0.4950000047683716,0.0001,,
12000,518.7697019577026,39.292231798172,135.2,82.215,0.6499975323265226,0.06509110608972919,0.0437668651134283,-64622.61469207705,-62215.5341912562,-63960.30642239629,-61547.873034863806,233.4254913330078,162.74691772460938,162.98544311523438,0.5399999618530273,0.0001,61099.4161519956,-58834.500873338395
13000,580.83154463768,11.69535493850708,129.865,78.53,0.6761844832691739,0.06383651962621124,0.05475465551515233,-63640.917788655475,-61169.00953944668,-63423.62217485229,-60898.80474119895,161.7369842529297,171.40249633789062,178.2142333984375,0.5849999189376831,0.0001,,
14000,609.9356944561005,39.28847694396973,125.325,81.2,0.6797428684236502,0.08361525730437591,0.06667640900184175,-63522.01483788505,-61126.94941490512,-63445.16595473692,-60806.73857402669,189.64590454101562,200.48434448242188,201.913818359375,0.6299999952316284,0.0001,60591.84190369129,-58041.9432875463
15000,665.9414148330688,11.499532699584961,119.815,70.515,0.6489907215477249,0.06832212687290459,0.0559089545711738,-62401.3417243587,-61139.5554446845,-62057.87934398305,-60592.95778923405,178.84178161621094,221.106689453125,222.91351318359375,0.6749999523162842,0.0001,,
16000,695.0230331420898,35.995656967163086,101.375,62.72,0.6710912052117265,0.1282309664856549,0.10432213195584525,-63515.49979300765,-61922.250783160045,-63135.34042474926,-61200.895801735394,246.3753204345703,231.3212890625,214.20062255859375,0.7199999094009399,0.0001,60406.69812275896,-58640.25944814096
17000,748.3680803775787,11.195531606674194,114.31,68.34,0.6324227618201561,0.06905058906227969,0.05414759543977455,-63224.650794601126,-62220.120341579764,-62763.99837703001,-61698.41562479868,209.9239044189453,244.72149658203125,240.76907348632812,0.7649999260902405,3e-05,,
18000,776.4608309268951,36.81464886665344,114.205,69.745,0.64615536472214,0.1028622908206574,0.08537100199313193,-63322.10422858866,-62405.20053169326,-62855.22919283232,-61913.09383827657,191.59278869628906,246.7451934814453,249.32763671875,0.809999942779541,3e-05,60115.49010357339,-59218.53453079441
19000,829.8406505584717,11.01785159111023,104.305,62.405,0.6567145395321292,0.1442525012260172,0.13146657820045574,-63181.1778561574,-61767.48109250765,-62102.83474252792,-60570.17881096843,303.1111145019531,259.9262390136719,276.7474060058594,0.8549999594688416,3e-05,,
