,HISTORY,HREKG,LVFAILURE,ERRLOWOUTPUT,HRSAT,VENTALV,FIO2,VENTLUNG,STROKEVOLUME,LVEDVOLUME,BP,CO,HYPOVOLEMIA,INTUBATION,TPR,VENTMACH,CATECHOL,PULMEMBOLUS,MINVOL,CVP,INSUFFANESTH,HRBP,SAO2,HR,PRESS,ERRCAUTER,PVSAT,VENTTUBE,KINKEDTUBE,DISCONNECT,MINVOLSET,ANAPHYLAXIS,EXPCO2,ARTCO2,PCWP,SHUNT,PAP
0,FALSE,HIGH,FALSE,TRUE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,NORMAL,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
1,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,LOW,HIGH,NORMAL,LOW,TRUE,NORMAL,HIGH,ZERO,HIGH,FALSE,ZERO,HIGH,FALSE,LOW,LOW,NORMAL,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
2,TRUE,HIGH,TRUE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,LOW,LOW,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
3,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,TRUE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
4,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,NORMAL,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
5,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
6,FALSE,LOW,FALSE,FALSE,NORMAL,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,NORMAL,FALSE,NORMAL,LOW,ZERO,HIGH,FALSE,HIGH,LOW,FALSE,LOW,HIGH,NORMAL,HIGH,TRUE,HIGH,ZERO,FALSE,TRUE,LOW,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
7,FALSE,NORMAL,FALSE,FALSE,NORMAL,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
8,TRUE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,LOW,LOW,NORMAL,HIGH,FALSE,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,HIGH
9,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,HIGH,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,NORMAL,HIGH,NORMAL
10,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,NORMAL,FALSE,NORMAL,LOW,ZERO,HIGH,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,HIGH
11,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
12,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,NORMAL,HIGH,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,ZERO,HIGH,HIGH,NORMAL,NORMAL
13,FALSE,LOW,FALSE,FALSE,LOW,HIGH,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,HIGH,LOW,NORMAL,FALSE,HIGH,NORMAL,FALSE,LOW,HIGH,NORMAL,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,LOW,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
14,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,LOW,ZERO,LOW,HIGH,LOW,LOW,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,TRUE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
15,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
16,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,LOW,FALSE,HIGH,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
17,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
18,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
19,FALSE,HIGH,FALSE,FALSE,LOW,LOW,NORMAL,LOW,LOW,HIGH,LOW,LOW,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,NORMAL,HIGH,HIGH,NORMAL,NORMAL
20,FALSE,LOW,FALSE,FALSE,LOW,ZERO,LOW,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,HIGH,NORMAL,NORMAL,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,FALSE,LOW,LOW,TRUE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
21,TRUE,HIGH,TRUE,FALSE,LOW,ZERO,NORMAL,ZERO,LOW,LOW,LOW,LOW,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,LOW,TRUE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
22,FALSE,HIGH,FALSE,FALSE,NORMAL,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,LOW,FALSE,NORMAL,NORMAL,HIGH,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
23,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,NORMAL,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,TRUE,FALSE,NORMAL,FALSE,ZERO,LOW,HIGH,NORMAL,NORMAL
24,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,NORMAL,ZERO,LOW,HIGH,NORMAL,LOW,TRUE,ESOPHAGEAL,HIGH,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
25,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,LOW,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,TRUE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
